Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poradie na hlasovacom lístku,Meno,Priezvisko,Počet platných hlasov,Podiel platných hlasov v %,Poznámka
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuňa,2,Patrik,Dubovský,45,0.49,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuňa,3,Krisztián,Forró,57,0.63,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuňa,4,Štefan,Harabin,863,9.54,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuňa,5,Ivan,Korčok,5450,60.27,P
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuňa,6,Marian,Kotleba,34,0.37,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuňa,7,Ján,Kubiš,233,2.57,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuňa,8,Igor,Matovič,125,1.38,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuňa,9,Milan,Náhlik,10,0.11,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuňa,10,Peter,Pellegrini,2221,24.56,P
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuňa,11,Róbert,Švec,3,0.03,X
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,1,Andrej,Danko,11,0.04,X
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,2,Patrik,Dubovský,156,0.68,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,3,Krisztián,Forró,71,0.31,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,4,Štefan,Harabin,1418,6.23,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,5,Ivan,Korčok,15943,70.15,P
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,6,Marian,Kotleba,60,0.26,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,7,Ján,Kubiš,575,2.53,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,8,Igor,Matovič,248,1.09,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,9,Milan,Náhlik,13,0.05,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,10,Peter,Pellegrini,4223,18.58,P
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,11,Róbert,Švec,8,0.03,X
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Rača,1,Andrej,Danko,3,0.02,X
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Rača,2,Patrik,Dubovský,67,0.54,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Rača,3,Krisztián,Forró,33,0.26,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Rača,4,Štefan,Harabin,1050,8.55,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Rača,5,Ivan,Korčok,7741,63.09,P
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Rača,6,Marian,Kotleba,40,0.32,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Rača,7,Ján,Kubiš,295,2.4,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Rača,8,Igor,Matovič,152,1.23,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Rača,9,Milan,Náhlik,20,0.16,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Rača,10,Peter,Pellegrini,2866,23.35,P
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Rača,11,Róbert,Švec,2,0.01,X
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,1,Andrej,Danko,3,0.1,X
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,2,Patrik,Dubovský,24,0.84,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,3,Krisztián,Forró,6,0.21,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,4,Štefan,Harabin,261,9.16,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,5,Ivan,Korčok,1815,63.7,P
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,6,Marian,Kotleba,9,0.31,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,7,Ján,Kubiš,72,2.52,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,8,Igor,Matovič,31,1.08,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,9,Milan,Náhlik,3,0.1,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,10,Peter,Pellegrini,623,21.86,P
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,11,Róbert,Švec,2,0.07,X
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,1,Andrej,Danko,0,0,X
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,2,Patrik,Dubovský,4,0.39,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,3,Krisztián,Forró,0,0,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,4,Štefan,Harabin,66,6.44,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,5,Ivan,Korčok,735,71.77,P
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,6,Marian,Kotleba,4,0.39,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,7,Ján,Kubiš,24,2.34,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,8,Igor,Matovič,14,1.36,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,9,Milan,Náhlik,0,0,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,10,Peter,Pellegrini,176,17.18,P
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,11,Róbert,Švec,1,0.09,X
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,1,Andrej,Danko,7,0.08,X
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,2,Patrik,Dubovský,56,0.67,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,3,Krisztián,Forró,1,0.01,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,4,Štefan,Harabin,753,9.06,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,5,Ivan,Korčok,5302,63.79,P
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,6,Marian,Kotleba,31,0.37,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,7,Ján,Kubiš,200,2.4,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,8,Igor,Matovič,103,1.23,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,9,Milan,Náhlik,23,0.27,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,10,Peter,Pellegrini,1829,22,P
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,11,Róbert,Švec,6,0.07,X
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,1,Andrej,Danko,8,0.04,X
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,2,Patrik,Dubovský,153,0.85,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,3,Krisztián,Forró,45,0.25,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,4,Štefan,Harabin,1447,8.09,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,5,Ivan,Korčok,11148,62.35,P
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,6,Marian,Kotleba,50,0.27,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,7,Ján,Kubiš,453,2.53,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,8,Igor,Matovič,219,1.22,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,9,Milan,Náhlik,21,0.11,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,10,Peter,Pellegrini,4330,24.21,P
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,11,Róbert,Švec,5,0.02,X
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,1,Andrej,Danko,3,0.01,X
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,2,Patrik,Dubovský,170,0.94,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,3,Krisztián,Forró,43,0.23,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,4,Štefan,Harabin,1308,7.27,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,5,Ivan,Korčok,12087,67.25,P
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,6,Marian,Kotleba,43,0.23,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,7,Ján,Kubiš,521,2.89,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,8,Igor,Matovič,187,1.04,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,9,Milan,Náhlik,16,0.08,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,10,Peter,Pellegrini,3582,19.93,P
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,11,Róbert,Švec,12,0.06,X
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,1,Andrej,Danko,4,0.09,X
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,2,Patrik,Dubovský,44,1.04,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,3,Krisztián,Forró,7,0.16,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,4,Štefan,Harabin,345,8.18,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,5,Ivan,Korčok,2573,61.07,P
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,6,Marian,Kotleba,13,0.3,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,7,Ján,Kubiš,142,3.37,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,8,Igor,Matovič,69,1.63,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,9,Milan,Náhlik,3,0.07,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,10,Peter,Pellegrini,1013,24.04,P
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,11,Róbert,Švec,0,0,X
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,1,Andrej,Danko,2,0.05,X
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,2,Patrik,Dubovský,24,0.62,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,3,Krisztián,Forró,5,0.13,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,4,Štefan,Harabin,262,6.85,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,5,Ivan,Korčok,2632,68.84,P
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,6,Marian,Kotleba,7,0.18,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,7,Ján,Kubiš,129,3.37,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,8,Igor,Matovič,45,1.17,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,9,Milan,Náhlik,1,0.02,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,10,Peter,Pellegrini,715,18.7,P
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,11,Róbert,Švec,1,0.02,X
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Čunovo,1,Andrej,Danko,1,0.09,X
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Čunovo,2,Patrik,Dubovský,5,0.49,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Čunovo,3,Krisztián,Forró,4,0.39,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Čunovo,4,Štefan,Harabin,69,6.83,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Čunovo,5,Ivan,Korčok,734,72.74,P
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Čunovo,6,Marian,Kotleba,2,0.19,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Čunovo,7,Ján,Kubiš,27,2.67,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Čunovo,8,Igor,Matovič,18,1.78,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Čunovo,9,Milan,Náhlik,1,0.09,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Čunovo,10,Peter,Pellegrini,148,14.66,P
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Čunovo,11,Róbert,Švec,0,0,X
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,1,Andrej,Danko,0,0,X
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,2,Patrik,Dubovský,10,0.56,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,3,Krisztián,Forró,10,0.56,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,4,Štefan,Harabin,102,5.79,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,5,Ivan,Korčok,1246,70.79,P
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,6,Marian,Kotleba,2,0.11,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,7,Ján,Kubiš,48,2.72,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,8,Igor,Matovič,29,1.64,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,9,Milan,Náhlik,1,0.05,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,10,Peter,Pellegrini,312,17.72,P
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,11,Róbert,Švec,0,0,X
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petržalka,1,Andrej,Danko,18,0.03,X
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petržalka,2,Patrik,Dubovský,404,0.73,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petržalka,3,Krisztián,Forró,217,0.39,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petržalka,4,Štefan,Harabin,4803,8.73,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petržalka,5,Ivan,Korčok,34080,62.01,P
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petržalka,6,Marian,Kotleba,190,0.34,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petržalka,7,Ján,Kubiš,1393,2.53,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petržalka,8,Igor,Matovič,773,1.4,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petržalka,9,Milan,Náhlik,59,0.1,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petržalka,10,Peter,Pellegrini,12986,23.63,P
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petržalka,11,Róbert,Švec,32,0.05,X
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,1,Andrej,Danko,1,0.04,X
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,2,Patrik,Dubovský,14,0.62,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,3,Krisztián,Forró,12,0.53,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,4,Štefan,Harabin,138,6.17,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,5,Ivan,Korčok,1560,69.76,P
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,6,Marian,Kotleba,3,0.13,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,7,Ján,Kubiš,48,2.14,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,8,Igor,Matovič,26,1.16,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,9,Milan,Náhlik,0,0,
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,10,Peter,Pellegrini,433,19.36,P
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,11,Róbert,Švec,1,0.04,X
1,Bratislavský kraj,102,Malacky,106,Malacky,507831,Borinka,1,Andrej,Danko,0,0,X
1,Bratislavský kraj,102,Malacky,106,Malacky,507831,Borinka,2,Patrik,Dubovský,4,0.82,
1,Bratislavský kraj,102,Malacky,106,Malacky,507831,Borinka,3,Krisztián,Forró,1,0.2,
1,Bratislavský kraj,102,Malacky,106,Malacky,507831,Borinka,4,Štefan,Harabin,60,12.32,
1,Bratislavský kraj,102,Malacky,106,Malacky,507831,Borinka,5,Ivan,Korčok,303,62.21,P
1,Bratislavský kraj,102,Malacky,106,Malacky,507831,Borinka,6,Marian,Kotleba,2,0.41,
1,Bratislavský kraj,102,Malacky,106,Malacky,507831,Borinka,7,Ján,Kubiš,9,1.84,
1,Bratislavský kraj,102,Malacky,106,Malacky,507831,Borinka,8,Igor,Matovič,4,0.82,
1,Bratislavský kraj,102,Malacky,106,Malacky,507831,Borinka,9,Milan,Náhlik,1,0.2,
1,Bratislavský kraj,102,Malacky,106,Malacky,507831,Borinka,10,Peter,Pellegrini,102,20.94,P
1,Bratislavský kraj,102,Malacky,106,Malacky,507831,Borinka,11,Róbert,Švec,1,0.2,X
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,1,Andrej,Danko,3,0.25,X
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,2,Patrik,Dubovský,4,0.33,
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,3,Krisztián,Forró,0,0,
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,4,Štefan,Harabin,187,15.8,
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,5,Ivan,Korčok,401,33.89,P
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,6,Marian,Kotleba,12,1.01,
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,7,Ján,Kubiš,13,1.09,
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,8,Igor,Matovič,22,1.85,
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,9,Milan,Náhlik,4,0.33,
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,10,Peter,Pellegrini,536,45.3,P
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,11,Róbert,Švec,1,0.08,X
1,Bratislavský kraj,102,Malacky,106,Malacky,507954,Jablonové,1,Andrej,Danko,0,0,X
1,Bratislavský kraj,102,Malacky,106,Malacky,507954,Jablonové,2,Patrik,Dubovský,0,0,
1,Bratislavský kraj,102,Malacky,106,Malacky,507954,Jablonové,3,Krisztián,Forró,0,0,
1,Bratislavský kraj,102,Malacky,106,Malacky,507954,Jablonové,4,Štefan,Harabin,66,10.15,
1,Bratislavský kraj,102,Malacky,106,Malacky,507954,Jablonové,5,Ivan,Korčok,349,53.69,P
1,Bratislavský kraj,102,Malacky,106,Malacky,507954,Jablonové,6,Marian,Kotleba,2,0.3,
1,Bratislavský kraj,102,Malacky,106,Malacky,507954,Jablonové,7,Ján,Kubiš,9,1.38,
1,Bratislavský kraj,102,Malacky,106,Malacky,507954,Jablonové,8,Igor,Matovič,10,1.53,
