IDN4,obec,populace,centroid-lat,centroid-lon
501981,Veľké Blahovo - Nagyabony,1589,48.0396333,17.5946333
501999,Vojka nad Dunajom - Vajka,460,47.9585632,17.3986569
502006,Vrakúň - Nyékvárkony,2794,47.9277845,17.6111218
502014,Vydrany - Nemeshodos,1783,48.0434315,17.6226549
502022,Zlaté Klasy - Nagymagyar,3611,48.1307668,17.4371825
502031,Levice,31974,48.2015586,18.6456576
502049,Bajka,328,48.1540918,18.5039444
502057,Bátovce,1184,48.285921,18.7745383
502065,Beša (LV) - Barsbese,635,48.1489447,18.4036671
502073,Bielovce - Ipolybél,225,47.9940106,18.7630454
502090,Bory - Bori,321,48.1912714,18.7506377
502103,Brhlovce,296,48.220809,18.7374659
502111,Čajkov,957,48.3133584,18.6115083
502120,Čaka,743,48.0385693,18.4715534
502154,Demandice,966,48.1217221,18.7877203
502162,Devičany,408,48.3249928,18.6858253
502171,Dolná Seč,525,48.1854622,18.5670624
502189,Dolné Semerovce - Alsószemeréd,540,48.1117519,18.8501568
502197,Dolný Pial,911,48.1302405,18.4626281
502201,Domadice,242,48.1827525,18.7818986
502219,Drženice,382,48.2759693,18.6956911
502227,Farná - Farnad,1349,48.0085269,18.5070662
502243,Hokovce - Egeg,505,48.1573425,18.8472574
502251,Hontianska Vrbica - Hontfüzesgyarmat,611,48.1391025,18.7137802
502260,Horná Seč,570,48.2048806,18.5478381
502278,Horné Semerovce - Felsőszemeréd,641,48.1306331,18.8601928
502286,Horné Turovce - Felsőtúr,567,48.1264675,18.9578031
502294,Horný Pial - Felsőpél,268,48.156659,18.4460754
502324,Hronovce - Lekér,1486,48.0044629,18.6433244
502332,Hronské Kľačany,1401,48.2384195,18.5767159
502341,Hronské Kosihy,742,48.2676996,18.5900629
502359,Iňa,229,48.1805866,18.4229078
502367,Ipeľské Úľany - Ipolyfödémes,274,48.1335396,19.0362293
502375,Ipeľský Sokolec - Ipolyszakállos,829,48.0150296,18.7914505
502383,Jabloňovce,209,48.329793,18.7963846
502391,Jur nad Hronom - Garamszentgyörgy,983,48.1286867,18.6236215
502413,Kalná nad Hronom,2073,48.1948924,18.5141226
502421,Kozárovce,2082,48.3098349,18.5003008
502430,Krškany,791,48.2226679,18.6768625
502448,Kubáňovo - Szete,256,48.0579444,18.8047845
502456,Kukučínov,587,48.0892038,18.6961073
502464,Kuraľany,475,47.9850749,18.5549958
502472,Keť - Érsekkéty,577,47.9631837,18.5842631
502481,Lok,1073,48.1766854,18.4719169
502499,Lontov - Lontó,662,48.0442283,18.7705648
502502,Lula,175,48.1713067,18.3647392
502511,Málaš - Málas,480,48.052993,18.5175711
502537,Malé Ludince - Kisölved,170,47.9840336,18.7003524
502570,Mýtne Ludany - Vámosladány,980,48.1632565,18.6630738
502588,Nová Dedina,1456,48.2820002,18.648134
502596,Nový Tekov,897,48.2406723,18.4899514
502600,Nýrovce - Nyírágó,520,48.0188,18.5702234
502618,Ondrejovce,440,48.1340791,18.5218633
502626,Pastovce - Ipolypásztó,495,47.9631252,18.7427598
502634,Pečenice,127,48.2982687,18.7947932
502642,Plášťovce - Palást,1504,48.1640353,18.9985102
502651,Plavé Vozokany,774,48.0741519,18.4660978
502669,Podlužany (LV),764,48.2480241,18.6192095
502677,Pohronský Ruskov - Oroszka,1241,47.9760591,18.6463273
502693,Pukanec,1777,48.3641781,18.7190863
502707,Rybník (LV),1406,48.3107223,18.5690294
502715,Santovka,659,48.1552027,18.7742805
502723,Sazdice - Százd,465,48.0861412,18.7940008
502731,Sikenica - Peszektergenye,627,48.0665863,18.7248964
502740,Slatina - Szalatnya,312,48.1478248,18.9063885
502758,Starý Hrádok,207,48.1552981,18.6338031
502766,Starý Tekov,1495,48.2440255,18.5508455
502782,Šahy - Ipolyság,7267,48.0795055,18.9560404
502791,Šalov - Garamsalló,352,48.0133238,18.7193487
502804,Šarovce - Sáró,1606,48.0993094,18.6214513
502812,Tehla,465,48.1960433,18.3817747
502821,Tekovské Lužany - Nagysalló,2843,48.0915389,18.5393228
502847,Tekovský Hrádok - Barsvárad,380,48.1650499,18.5459111
502863,Tlmače,3637,48.2893445,18.5300325
502871,Tupá - Kistompa,568,48.1190811,18.9065985
502880,Turá - Tőre,215,48.1450323,18.5751109
502898,Uhliská,180,48.3942245,18.7445907
502910,Veľké Ludince - Nagyölved,1464,47.9622892,18.5008994
502928,Veľké Turovce - Nagytúr,742,48.1034726,18.9560439
502936,Veľký Ďur,1319,48.2118034,18.4400194
502944,Vyškovce nad Ipľom - Ipolyvisk,655,48.074519,18.8535623
502952,Vyšné nad Hronom - Nagyod,175,48.168227,18.5916882
502961,Zalaba - Zalaba,141,47.962197,18.7038533
502979,Zbrojníky - Kétfegyvernek,498,48.1111761,18.7095785
502987,Želiezovce - Zselíz,6756,48.050115,18.6319535
502995,Žemberovce,1229,48.2536652,18.7571984
503002,Žemliare - Zsemlér,150,48.1503477,18.6080309
503011,Nové Zámky - Érsekújvár,37791,47.993465,18.1638947
503029,Andovce - Andód,1623,47.9897037,18.0908741
503037,Bajtava - Bajta,392,47.8532363,18.7428778
503045,Bánov,3697,48.0454256,18.1920799
503053,Bardoňovo - Barsbaracska,682,48.1124403,18.4233609
503061,Belá (NZ) - Béla,325,47.8294505,18.5844522
503070,Bešeňov - Zsitvabesenyő,1621,48.0450705,18.2717944
503088,Bíňa - Bény,1433,47.9246837,18.6366902
503096,Branovo,579,48.0229068,18.30593
503100,Bruty - Bart,578,47.9169381,18.5723279
503118,Čechy,301,48.0394876,18.3708864
