IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate,obec_code,víťaz,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec
512541,Rakovo,5,SK,96.9%,0.0%,0.0%,0.0%,512541.0,Pellegrini,0.0,0.0,0.0,20.86,37.43,0.0,2.67,1.07,0.0,37.97,0.0
512559,Rakša,5,SK,99.5%,0.0%,0.0%,0.0%,512559.0,Korčok,0.0,0.85,0.0,17.09,41.88,1.71,0.0,0.0,0.85,37.61,0.0
512567,Ratkovo,5,SK,99.0%,0.5%,0.0%,0.0%,512567.0,Pellegrini,0.0,0.0,0.0,14.68,33.03,1.83,2.75,1.83,0.92,44.95,0.0
512575,Rudno,5,SK,98.0%,0.0%,0.0%,0.0%,512575.0,Pellegrini,0.0,0.0,0.0,11.72,33.59,0.78,6.25,3.12,0.0,44.53,0.0
512583,Sklabiňa,5,SK,93.8%,0.0%,0.0%,0.2%,512583.0,Korčok,0.0,0.31,0.0,15.62,41.88,0.0,2.19,1.88,0.31,37.81,0.0
512591,Sklabinský Podzámok,5,SK,98.3%,0.0%,0.0%,0.0%,512591.0,Korčok,0.0,3.19,0.0,10.64,44.68,3.19,1.06,3.19,0.0,34.04,0.0
512605,Sklené,5,SK,95.2%,0.0%,0.0%,0.0%,512605.0,Pellegrini,0.65,1.3,0.0,19.22,29.32,3.26,1.63,0.65,0.0,43.65,0.33
512613,Slovany,5,SK,97.3%,0.0%,0.0%,0.0%,512613.0,Pellegrini,0.0,1.64,0.0,21.72,27.46,0.41,4.1,2.46,0.41,41.8,0.0
512621,Slovenské Pravno,5,SK,99.2%,0.0%,0.0%,0.0%,512621.0,Pellegrini,0.23,0.7,0.0,14.19,29.77,1.16,1.86,1.16,0.23,50.7,0.0
512630,Socovce,5,SK,95.4%,0.0%,0.4%,0.0%,512630.0,Pellegrini,0.0,0.0,0.0,9.01,33.33,0.9,2.7,4.5,0.0,49.55,0.0
512648,Sučany,5,SK,94.8%,0.1%,0.2%,0.0%,512648.0,Pellegrini,0.13,0.35,0.0,15.7,32.96,0.74,1.69,1.82,0.09,46.54,0.0
512656,Šútovo,5,SK,99.2%,0.0%,0.0%,0.0%,512656.0,Pellegrini,0.0,0.38,0.0,23.48,23.48,1.14,1.89,0.76,0.38,48.48,0.0
512664,Trebostovo,5,SK,98.7%,0.0%,0.0%,0.2%,512664.0,Pellegrini,0.0,0.0,0.0,17.42,34.84,1.05,1.74,2.09,0.0,42.86,0.0
512672,Trnovo,5,SK,95.0%,0.0%,0.0%,0.0%,512672.0,Pellegrini,0.0,1.49,0.0,7.46,42.54,0.75,2.24,0.75,0.75,44.03,0.0
512681,Turany,5,SK,93.6%,0.1%,0.0%,0.0%,512681.0,Pellegrini,0.05,0.3,0.05,17.96,31.74,0.55,2.36,1.11,0.15,45.72,0.0
512699,Turček,5,SK,90.8%,0.0%,0.2%,0.0%,512699.0,Pellegrini,0.0,0.0,0.0,14.91,26.75,1.75,2.19,0.0,0.0,53.95,0.44
512702,Turčianska Štiavnička,5,SK,97.7%,0.0%,0.0%,0.0%,512702.0,Korčok,0.0,0.23,0.23,16.67,41.1,1.14,1.37,0.68,0.46,38.13,0.0
512711,Turčianske Kľačany,5,SK,97.0%,0.0%,0.0%,0.0%,512711.0,Korčok,0.2,0.39,0.0,12.99,41.73,1.18,2.17,1.77,0.0,39.57,0.0
512729,Turčianske Teplice,5,SK,92.9%,0.1%,0.0%,0.0%,512729.0,Pellegrini,0.13,0.16,0.06,12.7,35.87,0.93,2.5,2.25,0.1,45.17,0.13
512737,Turčiansky Ďur,5,SK,94.7%,0.0%,0.0%,0.0%,512737.0,Pellegrini,0.0,0.0,0.0,10.13,31.65,0.0,3.8,1.27,0.0,53.16,0.0
512753,Turčiansky Peter,5,SK,90.7%,0.0%,0.0%,0.4%,512753.0,Korčok,0.37,0.74,0.0,15.24,50.19,0.74,1.49,1.49,0.37,28.62,0.74
512761,Valča,5,SK,95.9%,0.1%,0.0%,0.1%,512761.0,Korčok,0.22,0.0,0.0,11.35,45.63,0.22,2.51,2.29,0.0,37.66,0.11
512788,Veľký Čepčín,5,SK,98.0%,0.0%,0.0%,0.0%,512788.0,Pellegrini,0.0,0.0,0.0,9.57,28.7,0.0,1.74,3.48,0.87,54.78,0.87
512796,Vrícko,5,SK,95.2%,0.7%,0.0%,0.0%,512796.0,Korčok,0.41,14.4,0.0,11.11,37.04,2.88,0.41,0.82,0.0,32.92,0.0
512818,Záborie,5,SK,98.8%,0.0%,0.0%,0.0%,512818.0,Pellegrini,0.0,1.15,0.0,14.94,33.33,0.0,0.0,1.15,0.0,49.43,0.0
512834,Žabokreky,5,SK,94.5%,0.0%,0.1%,0.0%,512834.0,Pellegrini,0.0,0.32,0.16,10.56,40.8,0.64,1.12,1.44,0.32,44.64,0.0
512842,Považská Bystrica,3,SK,93.6%,0.1%,0.0%,0.0%,512842.0,Pellegrini,0.11,0.81,0.03,13.04,38.98,0.49,2.08,1.38,0.13,42.85,0.09
512851,Beluša,3,SK,96.4%,0.0%,0.0%,0.0%,512851.0,Pellegrini,0.1,2.0,0.07,15.04,33.98,0.24,2.34,1.6,0.17,44.2,0.27
512885,Bolešov,3,SK,97.5%,0.1%,0.0%,0.1%,512885.0,Pellegrini,0.0,0.56,0.28,14.41,35.24,0.56,1.4,1.68,0.28,45.45,0.14
512915,Brvnište,3,SK,95.3%,0.0%,0.0%,0.0%,512915.0,Pellegrini,0.17,0.69,0.0,16.52,21.34,1.03,1.03,1.03,0.17,58.0,0.0
512931,Červený Kameň,3,SK,95.5%,0.0%,0.0%,0.0%,512931.0,Pellegrini,0.31,2.19,0.31,16.3,29.78,0.31,0.94,0.63,0.0,48.9,0.31
512940,Dohňany,3,SK,98.1%,0.0%,0.1%,0.1%,512940.0,Pellegrini,0.22,0.45,0.0,15.87,27.71,0.45,2.23,1.23,0.34,51.51,0.0
512958,Dolná Breznica,3,SK,99.4%,0.0%,0.0%,0.0%,512958.0,Pellegrini,0.41,0.41,0.2,16.36,23.52,0.61,1.02,3.48,0.0,53.99,0.0
512966,Dolná Mariková,3,SK,97.6%,0.0%,0.1%,0.0%,512966.0,Pellegrini,0.14,0.42,0.0,14.01,22.97,0.42,3.64,0.7,0.14,57.56,0.0
513008,Domaniža,3,SK,96.4%,0.0%,0.0%,0.0%,513008.0,Pellegrini,0.53,0.8,0.0,15.58,26.1,1.07,1.6,2.0,0.27,52.06,0.0
513016,Dubnica nad Váhom,3,SK,92.5%,0.1%,0.0%,0.0%,513016.0,Pellegrini,0.11,0.59,0.01,16.2,35.22,0.6,2.65,1.51,0.12,42.9,0.1
513024,Dulov,3,SK,96.9%,0.0%,0.0%,0.0%,513024.0,Pellegrini,0.22,1.3,0.0,17.1,29.87,0.87,2.38,2.38,0.22,45.67,0.0
513083,Horná Mariková,3,SK,95.3%,0.0%,0.0%,0.0%,513083.0,Pellegrini,0.0,0.0,0.0,17.24,13.51,0.86,1.72,1.72,0.0,64.94,0.0
513091,Horná Poruba,3,SK,99.2%,0.0%,0.0%,0.0%,513091.0,Pellegrini,0.0,0.38,0.0,25.61,14.88,0.56,0.94,2.82,0.19,54.61,0.0
513121,Horovce (PU),3,SK,97.3%,0.0%,0.0%,0.0%,513121.0,Pellegrini,0.0,0.45,0.0,18.14,37.19,0.91,1.13,1.81,0.23,40.14,0.0
513156,Ilava,3,SK,93.8%,0.1%,0.0%,0.0%,513156.0,Pellegrini,0.14,0.66,0.03,17.51,32.34,0.73,1.64,2.05,0.07,44.66,0.17
513172,Jasenica,3,SK,95.4%,0.0%,0.0%,0.0%,513172.0,Pellegrini,0.33,1.63,0.0,16.29,35.83,0.16,2.12,1.63,0.16,41.69,0.16
513245,Kostolec,3,SK,98.8%,0.0%,0.0%,0.0%,513245.0,Pellegrini,0.68,0.0,0.0,14.86,22.97,0.0,0.0,0.0,0.0,60.81,0.68
513253,Košeca,3,SK,97.4%,0.1%,0.2%,0.0%,513253.0,Pellegrini,0.15,0.53,0.15,14.17,29.25,0.99,1.68,1.07,0.23,51.71,0.08
513296,Ladce,3,SK,93.8%,0.0%,0.4%,0.0%,513296.0,Pellegrini,0.09,0.34,0.09,13.08,29.26,0.95,1.98,2.07,0.0,52.07,0.09
