obec_code,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec,Víťazný kandidát
515582,0.0,0.0,4.55,0.0,86.36,0.0,4.55,0.0,4.55,0.0,0.0,Korčok
515591,5.45,0.0,69.09,1.82,20.0,3.64,0.0,0.0,0.0,0.0,0.0,Forró
515604,12.5,0.0,0.0,0.0,50.0,0.0,0.0,0.0,37.5,0.0,0.0,Korčok
515612,1.36,0.75,34.34,0.6,55.57,1.2,3.92,0.0,2.11,0.15,0.0,Korčok
515621,8.11,2.7,10.81,0.0,72.97,2.7,2.7,0.0,0.0,0.0,0.0,Korčok
515639,15.79,2.63,5.26,0.0,60.53,2.63,7.89,0.0,5.26,0.0,0.0,Korčok
515647,0.0,0.0,20.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,Korčok
515655,6.25,0.0,18.75,0.0,62.5,0.0,9.38,0.0,3.12,0.0,0.0,Korčok
515663,19.51,0.0,12.2,0.0,34.15,0.0,21.95,0.0,12.2,0.0,0.0,Korčok
515671,13.64,0.0,31.82,4.55,31.82,0.0,13.64,0.0,0.0,4.55,0.0,Forró
515680,2.77,0.0,53.23,0.92,41.85,0.31,0.0,0.31,0.62,0.0,0.0,Forró
515698,5.0,0.0,0.0,0.0,70.0,0.0,10.0,0.0,15.0,0.0,0.0,Korčok
515701,6.38,0.0,38.3,0.0,51.06,0.0,2.13,0.0,0.0,0.0,2.13,Korčok
515710,0.0,1.92,30.77,0.0,55.77,3.85,3.85,0.0,3.85,0.0,0.0,Korčok
515728,20.0,0.0,20.0,0.0,30.0,0.0,10.0,0.0,20.0,0.0,0.0,Korčok
515736,6.12,0.0,34.69,2.04,57.14,0.0,0.0,0.0,0.0,0.0,0.0,Korčok
515744,6.1,0.0,19.51,0.0,58.54,1.22,13.41,0.0,1.22,0.0,0.0,Korčok
515752,33.33,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forró
515761,0.0,0.0,42.86,0.0,42.86,14.29,0.0,0.0,0.0,0.0,0.0,Forró
515779,5.88,0.0,0.0,2.94,88.24,0.0,2.94,0.0,0.0,0.0,0.0,Korčok
515795,2.33,2.33,16.28,2.33,69.77,0.0,2.33,0.0,0.0,0.0,4.65,Korčok
515809,0.0,0.0,76.92,0.0,23.08,0.0,0.0,0.0,0.0,0.0,0.0,Forró
515817,0.0,0.0,20.0,0.0,60.0,0.0,20.0,0.0,0.0,0.0,0.0,Korčok
515833,22.22,0.0,0.0,0.0,33.33,0.0,44.44,0.0,0.0,0.0,0.0,Kubiš
515841,25.81,0.0,6.45,0.0,54.84,3.23,6.45,0.0,0.0,0.0,3.23,Korčok
515850,1.44,0.17,60.44,0.59,33.31,1.01,0.42,0.17,2.03,0.25,0.17,Forró
515868,6.25,0.0,39.58,0.0,43.75,0.0,0.0,0.0,10.42,0.0,0.0,Korčok
515876,0.0,0.0,33.33,0.0,58.33,0.0,5.56,0.0,0.0,2.78,0.0,Korčok
515884,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,Danko
515892,4.9,0.0,30.77,0.7,53.85,1.4,4.2,1.4,2.8,0.0,0.0,Korčok
515906,1.63,0.81,38.21,0.0,49.59,2.44,2.44,0.0,4.88,0.0,0.0,Korčok
515914,11.86,0.0,8.47,0.0,72.88,0.0,0.0,0.0,6.78,0.0,0.0,Korčok
515922,15.15,3.03,30.3,0.0,45.45,6.06,0.0,0.0,0.0,0.0,0.0,Korčok
515931,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forró
515949,0.0,2.5,67.5,2.5,20.0,2.5,0.0,0.0,5.0,0.0,0.0,Forró
515957,7.41,0.0,25.93,0.0,22.22,0.0,7.41,0.0,37.04,0.0,0.0,Náhlik
515965,0.0,0.0,48.62,1.83,43.12,2.75,0.0,0.0,3.67,0.0,0.0,Forró
515973,3.85,0.0,44.23,0.0,44.23,3.85,0.0,0.0,3.85,0.0,0.0,Forró
515981,0.0,2.94,35.29,2.94,58.82,0.0,0.0,0.0,0.0,0.0,0.0,Korčok
515990,0.0,0.0,6.25,6.25,68.75,0.0,6.25,0.0,12.5,0.0,0.0,Korčok
516007,0.0,0.0,33.33,11.11,44.44,0.0,0.0,0.0,11.11,0.0,0.0,Korčok
516015,0.0,0.0,61.9,0.0,33.33,4.76,0.0,0.0,0.0,0.0,0.0,Forró
516023,0.0,4.17,75.0,0.0,16.67,0.0,0.0,0.0,4.17,0.0,0.0,Forró
516031,6.67,0.0,40.0,3.33,46.67,0.0,0.0,0.0,0.0,0.0,3.33,Korčok
516040,5.56,4.17,48.61,1.39,26.39,2.78,1.39,1.39,5.56,1.39,1.39,Forró
516058,5.88,0.0,35.29,0.0,35.29,0.0,0.0,0.0,23.53,0.0,0.0,Forró
516066,37.5,0.0,12.5,12.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,Danko
516074,1.41,0.0,30.99,0.0,35.21,0.0,1.41,0.0,30.99,0.0,0.0,Korčok
516082,0.0,0.0,20.41,0.0,48.98,0.0,26.53,0.0,4.08,0.0,0.0,Korčok
516091,0.0,0.0,24.39,0.0,34.15,0.0,4.88,0.0,36.59,0.0,0.0,Náhlik
516104,0.0,0.0,20.0,0.0,66.67,0.0,6.67,0.0,6.67,0.0,0.0,Korčok
516112,4.35,0.0,13.04,0.0,34.78,0.0,13.04,0.0,34.78,0.0,0.0,Korčok
516121,4.35,0.0,34.78,0.0,45.65,0.0,10.87,0.0,4.35,0.0,0.0,Korčok
516139,2.78,0.0,30.56,0.0,50.0,0.0,5.56,0.0,11.11,0.0,0.0,Korčok
516147,2.04,0.0,28.57,0.0,59.18,0.0,0.0,0.0,10.2,0.0,0.0,Korčok
516155,2.5,2.5,27.5,0.0,65.0,0.0,0.0,0.0,2.5,0.0,0.0,Korčok
516163,0.0,0.0,33.33,0.0,55.56,0.0,0.0,0.0,0.0,0.0,11.11,Korčok
516171,0.0,0.0,92.86,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,Forró
516198,0.0,0.0,50.0,3.33,26.67,0.0,0.0,0.0,20.0,0.0,0.0,Forró
516210,0.53,0.0,55.32,0.53,38.83,1.6,0.53,1.06,0.0,0.53,1.06,Forró
516228,5.26,0.0,5.26,2.63,76.32,2.63,7.89,0.0,0.0,0.0,0.0,Korčok
516236,3.82,0.0,49.68,0.0,43.31,0.64,1.27,0.0,1.27,0.0,0.0,Forró
516244,7.32,0.0,36.59,0.0,51.22,0.0,0.0,0.0,4.88,0.0,0.0,Korčok
516252,3.45,0.0,48.28,0.0,41.38,0.0,3.45,0.0,0.0,3.45,0.0,Forró
516261,0.0,0.0,30.36,0.0,21.43,0.0,0.0,0.0,48.21,0.0,0.0,Náhlik
516279,1.85,0.0,24.07,0.0,64.81,1.85,5.56,0.0,1.85,0.0,0.0,Korčok
516287,0.0,0.0,50.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,Forró
516295,4.35,2.9,42.03,1.45,44.93,1.45,1.45,0.0,1.45,0.0,0.0,Korčok
516309,42.86,0.0,28.57,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,Danko
516317,3.08,0.0,72.31,0.0,23.08,0.0,0.0,1.54,0.0,0.0,0.0,Forró
516333,0.0,0.0,21.05,0.0,57.89,0.0,5.26,0.0,15.79,0.0,0.0,Korčok
516341,0.0,0.0,42.86,0.0,35.71,7.14,7.14,0.0,7.14,0.0,0.0,Forró
516368,7.14,7.14,42.86,0.0,42.86,0.0,0.0,0.0,0.0,0.0,0.0,Forró
516376,3.03,0.0,31.82,1.52,63.64,0.0,0.0,0.0,0.0,0.0,0.0,Korčok
516384,2.33,0.0,32.56,0.0,58.14,2.33,0.0,0.0,4.65,0.0,0.0,Korčok
516392,0.0,0.0,77.78,0.0,11.11,5.56,0.0,5.56,0.0,0.0,0.0,Forró
516406,1.37,0.0,54.79,0.0,41.1,0.0,0.0,0.0,2.74,0.0,0.0,Forró
516414,15.38,0.0,38.46,0.0,46.15,0.0,0.0,0.0,0.0,0.0,0.0,Korčok
516422,0.0,0.0,72.73,0.0,27.27,0.0,0.0,0.0,0.0,0.0,0.0,Forró
516431,0.0,0.0,36.36,0.0,31.82,0.0,4.55,0.0,18.18,0.0,9.09,Forró
516449,0.0,0.0,16.67,0.0,50.0,0.0,0.0,16.67,16.67,0.0,0.0,Korčok
516457,0.0,0.0,6.06,0.0,48.48,0.0,33.33,0.0,12.12,0.0,0.0,Korčok
516465,2.17,0.0,45.65,0.0,41.3,4.35,0.0,0.0,6.52,0.0,0.0,Forró
516473,3.75,0.0,17.5,0.0,21.25,0.0,1.25,0.0,55.0,1.25,0.0,Náhlik
516490,11.9,0.0,28.57,0.0,52.38,2.38,2.38,0.0,2.38,0.0,0.0,Korčok
516503,0.0,0.0,41.67,8.33,41.67,0.0,0.0,0.0,0.0,8.33,0.0,Forró
516511,0.0,0.0,28.57,0.0,66.67,0.0,0.0,0.0,4.76,0.0,0.0,Korčok
516520,2.44,0.0,40.65,0.81,44.72,0.0,5.69,0.0,5.69,0.0,0.0,Korčok
516538,0.0,0.0,37.93,0.0,17.24,0.0,0.0,0.0,44.83,0.0,0.0,Náhlik
516546,1.67,1.67,68.33,0.0,21.67,3.33,0.0,0.0,1.67,0.0,1.67,Forró
516554,2.7,2.7,45.95,2.7,37.84,0.0,0.0,0.0,8.11,0.0,0.0,Forró
516562,11.11,5.56,44.44,0.0,22.22,11.11,5.56,0.0,0.0,0.0,0.0,Forró
516571,0.0,0.95,47.62,0.0,43.81,1.9,1.9,0.95,2.86,0.0,0.0,Forró
516589,2.31,0.14,72.35,0.28,21.56,1.94,0.09,0.28,0.69,0.18,0.18,Forró
516597,0.0,0.0,70.99,0.0,25.19,1.53,0.0,0.0,0.76,0.76,0.76,Forró
516601,0.0,0.0,28.57,0.0,71.43,0.0,0.0,0.0,0.0,0.0,0.0,Korčok
516627,2.11,0.7,63.38,0.7,28.87,0.7,0.0,0.0,0.0,1.41,2.11,Forró
516643,2.06,0.28,73.85,0.35,19.63,2.06,0.07,0.43,0.57,0.14,0.57,Forró
516651,1.69,1.69,64.41,0.0,30.51,1.69,0.0,0.0,0.0,0.0,0.0,Forró
516660,4.08,0.0,75.51,0.0,10.2,2.04,4.08,0.0,0.0,0.0,4.08,Forró
516678,0.0,0.0,88.89,0.0,5.56,5.56,0.0,0.0,0.0,0.0,0.0,Forró
516708,1.41,0.0,67.61,0.0,28.17,1.41,0.0,0.0,0.0,1.41,0.0,Forró
516716,0.0,0.0,41.67,0.0,50.0,0.0,0.0,0.0,8.33,0.0,0.0,Korčok
516724,4.08,0.0,48.98,0.0,38.78,6.12,0.0,0.0,0.0,0.0,2.04,Forró
516732,5.26,0.0,84.21,5.26,0.0,0.0,0.0,0.0,0.0,5.26,0.0,Forró
516741,2.3,1.15,72.41,0.0,22.99,1.15,0.0,0.0,0.0,0.0,0.0,Forró
516759,4.67,0.0,70.82,0.39,21.01,2.72,0.0,0.0,0.39,0.0,0.0,Forró
516767,1.76,0.0,68.91,0.59,25.22,2.93,0.0,0.0,0.59,0.0,0.0,Forró
516791,0.0,0.0,74.67,0.0,17.33,8.0,0.0,0.0,0.0,0.0,0.0,Forró
516805,0.0,0.0,55.77,0.0,42.31,0.96,0.0,0.0,0.0,0.0,0.96,Forró
516813,3.23,3.23,58.06,0.0,32.26,3.23,0.0,0.0,0.0,0.0,0.0,Forró
516821,0.0,0.0,68.18,0.0,29.55,2.27,0.0,0.0,0.0,0.0,0.0,Forró
516830,0.94,0.94,58.49,0.0,27.36,6.6,2.83,0.94,1.89,0.0,0.0,Forró
516848,4.0,0.0,44.0,0.0,48.0,0.0,0.0,0.0,2.0,2.0,0.0,Korčok
516856,0.0,0.0,78.72,0.0,19.15,0.0,0.0,0.0,2.13,0.0,0.0,Forró
516872,2.34,0.0,64.84,0.0,25.78,3.91,0.78,0.78,1.56,0.0,0.0,Forró
516881,3.09,1.03,71.13,0.0,18.56,4.12,0.0,0.0,2.06,0.0,0.0,Forró
516902,0.0,0.0,69.23,0.0,26.92,3.85,0.0,0.0,0.0,0.0,0.0,Forró
516937,7.27,0.0,58.18,0.0,30.91,1.82,0.0,0.0,0.0,1.82,0.0,Forró
516945,0.0,0.0,66.0,2.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,Forró
516953,0.0,6.67,53.33,0.0,33.33,0.0,6.67,0.0,0.0,0.0,0.0,Forró
516961,1.92,0.0,80.77,1.92,13.46,1.92,0.0,0.0,0.0,0.0,0.0,Forró
516970,0.8,0.3,80.78,0.2,15.49,1.31,0.2,0.0,0.2,0.4,0.3,Forró
516988,2.0,0.0,74.0,2.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,Forró
516996,0.0,0.0,52.78,0.0,33.33,13.89,0.0,0.0,0.0,0.0,0.0,Forró
517011,0.0,0.0,68.57,0.0,31.43,0.0,0.0,0.0,0.0,0.0,0.0,Forró
517020,1.15,1.15,60.92,0.0,34.48,1.15,0.0,0.0,1.15,0.0,0.0,Forró
517038,0.78,0.0,75.39,0.78,21.48,1.17,0.0,0.0,0.39,0.0,0.0,Forró
517046,2.94,2.94,64.71,0.0,23.53,5.88,0.0,0.0,0.0,0.0,0.0,Forró
517062,0.0,0.0,69.33,0.0,28.0,1.33,0.0,0.0,1.33,0.0,0.0,Forró
517071,0.0,0.0,69.23,0.0,23.08,7.69,0.0,0.0,0.0,0.0,0.0,Forró
517089,1.47,2.94,79.41,0.0,11.76,1.47,0.0,0.0,1.47,1.47,0.0,Forró
517097,1.45,0.0,61.18,0.72,31.57,3.31,0.0,0.41,0.93,0.41,0.0,Forró
517119,2.13,0.0,65.96,0.0,27.66,0.0,0.0,4.26,0.0,0.0,0.0,Forró
517127,5.88,0.0,58.82,0.0,29.41,5.88,0.0,0.0,0.0,0.0,0.0,Forró
517135,1.27,0.0,75.95,0.0,18.99,3.8,0.0,0.0,0.0,0.0,0.0,Forró
517143,2.7,2.7,62.16,0.0,24.32,8.11,0.0,0.0,0.0,0.0,0.0,Forró
517160,0.0,0.0,86.67,0.0,13.33,0.0,0.0,0.0,0.0,0.0,0.0,Forró
517178,2.53,0.0,68.35,0.0,24.05,0.0,0.0,1.27,2.53,1.27,0.0,Forró
517186,4.35,0.0,59.42,0.0,33.33,2.9,0.0,0.0,0.0,0.0,0.0,Forró
517194,1.59,0.0,73.02,0.0,15.87,9.52,0.0,0.0,0.0,0.0,0.0,Forró
517216,0.0,0.0,54.55,0.0,42.42,3.03,0.0,0.0,0.0,0.0,0.0,Forró
517232,4.65,0.0,60.47,0.0,34.88,0.0,0.0,0.0,0.0,0.0,0.0,Forró
517241,2.6,0.0,53.25,1.3,38.96,2.6,0.0,1.3,0.0,0.0,0.0,Forró
517259,4.62,0.0,63.08,1.54,24.62,3.08,0.0,0.0,1.54,0.0,1.54,Forró
517267,1.75,0.88,69.3,0.0,22.81,1.75,0.0,0.0,2.63,0.88,0.0,Forró
517283,1.47,0.0,82.35,1.47,10.29,4.41,0.0,0.0,0.0,0.0,0.0,Forró
517291,0.69,0.0,63.89,0.0,31.94,2.78,0.0,0.0,0.69,0.0,0.0,Forró
517305,0.0,0.0,75.61,1.22,23.17,0.0,0.0,0.0,0.0,0.0,0.0,Forró
517313,4.71,0.0,70.0,0.0,23.53,1.76,0.0,0.0,0.0,0.0,0.0,Forró
517330,1.02,0.0,42.86,0.0,48.98,3.06,0.0,2.04,0.0,1.02,1.02,Korčok
517348,0.0,0.0,57.58,0.0,42.42,0.0,0.0,0.0,0.0,0.0,0.0,Forró
517356,4.23,0.0,57.75,0.0,28.17,4.23,1.41,0.0,4.23,0.0,0.0,Forró
517364,3.66,0.52,68.06,0.0,24.61,3.14,0.0,0.0,0.0,0.0,0.0,Forró
517372,0.0,0.0,81.82,0.0,18.18,0.0,0.0,0.0,0.0,0.0,0.0,Forró
517381,0.82,0.33,67.32,0.16,28.43,1.96,0.16,0.0,0.16,0.49,0.16,Forró
