obec_code,víťaz,Korčok,Pellegrini
504009,Pellegrini,7.14,92.86
504017,Pellegrini,11.11,88.89
504025,Pellegrini,6.0,94.0
504033,Korčok,100.0,0.0
504041,Pellegrini,0.0,100.0
504050,Pellegrini,0.0,100.0
504068,Korčok,100.0,0.0
504076,Korčok,50.0,50.0
504084,Korčok,50.0,50.0
504092,Pellegrini,0.0,100.0
504106,Korčok,0.0,0.0
504114,Korčok,0.0,0.0
504122,Pellegrini,0.0,100.0
504131,Pellegrini,33.33,66.67
504149,Pellegrini,25.0,75.0
504157,Pellegrini,10.0,90.0
504165,Korčok,100.0,0.0
504173,Pellegrini,0.0,100.0
504181,Pellegrini,0.0,100.0
504190,Pellegrini,0.0,100.0
504203,Pellegrini,10.91,89.09
504211,Korčok,0.0,0.0
504220,Korčok,100.0,0.0
504238,Pellegrini,9.09,90.91
504254,Pellegrini,0.0,100.0
504262,Korčok,50.0,50.0
504271,Pellegrini,23.08,76.92
504289,Pellegrini,0.0,100.0
504297,Pellegrini,0.0,100.0
504319,Pellegrini,0.0,100.0
504327,Pellegrini,0.0,100.0
504335,Pellegrini,0.0,100.0
504343,Pellegrini,0.0,100.0
504351,Pellegrini,26.09,73.91
504360,Korčok,0.0,0.0
504378,Pellegrini,26.09,73.91
504386,Pellegrini,0.0,100.0
504394,Korčok,0.0,0.0
504408,Korčok,0.0,0.0
504416,Pellegrini,0.0,100.0
504424,Korčok,66.67,33.33
504432,Pellegrini,0.0,100.0
504459,Pellegrini,33.33,66.67
504467,Korčok,0.0,0.0
504475,Pellegrini,0.0,100.0
504483,Pellegrini,0.0,100.0
504491,Pellegrini,0.0,100.0
504513,Pellegrini,6.9,93.1
504521,Pellegrini,10.0,90.0
504530,Pellegrini,0.0,100.0
504548,Korčok,0.0,0.0
504556,Pellegrini,0.0,100.0
504564,Pellegrini,14.29,85.71
504572,Pellegrini,0.0,100.0
504581,Pellegrini,35.29,64.71
504599,Pellegrini,0.0,100.0
504602,Pellegrini,0.0,100.0
504611,Pellegrini,33.33,66.67
504629,Pellegrini,0.0,100.0
504637,Korčok,100.0,0.0
504645,Pellegrini,0.0,100.0
504653,Pellegrini,0.0,100.0
504661,Pellegrini,0.0,100.0
504670,Korčok,50.0,50.0
504688,Korčok,0.0,0.0
504696,Korčok,100.0,0.0
504700,Pellegrini,0.0,100.0
504718,Pellegrini,0.0,100.0
504726,Pellegrini,0.0,100.0
504734,Korčok,50.0,50.0
504742,Pellegrini,4.0,96.0
504769,Pellegrini,14.29,85.71
504777,Korčok,0.0,0.0
504793,Pellegrini,0.0,100.0
504815,Pellegrini,22.22,77.78
504823,Pellegrini,16.67,83.33
504831,Pellegrini,25.0,75.0
504840,Pellegrini,0.0,100.0
504858,Pellegrini,11.11,88.89
504866,Pellegrini,40.0,60.0
504874,Pellegrini,25.0,75.0
504882,Korčok,50.0,50.0
504891,Pellegrini,0.0,100.0
504904,Pellegrini,0.0,100.0
504912,Pellegrini,0.0,100.0
504939,Pellegrini,20.0,80.0
504947,Pellegrini,10.0,90.0
504963,Pellegrini,0.0,100.0
504971,Pellegrini,0.0,100.0
504980,Pellegrini,0.0,100.0
504998,Pellegrini,17.31,82.69
505021,Pellegrini,0.0,100.0
505048,Pellegrini,0.0,100.0
505056,Korčok,0.0,0.0
505064,Korčok,0.0,0.0
505072,Pellegrini,0.0,100.0
505102,Pellegrini,0.0,100.0
505129,Pellegrini,0.0,100.0
505137,Pellegrini,0.0,100.0
505153,Pellegrini,0.0,100.0
505170,Korčok,0.0,0.0
505196,Pellegrini,0.0,100.0
505200,Pellegrini,0.0,100.0
505226,Korčok,0.0,0.0
505234,Pellegrini,33.33,66.67
505242,Korčok,0.0,0.0
505251,Korčok,0.0,0.0
505277,Korčok,0.0,0.0
505285,Pellegrini,0.0,100.0
505307,Pellegrini,0.0,100.0
505315,Pellegrini,14.29,85.71
505323,Korčok,0.0,0.0
505331,Pellegrini,0.0,100.0
505340,Korčok,0.0,0.0
505358,Pellegrini,0.0,100.0
505374,Korčok,50.0,50.0
505382,Pellegrini,0.0,100.0
505404,Pellegrini,14.29,85.71
505412,Korčok,50.0,50.0
505421,Pellegrini,25.0,75.0
505439,Korčok,0.0,0.0
505447,Pellegrini,0.0,100.0
505455,Pellegrini,14.29,85.71
505463,Pellegrini,0.0,100.0
505471,Korčok,0.0,0.0
505480,Korčok,0.0,0.0
505498,Pellegrini,20.0,80.0
505510,Korčok,0.0,0.0
505536,Pellegrini,0.0,100.0
505544,Korčok,0.0,0.0
505552,Korčok,66.67,33.33
505561,Pellegrini,0.0,100.0
505579,Pellegrini,0.0,100.0
505595,Korčok,0.0,0.0
505617,Korčok,0.0,0.0
505625,Pellegrini,33.33,66.67
505633,Pellegrini,0.0,100.0
505641,Korčok,50.0,50.0
505676,Pellegrini,33.33,66.67
505684,Pellegrini,0.0,100.0
505692,Pellegrini,0.0,100.0
505706,Korčok,0.0,0.0
505714,Pellegrini,16.67,83.33
505722,Pellegrini,11.11,88.89
505731,Korčok,0.0,0.0
505749,Pellegrini,0.0,100.0
505757,Korčok,0.0,0.0
505765,Korčok,0.0,0.0
505773,Korčok,0.0,0.0
505790,Korčok,0.0,0.0
505803,Pellegrini,28.57,71.43
505811,Korčok,0.0,0.0
505820,Pellegrini,5.8,94.2
505838,Pellegrini,0.0,100.0
505846,Pellegrini,13.33,86.67
505854,Pellegrini,16.67,83.33
505871,Pellegrini,14.29,85.71
505889,Pellegrini,0.0,100.0
505897,Pellegrini,11.11,88.89
505901,Pellegrini,27.27,72.73
505919,Korčok,50.0,50.0
505935,Korčok,0.0,0.0
505943,Pellegrini,11.11,88.89
505951,Korčok,100.0,0.0
505960,Pellegrini,15.38,84.62
505978,Pellegrini,0.0,100.0
505994,Pellegrini,0.0,100.0
506001,Korčok,66.67,33.33
506010,Pellegrini,29.17,70.83
506028,Pellegrini,0.0,100.0
506036,Pellegrini,35.71,64.29
506044,Pellegrini,0.0,100.0
506052,Pellegrini,0.0,100.0
506061,Korčok,100.0,0.0
506079,Korčok,50.0,50.0
506087,Pellegrini,0.0,100.0
506095,Pellegrini,0.0,100.0
506109,Pellegrini,0.0,100.0
506125,Pellegrini,23.08,76.92
506133,Pellegrini,0.0,100.0
506141,Korčok,0.0,0.0
506150,Pellegrini,0.0,100.0
506168,Pellegrini,0.0,100.0
506184,Pellegrini,8.33,91.67
506206,Pellegrini,0.0,100.0
506231,Pellegrini,20.0,80.0
506249,Korčok,50.0,50.0
506257,Pellegrini,0.0,100.0
506265,Pellegrini,20.0,80.0
506273,Pellegrini,0.0,100.0
506281,Pellegrini,7.89,92.11
506290,Pellegrini,0.0,100.0
506303,Pellegrini,12.5,87.5
506311,Pellegrini,0.0,100.0
506338,Pellegrini,9.23,90.77
506346,Korčok,0.0,0.0
506354,Pellegrini,0.0,100.0
506371,Korčok,0.0,0.0
506401,Pellegrini,0.0,100.0
506419,Korčok,0.0,0.0
506427,Pellegrini,9.09,90.91
506435,Pellegrini,0.0,100.0
506443,Pellegrini,33.33,66.67
506478,Pellegrini,0.0,100.0
506508,Pellegrini,12.5,87.5
506516,Pellegrini,0.0,100.0
506524,Pellegrini,16.0,84.0
506532,Pellegrini,40.0,60.0
506541,Korčok,100.0,0.0
506559,Pellegrini,18.75,81.25
506567,Pellegrini,16.67,83.33
506583,Pellegrini,0.0,100.0
506591,Pellegrini,22.22,77.78
506605,Pellegrini,0.0,100.0
506613,Pellegrini,0.0,100.0
506630,Korčok,100.0,0.0
506648,Pellegrini,0.0,100.0
506656,Pellegrini,0.0,100.0
506672,Korčok,0.0,0.0
506745,Pellegrini,4.61,95.39
506788,Pellegrini,0.0,100.0
506796,Pellegrini,25.0,75.0
506800,Pellegrini,0.0,100.0
506818,Pellegrini,11.11,88.89
506826,Pellegrini,0.0,100.0
506834,Pellegrini,0.0,100.0
506842,Pellegrini,12.5,87.5
506851,Pellegrini,20.0,80.0
506869,Pellegrini,33.33,66.67
506877,Pellegrini,14.29,85.71
506885,Pellegrini,7.14,92.86
506893,Pellegrini,3.85,96.15
506915,Pellegrini,0.0,100.0
506923,Pellegrini,0.0,100.0
506931,Korčok,66.67,33.33
506940,Pellegrini,0.0,100.0
506958,Korčok,0.0,0.0
506966,Pellegrini,33.33,66.67
506982,Pellegrini,0.0,100.0
506991,Pellegrini,11.11,88.89
507008,Pellegrini,0.0,100.0
507024,Pellegrini,14.29,85.71
507032,Pellegrini,14.29,85.71
507041,Korčok,0.0,0.0
507059,Pellegrini,0.0,100.0
507067,Pellegrini,0.0,100.0
507075,Korčok,50.0,50.0
507121,Pellegrini,0.0,100.0
507130,Korčok,66.67,33.33
507156,Pellegrini,28.57,71.43
507164,Pellegrini,0.0,100.0
507172,Pellegrini,0.0,100.0
507199,Pellegrini,0.0,100.0
507202,Pellegrini,0.0,100.0
507211,Korčok,0.0,0.0
507229,Pellegrini,0.0,100.0
507253,Pellegrini,18.75,81.25
507288,Pellegrini,0.0,100.0
507296,Pellegrini,0.0,100.0
507300,Pellegrini,0.0,100.0
507318,Pellegrini,18.18,81.82
507326,Korčok,0.0,0.0
507342,Pellegrini,0.0,100.0
507351,Pellegrini,33.33,66.67
507369,Pellegrini,0.0,100.0
507385,Pellegrini,0.0,100.0
507393,Pellegrini,0.0,100.0
507407,Pellegrini,0.0,100.0
507415,Pellegrini,0.0,100.0
507431,Pellegrini,0.0,100.0
507440,Pellegrini,9.18,90.82
507466,Pellegrini,40.0,60.0
507482,Pellegrini,0.0,100.0
507491,Pellegrini,40.0,60.0
507512,Pellegrini,16.67,83.33
507521,Pellegrini,0.0,100.0
507539,Korčok,0.0,0.0
507555,Pellegrini,25.0,75.0
507563,Pellegrini,0.0,100.0
507571,Pellegrini,0.0,100.0
507601,Pellegrini,10.0,90.0
507636,Pellegrini,16.67,83.33
507661,Pellegrini,18.18,81.82
507679,Pellegrini,25.0,75.0
507687,Korčok,50.0,50.0
507709,Pellegrini,14.29,85.71
507725,Pellegrini,25.0,75.0
507741,Pellegrini,0.0,100.0
507750,Pellegrini,4.17,95.83
507768,Pellegrini,10.0,90.0
507776,Pellegrini,0.0,100.0
507792,Pellegrini,20.0,80.0
507806,Pellegrini,0.0,100.0
507814,Pellegrini,3.28,96.72
507822,Pellegrini,0.0,100.0
507831,Pellegrini,0.0,100.0
507849,Pellegrini,10.0,90.0
507857,Pellegrini,30.77,69.23
507865,Pellegrini,33.33,66.67
507873,Pellegrini,0.0,100.0
507881,Pellegrini,25.0,75.0
507890,Pellegrini,42.86,57.14
507903,Pellegrini,0.0,100.0
507911,Pellegrini,0.0,100.0
507938,Pellegrini,2.27,97.73
507946,Pellegrini,0.0,100.0
507954,Korčok,0.0,0.0
507962,Pellegrini,25.0,75.0
507989,Pellegrini,10.53,89.47
507997,Pellegrini,0.0,100.0
508012,Pellegrini,0.0,100.0
508021,Pellegrini,0.0,100.0
508039,Pellegrini,0.0,100.0
508047,Pellegrini,0.0,100.0
508055,Pellegrini,12.5,87.5
508063,Pellegrini,12.5,87.5
508071,Pellegrini,11.76,88.24
508080,Pellegrini,0.0,100.0
508098,Pellegrini,4.76,95.24
508101,Pellegrini,5.13,94.87
508110,Pellegrini,21.05,78.95
508136,Pellegrini,0.0,100.0
508161,Pellegrini,33.33,66.67
508179,Pellegrini,6.8,93.2
508187,Korčok,0.0,0.0
508195,Pellegrini,20.0,80.0
508209,Pellegrini,0.0,100.0
508217,Pellegrini,1.85,98.15
508225,Pellegrini,18.75,81.25
508233,Pellegrini,7.55,92.45
508241,Pellegrini,33.33,66.67
508250,Pellegrini,2.5,97.5
508268,Korčok,50.0,50.0
508276,Pellegrini,0.0,100.0
508284,Pellegrini,33.33,66.67
508292,Pellegrini,0.0,100.0
508306,Pellegrini,5.56,94.44
508314,Pellegrini,0.0,100.0
508322,Pellegrini,33.33,66.67
508331,Pellegrini,0.0,100.0
508349,Pellegrini,28.57,71.43
508365,Korčok,50.0,50.0
508381,Pellegrini,29.41,70.59
508438,Pellegrini,4.76,95.24
508446,Pellegrini,0.0,100.0
508454,Pellegrini,10.0,90.0
508462,Pellegrini,0.0,100.0
508471,Korčok,0.0,0.0
508489,Pellegrini,0.0,100.0
508497,Pellegrini,6.25,93.75
508519,Pellegrini,0.0,100.0
508527,Pellegrini,0.0,100.0
508535,Korčok,0.0,0.0
508543,Korčok,0.0,0.0
508551,Korčok,0.0,0.0
508560,Pellegrini,0.0,100.0
508578,Korčok,100.0,0.0
508586,Korčok,0.0,0.0
508594,Pellegrini,0.0,100.0
508608,Pellegrini,28.57,71.43
508616,Korčok,0.0,0.0
508624,Korčok,0.0,0.0
508632,Pellegrini,0.0,100.0
508641,Pellegrini,0.0,100.0
508659,Pellegrini,0.0,100.0
508667,Pellegrini,0.0,100.0
508675,Korčok,0.0,0.0
508691,Korčok,0.0,0.0
508705,Korčok,0.0,0.0
508713,Pellegrini,0.0,100.0
508721,Korčok,0.0,0.0
508730,Korčok,50.0,50.0
508748,Pellegrini,25.0,75.0
508756,Pellegrini,8.33,91.67
508764,Pellegrini,0.0,100.0
508772,Pellegrini,0.0,100.0
508781,Korčok,50.0,50.0
508799,Korčok,0.0,0.0
508802,Korčok,100.0,0.0
508811,Pellegrini,0.0,100.0
508829,Pellegrini,0.0,100.0
508837,Korčok,0.0,0.0
508845,Korčok,100.0,0.0
508853,Pellegrini,33.33,66.67
508861,Pellegrini,0.0,100.0
508870,Pellegrini,0.0,100.0
508888,Korčok,0.0,0.0
508896,Korčok,0.0,0.0
508900,Korčok,0.0,0.0
508918,Pellegrini,0.0,100.0
508926,Korčok,0.0,0.0
508934,Pellegrini,0.0,100.0
508942,Pellegrini,0.0,100.0
508951,Korčok,0.0,0.0
508969,Pellegrini,0.0,100.0
508977,Korčok,0.0,0.0
508985,Pellegrini,0.0,100.0
508993,Korčok,100.0,0.0
509001,Pellegrini,0.0,100.0
509019,Pellegrini,0.0,100.0
509027,Korčok,0.0,0.0
509035,Korčok,0.0,0.0
509043,Pellegrini,33.33,66.67
509051,Pellegrini,0.0,100.0
509060,Pellegrini,0.0,100.0
509086,Korčok,50.0,50.0
509094,Korčok,0.0,0.0
509124,Pellegrini,0.0,100.0
509132,Pellegrini,13.04,86.96
509159,Pellegrini,42.86,57.14
509167,Pellegrini,33.33,66.67
509175,Pellegrini,0.0,100.0
509183,Korčok,66.67,33.33
509205,Pellegrini,12.5,87.5
509213,Korčok,50.0,50.0
509221,Korčok,0.0,0.0
509230,Pellegrini,0.0,100.0
509248,Pellegrini,20.0,80.0
509256,Pellegrini,6.35,93.65
509264,Korčok,50.0,50.0
509272,Pellegrini,0.0,100.0
509281,Pellegrini,0.0,100.0
509299,Pellegrini,33.33,66.67
509302,Pellegrini,23.08,76.92
509311,Korčok,57.14,42.86
509329,Pellegrini,0.0,100.0
509337,Pellegrini,25.0,75.0
509345,Pellegrini,0.0,100.0
509361,Korčok,50.0,50.0
509370,Korčok,66.67,33.33
509396,Pellegrini,20.0,80.0
509400,Pellegrini,6.25,93.75
509426,Korčok,50.0,50.0
509434,Pellegrini,0.0,100.0
509442,Pellegrini,25.0,75.0
509451,Pellegrini,5.88,94.12
509469,Korčok,0.0,0.0
509477,Pellegrini,0.0,100.0
509485,Pellegrini,33.33,66.67
509493,Pellegrini,25.0,75.0
509507,Pellegrini,11.76,88.24
509515,Pellegrini,42.86,57.14
509523,Pellegrini,33.33,66.67
509531,Pellegrini,28.57,71.43
509540,Pellegrini,3.0,97.0
509558,Pellegrini,0.0,100.0
509566,Pellegrini,0.0,100.0
509582,Pellegrini,6.25,93.75
509591,Pellegrini,33.33,66.67
509604,Pellegrini,6.25,93.75
509639,Pellegrini,0.0,100.0
509655,Pellegrini,30.77,69.23
509663,Pellegrini,0.0,100.0
509671,Pellegrini,0.0,100.0
509680,Pellegrini,18.52,81.48
509698,Pellegrini,12.5,87.5
509701,Pellegrini,12.5,87.5
509710,Korčok,0.0,0.0
509728,Pellegrini,6.25,93.75
509744,Pellegrini,0.0,100.0
509761,Pellegrini,4.35,95.65
509779,Pellegrini,20.0,80.0
509787,Pellegrini,0.0,100.0
509795,Pellegrini,10.0,90.0
509809,Pellegrini,16.67,83.33
509817,Pellegrini,20.0,80.0
509825,Pellegrini,0.0,100.0
