IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate,obec_code,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec,voted,voters,turnout
500402,Klasov - Kalász,4,SK,67.7%,23.1%,0.0%,0.0%,500402.0,1.0,2.0,58.0,48.0,240.0,0.0,7.0,12.0,2.0,193.0,2.0,565.0,1032.0,54.75
500411,Kolíňany - Kolon,4,SK,56.7%,39.4%,0.0%,0.0%,500411.0,0.0,1.0,93.0,53.0,280.0,1.0,7.0,19.0,2.0,145.0,2.0,603.0,1257.0,47.97
500429,Kostoľany pod Tribečom,4,SK,96.5%,2.0%,0.0%,0.0%,500429.0,0.0,0.0,0.0,21.0,57.0,0.0,5.0,4.0,0.0,98.0,0.0,185.0,294.0,62.93
500437,Ladice - Barslédec,4,SK,69.4%,24.3%,0.0%,0.0%,500437.0,0.0,1.0,28.0,49.0,119.0,1.0,1.0,13.0,0.0,100.0,0.0,312.0,645.0,48.37
500453,Lehota,4,SK,94.5%,0.2%,0.0%,0.0%,500453.0,0.0,9.0,1.0,180.0,401.0,6.0,25.0,12.0,1.0,552.0,2.0,1189.0,1983.0,59.96
500461,Lovce,4,SK,97.7%,0.6%,0.0%,0.3%,500461.0,1.0,0.0,0.0,44.0,82.0,1.0,8.0,6.0,1.0,205.0,0.0,348.0,581.0,59.9
500470,Lúčnica nad Žitavou,4,SK,92.5%,0.6%,0.4%,0.0%,500470.0,0.0,2.0,0.0,101.0,134.0,0.0,9.0,9.0,0.0,230.0,0.0,485.0,819.0,59.22
500488,Lukáčovce,4,SK,97.3%,0.1%,0.3%,0.0%,500488.0,0.0,6.0,1.0,80.0,193.0,1.0,7.0,13.0,0.0,201.0,0.0,502.0,972.0,51.65
500500,Machulince,4,SK,96.8%,0.1%,0.0%,0.0%,500500.0,0.0,7.0,0.0,86.0,190.0,1.0,12.0,25.0,0.0,228.0,0.0,549.0,886.0,61.96
500518,Veľké Chyndice,4,SK,86.4%,10.4%,0.0%,0.0%,500518.0,0.0,1.0,1.0,18.0,53.0,0.0,1.0,5.0,0.0,81.0,0.0,160.0,280.0,57.14
500534,Malé Zálužie,4,SK,94.7%,0.0%,0.0%,0.0%,500534.0,0.0,0.0,0.0,18.0,49.0,0.0,2.0,0.0,0.0,78.0,0.0,147.0,243.0,60.49
500542,Mankovce,4,SK,97.3%,0.2%,0.0%,0.0%,500542.0,0.0,0.0,0.0,20.0,65.0,1.0,3.0,10.0,1.0,162.0,0.0,262.0,410.0,63.9
500551,Martin nad Žitavou,4,SK,97.4%,0.2%,0.2%,0.0%,500551.0,0.0,2.0,0.0,48.0,76.0,6.0,1.0,13.0,1.0,127.0,0.0,274.0,473.0,57.93
500569,Melek,4,SK,93.0%,0.0%,0.2%,0.0%,500569.0,1.0,2.0,1.0,36.0,88.0,0.0,4.0,8.0,2.0,131.0,1.0,274.0,454.0,60.35
500577,Mojmírovce,4,SK,92.0%,0.5%,0.0%,0.0%,500577.0,2.0,12.0,1.0,138.0,339.0,4.0,21.0,28.0,0.0,612.0,0.0,1157.0,2361.0,49.0
500585,Nemčiňany,4,SK,92.7%,0.2%,0.3%,0.0%,500585.0,0.0,1.0,0.0,50.0,84.0,0.0,2.0,4.0,0.0,164.0,1.0,306.0,541.0,56.56
500593,Neverice,4,SK,96.8%,0.6%,0.0%,0.0%,500593.0,0.0,0.0,0.0,38.0,79.0,3.0,2.0,7.0,1.0,187.0,0.0,317.0,552.0,57.43
500607,Nevidzany (ZM),4,SK,96.6%,1.0%,0.0%,0.0%,500607.0,0.0,3.0,0.0,42.0,110.0,2.0,3.0,6.0,0.0,126.0,0.0,292.0,477.0,61.22
500631,Nová Ves nad Žitavou,4,SK,89.9%,0.2%,0.0%,0.0%,500631.0,2.0,4.0,0.0,54.0,189.0,4.0,13.0,12.0,0.0,358.0,2.0,638.0,1115.0,57.22
500640,Nové Sady,4,SK,94.8%,0.2%,0.0%,0.0%,500640.0,0.0,3.0,0.0,104.0,209.0,1.0,11.0,9.0,1.0,352.0,2.0,692.0,1067.0,64.85
500658,Obyce,4,SK,96.7%,0.0%,0.0%,0.0%,500658.0,3.0,4.0,1.0,124.0,222.0,3.0,11.0,5.0,0.0,350.0,3.0,726.0,1220.0,59.51
500666,Paňa,4,SK,92.1%,3.8%,0.0%,0.3%,500666.0,0.0,0.0,4.0,21.0,72.0,3.0,3.0,7.0,1.0,76.0,0.0,187.0,337.0,55.49
500674,Podhorany (NR),4,SK,95.8%,2.8%,0.0%,0.0%,500674.0,0.0,1.0,2.0,61.0,209.0,1.0,15.0,9.0,1.0,243.0,0.0,542.0,969.0,55.93
500682,Pohranice - Pográny,4,SK,59.3%,36.8%,0.0%,0.1%,500682.0,0.0,1.0,101.0,84.0,157.0,3.0,9.0,8.0,0.0,183.0,2.0,548.0,936.0,58.55
500691,Poľný Kesov,4,SK,93.4%,0.3%,0.0%,0.0%,500691.0,0.0,2.0,2.0,41.0,100.0,2.0,3.0,7.0,0.0,166.0,0.0,323.0,550.0,58.73
500704,Rišňovce,4,SK,95.2%,0.3%,0.0%,0.0%,500704.0,1.0,9.0,0.0,151.0,288.0,3.0,16.0,20.0,1.0,475.0,1.0,965.0,1711.0,56.4
500712,Rumanová,4,SK,97.6%,0.4%,0.0%,0.0%,500712.0,1.0,3.0,0.0,62.0,119.0,1.0,4.0,6.0,0.0,231.0,2.0,429.0,707.0,60.68
500721,Skýcov,4,SK,96.8%,0.4%,0.0%,0.0%,500721.0,0.0,2.0,1.0,51.0,100.0,1.0,9.0,7.0,1.0,298.0,1.0,471.0,780.0,60.38
500739,Močenok,4,SK,92.1%,1.2%,0.2%,0.0%,500739.0,8.0,29.0,2.0,240.0,679.0,15.0,35.0,52.0,3.0,833.0,1.0,1897.0,3515.0,53.97
500747,Sľažany,4,SK,95.6%,0.5%,0.0%,0.1%,500747.0,1.0,3.0,1.0,115.0,236.0,7.0,11.0,29.0,2.0,444.0,1.0,850.0,1386.0,61.33
500755,Slepčany,4,SK,94.0%,0.5%,0.0%,0.0%,500755.0,1.0,2.0,0.0,31.0,122.0,1.0,7.0,10.0,0.0,228.0,1.0,403.0,665.0,60.6
500780,Šurianky,4,SK,96.8%,0.3%,0.0%,0.0%,500780.0,0.0,0.0,1.0,46.0,114.0,1.0,4.0,4.0,0.0,168.0,1.0,339.0,495.0,68.48
500798,Tajná,4,SK,94.5%,0.4%,0.0%,0.0%,500798.0,0.0,0.0,1.0,28.0,43.0,0.0,0.0,2.0,0.0,69.0,0.0,143.0,231.0,61.9
500810,Tesárske Mlyňany,4,SK,91.7%,0.3%,0.1%,0.1%,500810.0,0.0,2.0,0.0,129.0,226.0,4.0,11.0,24.0,1.0,386.0,1.0,784.0,1382.0,56.73
500828,Topoľčianky,4,SK,96.7%,0.1%,0.0%,0.0%,500828.0,0.0,17.0,1.0,167.0,493.0,6.0,19.0,23.0,0.0,603.0,1.0,1330.0,2206.0,60.29
500836,Velčice,4,SK,97.9%,0.6%,0.0%,0.0%,500836.0,0.0,2.0,0.0,85.0,114.0,2.0,4.0,3.0,0.0,204.0,0.0,414.0,694.0,59.65
500844,Veľká Dolina,4,SK,94.3%,0.1%,0.0%,0.0%,500844.0,0.0,2.0,0.0,56.0,101.0,4.0,1.0,4.0,1.0,174.0,0.0,343.0,591.0,58.04
500887,Veľké Zálužie,4,SK,93.0%,0.3%,0.0%,0.0%,500887.0,2.0,12.0,1.0,277.0,762.0,6.0,23.0,35.0,0.0,794.0,0.0,1912.0,3488.0,54.82
500895,Veľký Cetín - Nagycétény,4,HU,39.2%,56.5%,0.0%,0.1%,500895.0,0.0,2.0,200.0,76.0,191.0,4.0,3.0,21.0,2.0,145.0,2.0,646.0,1347.0,47.96
500909,Vieska nad Žitavou,4,SK,98.1%,0.9%,0.0%,0.0%,500909.0,0.0,0.0,0.0,39.0,68.0,0.0,1.0,3.0,2.0,119.0,0.0,232.0,359.0,64.62
500917,Vinodol,4,SK,94.9%,2.1%,0.4%,0.0%,500917.0,1.0,2.0,3.0,91.0,273.0,5.0,9.0,10.0,2.0,371.0,2.0,769.0,1568.0,49.04
500925,Volkovce,4,SK,97.5%,1.0%,0.1%,0.0%,500925.0,0.0,1.0,0.0,64.0,154.0,3.0,7.0,5.0,0.0,233.0,0.0,467.0,840.0,55.6
500933,Vráble,4,SK,89.7%,2.4%,0.1%,0.0%,500933.0,4.0,25.0,34.0,420.0,1468.0,11.0,68.0,68.0,3.0,1747.0,2.0,3850.0,6883.0,55.93
500941,Výčapy-Opatovce,4,SK,95.2%,1.3%,0.0%,0.0%,500941.0,1.0,10.0,7.0,76.0,458.0,7.0,21.0,28.0,0.0,472.0,1.0,1081.0,1748.0,61.84
500950,Zbehy,4,SK,91.4%,0.4%,0.1%,0.0%,500950.0,0.0,8.0,0.0,114.0,374.0,4.0,17.0,13.0,0.0,558.0,4.0,1092.0,1846.0,59.15
500968,Zlaté Moravce,4,SK,89.0%,0.3%,1.3%,0.0%,500968.0,6.0,30.0,8.0,690.0,1785.0,34.0,95.0,113.0,8.0,2432.0,5.0,5206.0,9724.0,53.54
500976,Zlatno (ZM),4,SK,98.1%,0.5%,0.0%,0.0%,500976.0,1.0,2.0,0.0,16.0,15.0,2.0,1.0,0.0,0.0,83.0,0.0,120.0,182.0,65.93
500984,Žikava,4,SK,95.1%,0.2%,0.0%,0.0%,500984.0,0.0,4.0,0.0,42.0,67.0,0.0,2.0,7.0,0.0,128.0,1.0,251.0,431.0,58.24
500992,Žirany - Zsére,4,SK,57.4%,37.2%,0.1%,0.0%,500992.0,0.0,0.0,93.0,63.0,208.0,2.0,7.0,10.0,0.0,174.0,1.0,558.0,1118.0,49.91
501018,Žitavce,4,SK,93.4%,0.5%,0.0%,0.0%,501018.0,0.0,0.0,0.0,38.0,46.0,1.0,4.0,0.0,5.0,100.0,0.0,194.0,358.0,54.19
501026,Komárno - Komárom,4,HU,31.3%,53.7%,0.5%,0.0%,501026.0,5.0,35.0,2433.0,726.0,3175.0,34.0,140.0,231.0,1.0,2734.0,6.0,9520.0,26643.0,35.73
501034,Bajč - Bajcs,4,SK,48.1%,40.5%,0.8%,0.0%,501034.0,0.0,2.0,68.0,27.0,133.0,3.0,5.0,24.0,0.0,124.0,0.0,386.0,999.0,38.64
501042,Bodza - Bogya,4,HU,14.4%,80.1%,0.3%,0.0%,501042.0,0.0,1.0,50.0,3.0,3.0,0.0,2.0,3.0,0.0,18.0,0.0,80.0,306.0,26.14
501069,Brestovec (KN) - Szilas,4,HU,6.8%,91.1%,0.0%,0.0%,501069.0,0.0,0.0,103.0,7.0,9.0,1.0,0.0,0.0,0.0,21.0,0.0,141.0,411.0,34.31
501077,Búč - Búcs,4,HU,10.4%,86.8%,0.1%,0.0%,501077.0,2.0,1.0,234.0,13.0,25.0,1.0,1.0,3.0,0.0,86.0,0.0,366.0,954.0,38.36
501085,Čalovec - Megyercs,4,HU,26.2%,67.2%,0.1%,0.0%,501085.0,0.0,0.0,151.0,26.0,56.0,4.0,1.0,20.0,0.0,101.0,0.0,359.0,926.0,38.77
501093,Číčov - Csicsó,4,HU,10.7%,78.8%,0.0%,0.0%,501093.0,1.0,0.0,211.0,15.0,23.0,1.0,1.0,6.0,0.0,50.0,0.0,308.0,1027.0,29.99
501107,Dedina Mládeže - Ifjúságfalva,4,HU,38.6%,55.5%,0.5%,0.0%,501107.0,0.0,0.0,24.0,12.0,17.0,0.0,1.0,4.0,0.0,61.0,0.0,119.0,345.0,34.49
501115,Svätý Peter - Komáromszentpéter,4,HU,29.5%,64.9%,0.2%,0.0%,501115.0,1.0,0.0,381.0,65.0,161.0,6.0,2.0,26.0,1.0,210.0,0.0,853.0,2232.0,38.22
501123,Dulovce,4,SK,92.2%,3.8%,0.4%,0.0%,501123.0,0.0,0.0,5.0,58.0,157.0,2.0,2.0,11.0,0.0,248.0,0.0,483.0,1291.0,37.41
501140,Hurbanovo - Ógyalla,4,SK,50.6%,40.7%,2.4%,0.0%,501140.0,2.0,6.0,414.0,228.0,813.0,5.0,31.0,78.0,6.0,771.0,3.0,2357.0,5896.0,39.98
501158,Chotín - Hetény,4,HU,12.7%,82.3%,0.0%,0.0%,501158.0,1.0,0.0,248.0,31.0,60.0,1.0,0.0,10.0,0.0,58.0,0.0,409.0,1166.0,35.08
501166,Imeľ - Ímely,4,SK,58.5%,39.5%,0.0%,0.0%,501166.0,1.0,4.0,134.0,65.0,238.0,0.0,8.0,23.0,0.0,161.0,2.0,636.0,1706.0,37.28
501174,Iža - Izsa,4,HU,26.8%,63.5%,0.2%,0.1%,501174.0,0.0,0.0,179.0,40.0,111.0,0.0,2.0,14.0,1.0,130.0,2.0,479.0,1416.0,33.83
501182,Kameničná - Keszegfalva,4,HU,22.8%,69.1%,1.0%,0.0%,501182.0,2.0,0.0,182.0,29.0,76.0,3.0,1.0,6.0,0.0,143.0,0.0,442.0,1551.0,28.5
501191,Klížska Nemá - Kolozsnéma,4,HU,11.8%,84.2%,0.0%,0.0%,501191.0,0.0,1.0,77.0,8.0,9.0,1.0,0.0,3.0,1.0,22.0,0.0,122.0,357.0,34.17
501204,Kolárovo - Gúta,4,HU,20.4%,74.1%,0.3%,0.0%,501204.0,3.0,4.0,1114.0,181.0,486.0,7.0,9.0,59.0,5.0,604.0,3.0,2475.0,8572.0,28.87
501212,Kravany nad Dunajom - Karva,4,HU,18.2%,77.4%,0.0%,0.0%,501212.0,0.0,1.0,109.0,18.0,32.0,0.0,3.0,9.0,2.0,56.0,0.0,230.0,589.0,39.05
501221,Lipové,4,SK,79.6%,12.0%,0.0%,0.0%,501221.0,1.0,0.0,3.0,5.0,49.0,0.0,1.0,1.0,0.0,19.0,0.0,79.0,128.0,61.72
501239,Marcelová - Marcelháza,4,HU,13.8%,73.8%,0.8%,0.0%,501239.0,0.0,4.0,548.0,33.0,85.0,3.0,1.0,33.0,0.0,146.0,0.0,853.0,3097.0,27.54
501247,Martovce - Martos,4,HU,13.0%,82.3%,1.0%,0.0%,501247.0,1.0,1.0,135.0,9.0,12.0,0.0,0.0,5.0,1.0,47.0,0.0,211.0,590.0,35.76
501255,Moča - Dunamocs,4,HU,7.2%,87.8%,0.0%,0.0%,501255.0,0.0,2.0,192.0,15.0,29.0,1.0,2.0,8.0,0.0,47.0,0.0,296.0,949.0,31.19
501263,Modrany - Madar,4,HU,11.8%,81.7%,0.2%,0.0%,501263.0,0.0,1.0,159.0,6.0,11.0,1.0,0.0,1.0,0.0,29.0,0.0,208.0,1061.0,19.6
501271,Mudroňovo,4,SK,85.5%,8.9%,0.0%,0.0%,501271.0,0.0,0.0,0.0,8.0,4.0,1.0,2.0,0.0,0.0,25.0,0.0,40.0,91.0,43.96
501280,Nesvady - Naszvad,4,HU,41.1%,49.1%,8.3%,0.0%,501280.0,1.0,5.0,329.0,95.0,442.0,5.0,10.0,48.0,0.0,330.0,1.0,1266.0,3978.0,31.83
501301,Okoličná na Ostrove - Ekel,4,HU,17.2%,79.8%,0.1%,0.0%,501301.0,0.0,1.0,173.0,28.0,27.0,0.0,2.0,7.0,1.0,79.0,0.0,318.0,1190.0,26.72
501310,Patince - Pat,4,HU,16.1%,78.6%,0.2%,0.0%,501310.0,0.0,2.0,63.0,49.0,49.0,1.0,2.0,2.0,0.0,46.0,1.0,215.0,487.0,44.15
501328,Pribeta - Perbete,4,HU,26.8%,67.6%,0.6%,0.0%,501328.0,0.0,1.0,363.0,44.0,121.0,2.0,3.0,29.0,1.0,178.0,1.0,743.0,2265.0,32.8
501336,Radvaň nad Dunajom - Dunaradvány,4,HU,13.1%,84.8%,0.0%,0.0%,501336.0,0.0,0.0,140.0,12.0,36.0,0.0,1.0,2.0,0.0,44.0,0.0,235.0,595.0,39.5
501344,Sokolce - Lakszakállas,4,HU,7.0%,85.4%,0.4%,0.0%,501344.0,0.0,1.0,190.0,16.0,40.0,4.0,1.0,1.0,0.0,49.0,1.0,303.0,1000.0,30.3
501352,Šrobárová,4,SK,91.5%,3.8%,0.0%,0.2%,501352.0,0.0,0.0,1.0,36.0,70.0,1.0,6.0,6.0,0.0,110.0,1.0,231.0,416.0,55.53
501361,Tôň - Tany,4,HU,14.7%,82.1%,0.0%,0.0%,501361.0,0.0,0.0,146.0,17.0,17.0,0.0,0.0,9.0,0.0,46.0,0.0,235.0,633.0,37.12
501379,Trávnik - Komáromfüss,4,HU,14.1%,81.1%,0.0%,0.0%,501379.0,0.0,0.0,79.0,21.0,11.0,1.0,1.0,1.0,0.0,31.0,0.0,145.0,565.0,25.66
501387,Veľké Kosihy - Nagykeszi,4,HU,17.8%,75.3%,0.2%,0.0%,501387.0,1.0,0.0,199.0,10.0,23.0,0.0,1.0,7.0,0.0,51.0,0.0,292.0,797.0,36.64
501395,Bátorove Kosihy - Bátorkeszi,4,HU,19.7%,76.0%,0.2%,0.0%,501395.0,1.0,2.0,402.0,51.0,77.0,1.0,4.0,18.0,0.0,179.0,0.0,735.0,2719.0,27.03
501409,Vrbová nad Váhom - Vágfüzes,4,HU,14.2%,78.3%,2.8%,0.2%,501409.0,2.0,0.0,71.0,7.0,18.0,0.0,0.0,5.0,0.0,38.0,0.0,141.0,457.0,30.85
501417,Zemianska Olča - Nemesócsa,4,HU,11.2%,80.5%,0.0%,0.0%,501417.0,0.0,2.0,262.0,14.0,57.0,1.0,0.0,8.0,0.0,80.0,0.0,424.0,1899.0,22.33
501425,Zlatná na Ostrove - Csallóközaranyos,4,HU,13.3%,73.6%,0.3%,0.0%,501425.0,0.0,2.0,300.0,28.0,52.0,0.0,0.0,10.0,0.0,98.0,0.0,490.0,2032.0,24.11
501433,Dunajská Streda - Dunaszerdahely,2,HU,19.0%,71.9%,0.4%,0.0%,501433.0,6.0,90.0,2161.0,307.0,2048.0,29.0,58.0,172.0,1.0,1334.0,1.0,6207.0,19102.0,32.49
501441,Báč - Bacsfa,2,HU,24.9%,72.5%,0.0%,0.0%,501441.0,1.0,3.0,95.0,27.0,77.0,1.0,3.0,2.0,0.0,39.0,0.0,248.0,464.0,53.45
501450,Baka - Baka,2,HU,13.0%,83.0%,0.0%,0.0%,501450.0,1.0,1.0,202.0,9.0,73.0,0.0,1.0,3.0,0.0,77.0,0.0,367.0,967.0,37.95
501468,Baloň - Balony,2,HU,9.3%,87.8%,0.1%,0.0%,501468.0,1.0,0.0,149.0,7.0,19.0,1.0,0.0,3.0,0.0,24.0,0.0,204.0,633.0,32.23
501484,Blahová - Sárrét,2,SK,60.8%,31.7%,0.0%,0.6%,501484.0,0.0,3.0,19.0,29.0,62.0,3.0,3.0,0.0,0.0,60.0,0.0,179.0,373.0,47.99
501492,Blatná na Ostrove - Sárosfa,2,HU,27.1%,70.1%,0.0%,0.0%,501492.0,0.0,0.0,159.0,25.0,101.0,0.0,4.0,6.0,0.0,60.0,0.0,355.0,812.0,43.72
501506,Boheľov - Bögellő,2,HU,14.0%,84.3%,0.0%,0.0%,501506.0,0.0,5.0,61.0,2.0,21.0,1.0,0.0,6.0,0.0,18.0,0.0,114.0,299.0,38.13
501514,Čakany - Pozsonycsákány,2,HU,35.3%,60.2%,0.2%,0.0%,501514.0,0.0,3.0,47.0,8.0,107.0,0.0,6.0,4.0,0.0,64.0,0.0,239.0,497.0,48.09
501522,Veľký Meder - Nagymegyer,2,HU,14.6%,78.4%,0.2%,0.0%,501522.0,0.0,3.0,679.0,73.0,366.0,7.0,13.0,61.0,1.0,499.0,0.0,1702.0,6881.0,24.73
501531,Čiližská Radvaň - Csilizradvány,2,HU,9.5%,87.7%,0.0%,0.0%,501531.0,1.0,1.0,110.0,11.0,42.0,0.0,0.0,9.0,0.0,35.0,0.0,209.0,966.0,21.64
501549,Dobrohošť - Doborgaz,2,HU,45.6%,49.9%,0.2%,0.0%,501549.0,0.0,1.0,32.0,24.0,118.0,1.0,6.0,6.0,0.0,53.0,0.0,241.0,452.0,53.32
501557,Dolný Bar - Albár,2,HU,25.6%,71.7%,0.0%,0.0%,501557.0,1.0,1.0,72.0,24.0,73.0,0.0,2.0,10.0,0.0,74.0,1.0,258.0,807.0,31.97
501573,Gabčíkovo - Bős,2,HU,13.9%,80.6%,0.0%,0.0%,501573.0,3.0,6.0,644.0,60.0,281.0,1.0,5.0,40.0,0.0,319.0,0.0,1359.0,4296.0,31.63
501581,Holice - Egyházgelle,2,HU,16.4%,81.6%,0.0%,0.0%,501581.0,2.0,0.0,380.0,51.0,142.0,3.0,7.0,17.0,0.0,108.0,0.0,710.0,1754.0,40.48
501590,Horná Potôň - Felsőpatony,2,HU,28.5%,65.8%,0.0%,0.0%,501590.0,0.0,1.0,245.0,47.0,222.0,3.0,6.0,14.0,0.0,196.0,0.0,734.0,1843.0,39.83
501603,Horný Bar - Felbár,2,HU,23.7%,74.2%,0.4%,0.0%,501603.0,0.0,4.0,127.0,32.0,137.0,1.0,5.0,4.0,0.0,135.0,0.0,445.0,1098.0,40.53
501611,Dolný Štál - Alistál,2,HU,10.4%,86.6%,0.0%,0.0%,501611.0,0.0,0.0,218.0,19.0,60.0,0.0,0.0,10.0,0.0,91.0,0.0,398.0,1622.0,24.54
501620,Hubice - Nemesgomba,2,HU,42.0%,56.1%,0.3%,0.0%,501620.0,0.0,1.0,70.0,14.0,111.0,1.0,9.0,8.0,0.0,61.0,1.0,276.0,528.0,52.27
501638,Hviezdoslavov,2,SK,85.0%,7.3%,0.0%,0.0%,501638.0,0.0,20.0,9.0,157.0,1072.0,2.0,33.0,19.0,5.0,325.0,1.0,1643.0,2681.0,61.28
501654,Jahodná - Pozsonyeperjes,2,HU,16.3%,80.5%,0.2%,0.0%,501654.0,0.0,3.0,226.0,30.0,97.0,1.0,4.0,17.0,0.0,48.0,0.0,426.0,1408.0,30.26
501662,Janíky - Jányok,2,HU,28.7%,68.6%,0.0%,0.0%,501662.0,0.0,1.0,164.0,30.0,159.0,4.0,3.0,13.0,1.0,72.0,0.0,447.0,766.0,58.36
501671,Jurová - Dercsika,2,HU,14.8%,82.7%,0.0%,0.0%,501671.0,0.0,0.0,81.0,10.0,24.0,0.0,2.0,2.0,0.0,24.0,0.0,143.0,413.0,34.62
501689,Kľúčovec - Kulcsod,2,HU,11.9%,84.3%,0.0%,0.0%,501689.0,1.0,0.0,81.0,5.0,6.0,0.0,1.0,6.0,0.0,10.0,0.0,110.0,292.0,37.67
501697,Kostolné Kračany - Egyházkarcsa,2,HU,11.4%,87.0%,0.0%,0.0%,501697.0,0.0,2.0,164.0,26.0,78.0,1.0,1.0,13.0,0.0,120.0,0.0,405.0,1209.0,33.5
501701,Kráľovičove Kračany - Királyfiakarcsa,2,HU,17.4%,77.3%,0.0%,0.0%,501701.0,0.0,2.0,127.0,24.0,75.0,0.0,2.0,4.0,0.0,64.0,0.0,298.0,929.0,32.08
