IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate,obec_code,Korčok,Pellegrini,voted,voters,turnout
507725,Veselé,2,SK,94.4%,0.2%,0.1%,0.1%,507725.0,300.0,358.0,658.0,982.0,67.01
507741,Voderady,2,SK,97.8%,0.1%,0.1%,0.0%,507741.0,489.0,457.0,946.0,1350.0,70.07
507750,Vrbové,2,SK,95.9%,0.1%,0.0%,0.0%,507750.0,1523.0,1543.0,3066.0,4622.0,66.33
507768,Zavar,2,SK,81.4%,0.2%,0.0%,0.2%,507768.0,582.0,599.0,1181.0,1782.0,66.27
507776,Zeleneč,2,SK,98.4%,0.0%,0.0%,0.0%,507776.0,760.0,763.0,1523.0,2198.0,69.29
507792,Žlkovce,2,SK,94.4%,0.0%,0.3%,0.0%,507792.0,147.0,204.0,351.0,530.0,66.23
507806,Báhoň,1,SK,96.3%,0.5%,0.1%,0.1%,507806.0,571.0,443.0,1014.0,1469.0,69.03
507814,Bernolákovo,1,SK,89.1%,0.9%,0.0%,0.3%,507814.0,3642.0,1761.0,5403.0,7330.0,73.71
507822,Blatné,1,SK,92.0%,0.5%,0.0%,0.0%,507822.0,508.0,486.0,994.0,1423.0,69.85
507831,Borinka,1,SK,90.0%,0.7%,0.0%,0.1%,507831.0,353.0,191.0,544.0,715.0,76.08
507849,Budmerice,1,SK,95.8%,0.3%,0.0%,0.0%,507849.0,699.0,666.0,1365.0,1971.0,69.25
507857,Častá,1,SK,97.8%,0.1%,0.0%,0.0%,507857.0,738.0,677.0,1415.0,1961.0,72.16
507865,Čataj,1,SK,92.4%,0.8%,0.0%,0.2%,507865.0,364.0,362.0,726.0,972.0,74.69
507873,Doľany (PK),1,SK,98.1%,0.1%,0.0%,0.0%,507873.0,352.0,315.0,667.0,889.0,75.03
507881,Dubová (PK),1,SK,95.1%,0.3%,0.0%,0.0%,507881.0,331.0,352.0,683.0,950.0,71.89
507890,Gajary,1,SK,86.0%,0.2%,0.6%,0.0%,507890.0,538.0,972.0,1510.0,2514.0,60.06
507903,Hamuliakovo - Gútor,1,SK,74.4%,20.7%,0.1%,0.1%,507903.0,1027.0,558.0,1585.0,2296.0,69.03
507911,Chorvátsky Grob,1,SK,90.7%,0.8%,0.0%,0.2%,507911.0,3063.0,1205.0,4268.0,5463.0,78.13
507938,Ivanka pri Dunaji,1,SK,89.1%,1.0%,0.0%,0.1%,507938.0,2620.0,1443.0,4063.0,5512.0,73.71
507946,Jablonec,1,SK,95.0%,0.2%,0.0%,0.0%,507946.0,273.0,283.0,556.0,830.0,66.99
507954,Jablonové (MA),1,SK,94.9%,0.2%,1.1%,0.2%,507954.0,453.0,350.0,803.0,1100.0,73.0
507962,Jakubov,1,SK,93.6%,0.3%,0.1%,0.0%,507962.0,453.0,482.0,935.0,1431.0,65.34
507989,Svätý Jur,1,SK,93.8%,0.7%,0.0%,0.1%,507989.0,1985.0,1419.0,3404.0,4743.0,71.77
507997,Kalinkovo,1,SK,78.3%,17.9%,0.0%,0.0%,507997.0,547.0,344.0,891.0,1238.0,71.97
508012,Kostolište,1,SK,94.9%,0.3%,0.1%,0.0%,508012.0,683.0,524.0,1207.0,1722.0,70.09
508021,Kuchyňa,1,SK,92.6%,0.5%,1.0%,0.0%,508021.0,472.0,533.0,1005.0,1516.0,66.29
508039,Láb,1,SK,95.6%,0.3%,0.0%,0.1%,508039.0,665.0,533.0,1198.0,1672.0,71.65
508047,Limbach,1,SK,92.5%,0.7%,0.0%,0.0%,508047.0,938.0,488.0,1426.0,1880.0,75.85
508055,Lozorno,1,SK,92.7%,0.3%,0.3%,0.0%,508055.0,1058.0,646.0,1704.0,2650.0,64.3
508063,Malacky,1,SK,89.4%,0.5%,0.1%,0.0%,508063.0,4949.0,4783.0,9732.0,15016.0,64.81
508071,Malinovo,1,SK,76.3%,14.9%,0.0%,0.2%,508071.0,1568.0,626.0,2194.0,2975.0,73.75
508080,Marianka,1,SK,90.5%,0.4%,0.0%,0.2%,508080.0,1006.0,369.0,1375.0,1806.0,76.14
508098,Miloslavov,1,SK,90.8%,2.5%,0.1%,0.2%,508098.0,2519.0,1030.0,3549.0,4579.0,77.51
508101,Modra,1,SK,91.6%,0.7%,0.1%,0.1%,508101.0,3326.0,2166.0,5492.0,7697.0,71.35
508110,Most pri Bratislave,1,SK,87.2%,2.1%,0.1%,0.3%,508110.0,1493.0,936.0,2429.0,3284.0,73.96
508136,Nová Dedinka,1,SK,83.7%,10.9%,0.0%,0.1%,508136.0,1311.0,625.0,1936.0,2658.0,72.84
508161,Pernek,1,SK,91.8%,0.7%,0.0%,0.0%,508161.0,220.0,299.0,519.0,757.0,68.56
508179,Pezinok,1,SK,90.7%,0.4%,0.0%,0.1%,508179.0,8694.0,5131.0,13825.0,19358.0,71.42
508187,Píla (PK),1,SK,98.0%,0.0%,0.0%,0.3%,508187.0,125.0,123.0,248.0,288.0,86.11
508195,Plavecký Štvrtok,1,SK,90.2%,0.4%,0.4%,0.0%,508195.0,629.0,570.0,1199.0,2159.0,55.53
508209,Rovinka,1,SK,89.3%,2.7%,0.0%,0.1%,508209.0,2291.0,1125.0,3416.0,4472.0,76.39
508217,Senec,1,SK,78.0%,11.4%,0.1%,0.1%,508217.0,6581.0,3771.0,10352.0,15430.0,67.09
508225,Slovenský Grob,1,SK,90.5%,0.5%,0.0%,0.1%,508225.0,1888.0,1346.0,3234.0,4218.0,76.67
508233,Stupava,1,SK,90.2%,0.6%,0.0%,0.2%,508233.0,4541.0,2372.0,6913.0,9604.0,71.98
508241,Suchohrad,1,SK,93.6%,0.6%,0.0%,0.0%,508241.0,142.0,221.0,363.0,592.0,61.32
508250,Šenkvice,1,SK,95.0%,0.5%,0.0%,0.1%,508250.0,1540.0,1555.0,3095.0,4205.0,73.6
508268,Štefanová,1,SK,92.5%,1.3%,0.5%,0.5%,508268.0,115.0,107.0,222.0,326.0,68.1
508276,Tomášov - Fél,1,SK,60.3%,33.9%,0.0%,0.0%,508276.0,889.0,591.0,1480.0,2277.0,65.0
508284,Tureň - Zonctorony,1,SK,49.9%,47.0%,0.0%,0.2%,508284.0,414.0,246.0,660.0,990.0,66.67
508292,Veľký Biel,1,SK,73.8%,18.0%,0.0%,0.1%,508292.0,1044.0,558.0,1602.0,2369.0,67.62
508306,Viničné,1,SK,93.3%,0.2%,0.0%,0.1%,508306.0,1053.0,579.0,1632.0,2206.0,73.98
508314,Vinosady,1,SK,93.0%,0.4%,0.0%,0.0%,508314.0,522.0,404.0,926.0,1261.0,73.43
508322,Vištuk,1,SK,95.4%,0.4%,0.0%,0.2%,508322.0,399.0,370.0,769.0,1108.0,69.4
508331,Vlky - Vők,1,HU,37.1%,60.5%,0.0%,0.0%,508331.0,130.0,70.0,200.0,366.0,54.64
508349,Vysoká pri Morave,1,SK,89.9%,0.2%,0.2%,0.0%,508349.0,530.0,525.0,1055.0,1795.0,58.77
508365,Záhorská Ves,1,SK,91.6%,0.2%,1.2%,0.2%,508365.0,298.0,480.0,778.0,1493.0,52.11
508381,Zohor,1,SK,91.7%,0.2%,0.3%,0.0%,508381.0,1180.0,760.0,1940.0,2999.0,64.69
508438,Banská Bystrica,6,SK,92.1%,0.4%,0.2%,0.0%,508438.0,21496.0,19103.0,40599.0,60090.0,67.56
508446,Bacúch,6,SK,97.5%,0.2%,0.0%,0.0%,508446.0,135.0,341.0,476.0,771.0,61.74
508454,Badín,6,SK,96.4%,0.2%,0.1%,0.0%,508454.0,628.0,635.0,1263.0,1723.0,73.3
508462,Beňuš,6,SK,97.0%,0.0%,0.1%,0.1%,508462.0,245.0,341.0,586.0,955.0,61.36
508471,Baláže,6,SK,97.7%,0.5%,0.0%,0.0%,508471.0,48.0,93.0,141.0,186.0,75.81
508489,Braväcovo,6,SK,96.6%,0.1%,0.1%,0.0%,508489.0,110.0,227.0,337.0,530.0,63.58
508497,Brezno,6,SK,92.5%,0.2%,0.4%,0.0%,508497.0,3781.0,5535.0,9316.0,16083.0,57.92
508519,Čerín,6,SK,94.9%,0.0%,1.6%,0.0%,508519.0,94.0,194.0,288.0,381.0,75.59
508527,Čierny Balog,6,SK,96.4%,0.0%,0.9%,0.0%,508527.0,661.0,1670.0,2331.0,3988.0,58.45
508535,Dolná Lehota,6,SK,96.8%,0.0%,0.0%,0.0%,508535.0,188.0,291.0,479.0,666.0,71.92
508543,Dolná Mičiná,6,SK,95.7%,0.2%,0.0%,0.0%,508543.0,133.0,154.0,287.0,396.0,72.47
508551,Dolný Harmanec,6,SK,97.3%,0.0%,0.8%,0.0%,508551.0,42.0,116.0,158.0,229.0,69.0
508560,Donovaly,6,SK,90.4%,0.4%,0.0%,0.0%,508560.0,191.0,93.0,284.0,343.0,82.8
508578,Drábsko,6,SK,99.4%,0.0%,0.0%,0.0%,508578.0,26.0,53.0,79.0,133.0,59.4
508586,Dúbravica,6,SK,90.4%,0.0%,0.5%,0.0%,508586.0,47.0,147.0,194.0,319.0,60.82
508594,Harmanec,6,SK,87.6%,0.4%,0.4%,0.0%,508594.0,83.0,329.0,412.0,711.0,57.95
508608,Heľpa,6,SK,94.8%,0.0%,0.8%,0.0%,508608.0,321.0,978.0,1299.0,2018.0,64.37
508616,Hiadeľ,6,SK,98.4%,0.0%,0.0%,0.0%,508616.0,64.0,215.0,279.0,410.0,68.05
508624,Horná Lehota (BR),6,SK,94.5%,0.5%,0.3%,0.0%,508624.0,111.0,217.0,328.0,508.0,64.57
508632,Horná Mičiná,6,SK,96.3%,0.0%,0.2%,0.2%,508632.0,202.0,191.0,393.0,524.0,75.0
508641,Horné Pršany,6,SK,97.5%,0.0%,0.0%,0.0%,508641.0,107.0,129.0,236.0,320.0,73.75
508659,Hrochoť,6,SK,90.4%,0.3%,0.5%,0.0%,508659.0,198.0,531.0,729.0,1178.0,61.88
508667,Hronec,6,SK,93.9%,0.1%,1.2%,0.1%,508667.0,183.0,389.0,572.0,945.0,60.53
508675,Brusno,6,SK,95.8%,0.1%,0.0%,0.0%,508675.0,461.0,812.0,1273.0,1785.0,71.32
508691,Jarabá,6,SK,94.9%,0.0%,0.0%,0.0%,508691.0,12.0,27.0,39.0,50.0,78.0
508705,Jasenie,6,SK,98.2%,0.2%,0.1%,0.0%,508705.0,169.0,423.0,592.0,950.0,62.32
508713,Kordíky,6,SK,98.1%,0.4%,0.0%,0.0%,508713.0,161.0,131.0,292.0,389.0,75.06
508721,Králiky,6,SK,97.1%,0.0%,0.0%,0.0%,508721.0,213.0,277.0,490.0,625.0,78.4
508730,Lom nad Rimavicou,6,SK,99.6%,0.0%,0.0%,0.0%,508730.0,62.0,111.0,173.0,224.0,77.23
508748,Ľubietová,6,SK,97.6%,0.0%,0.0%,0.0%,508748.0,286.0,461.0,747.0,1034.0,72.24
508756,Lučatín,6,SK,98.4%,0.1%,0.0%,0.0%,508756.0,193.0,210.0,403.0,570.0,70.7
508764,Medzibrod,6,SK,97.4%,0.1%,0.0%,0.0%,508764.0,327.0,529.0,856.0,1145.0,74.76
508772,Michalová,6,SK,95.5%,0.1%,0.0%,0.0%,508772.0,229.0,429.0,658.0,1033.0,63.7
508781,Môlča,6,SK,91.7%,0.0%,3.9%,0.0%,508781.0,70.0,97.0,167.0,344.0,48.55
508799,Moštenica,6,SK,94.8%,1.3%,0.0%,0.0%,508799.0,55.0,110.0,165.0,221.0,74.66
508802,Motyčky,6,SK,97.1%,0.0%,0.0%,0.0%,508802.0,24.0,47.0,71.0,95.0,74.74
508811,Mýto pod Ďumbierom,6,SK,93.9%,1.0%,0.0%,0.8%,508811.0,193.0,147.0,340.0,466.0,72.96
508829,Nemecká,6,SK,94.2%,0.1%,0.6%,0.0%,508829.0,275.0,627.0,902.0,1418.0,63.61
508837,Oravce,6,SK,97.2%,0.0%,0.0%,0.0%,508837.0,36.0,78.0,114.0,144.0,79.17
508845,Osrblie,6,SK,97.5%,0.6%,0.0%,0.6%,508845.0,68.0,158.0,226.0,322.0,70.19
508853,Podbrezová,6,SK,90.6%,0.3%,0.5%,0.0%,508853.0,542.0,1243.0,1785.0,2992.0,59.66
508861,Podkonice,6,SK,97.4%,0.0%,0.0%,0.1%,508861.0,232.0,293.0,525.0,748.0,70.19
508870,Pohorelá,6,SK,96.7%,0.0%,0.1%,0.0%,508870.0,227.0,861.0,1088.0,1797.0,60.55
508888,Pohronská Polhora,6,SK,92.2%,0.0%,0.7%,0.1%,508888.0,235.0,550.0,785.0,1350.0,58.15
508896,Pohronský Bukovec,6,SK,96.6%,0.0%,0.0%,0.0%,508896.0,17.0,59.0,76.0,106.0,71.7
508900,Polomka,6,SK,92.7%,0.2%,2.6%,0.1%,508900.0,347.0,913.0,1260.0,2189.0,57.56
508918,Poniky,6,SK,98.0%,0.1%,0.1%,0.1%,508918.0,335.0,511.0,846.0,1244.0,68.01
508926,Povrazník,6,SK,90.9%,0.0%,0.0%,0.0%,508926.0,18.0,69.0,87.0,113.0,76.99
508934,Predajná,6,SK,93.2%,0.1%,0.1%,0.0%,508934.0,289.0,394.0,683.0,1072.0,63.71
508942,Priechod,6,SK,99.3%,0.0%,0.0%,0.0%,508942.0,319.0,254.0,573.0,838.0,68.38
508951,Ráztoka,6,SK,97.5%,0.0%,0.0%,0.0%,508951.0,34.0,128.0,162.0,232.0,69.83
508969,Riečka (BB),6,SK,98.7%,0.0%,0.0%,0.0%,508969.0,238.0,267.0,505.0,671.0,75.26
508977,Sebedín-Bečov,6,SK,97.5%,0.0%,0.0%,0.0%,508977.0,69.0,147.0,216.0,311.0,69.45
508985,Selce (BB),6,SK,98.1%,0.2%,0.0%,0.0%,508985.0,603.0,576.0,1179.0,1724.0,68.39
508993,Sihla,6,SK,100.0%,0.0%,0.0%,0.0%,508993.0,39.0,87.0,126.0,164.0,76.83
509001,Slovenská Ľupča,6,SK,95.1%,0.2%,0.6%,0.0%,509001.0,764.0,999.0,1763.0,2623.0,67.21
509019,Staré Hory,6,SK,94.6%,0.4%,0.2%,0.0%,509019.0,157.0,170.0,327.0,436.0,75.0
509027,Strelníky,6,SK,98.8%,0.3%,0.0%,0.0%,509027.0,136.0,359.0,495.0,621.0,79.71
509035,Špania Dolina,6,SK,91.0%,0.4%,0.0%,0.0%,509035.0,121.0,63.0,184.0,245.0,75.1
509043,Šumiac,6,SK,91.2%,0.2%,1.8%,0.4%,509043.0,90.0,409.0,499.0,1024.0,48.73
509051,Telgárt,6,SK,79.7%,0.0%,10.6%,0.1%,509051.0,142.0,232.0,374.0,899.0,41.6
509060,Tajov,6,SK,96.3%,0.1%,0.0%,0.0%,509060.0,211.0,249.0,460.0,574.0,80.14
509086,Valaská,6,SK,88.3%,0.1%,1.2%,0.0%,509086.0,572.0,1045.0,1617.0,2858.0,56.58
509094,Vaľkovňa,6,SK,93.5%,0.0%,0.7%,0.0%,509094.0,13.0,102.0,115.0,299.0,38.46
509124,Závadka nad Hronom,6,SK,90.1%,0.2%,1.3%,0.0%,509124.0,244.0,632.0,876.0,1718.0,50.99
509132,Čadca,5,SK,91.6%,0.1%,0.0%,0.0%,509132.0,3861.0,7491.0,11352.0,18548.0,61.2
509159,Čierne,5,SK,97.6%,0.0%,0.0%,0.0%,509159.0,629.0,1680.0,2309.0,3540.0,65.23
509167,Dlhá nad Kysucou,5,SK,93.1%,0.2%,0.0%,0.0%,509167.0,71.0,250.0,321.0,523.0,61.38
509175,Dolný Vadičov,5,SK,98.1%,0.0%,0.0%,0.2%,509175.0,113.0,225.0,338.0,474.0,71.31
509183,Dunajov,5,SK,96.7%,0.1%,0.0%,0.1%,509183.0,159.0,406.0,565.0,889.0,63.55
509205,Horný Vadičov,5,SK,96.8%,0.1%,0.1%,0.0%,509205.0,289.0,699.0,988.0,1372.0,72.01
509213,Klokočov (CA),5,SK,95.0%,0.0%,0.0%,0.0%,509213.0,311.0,860.0,1171.0,1929.0,60.71
509221,Klubina,5,SK,97.4%,0.0%,0.0%,0.0%,509221.0,62.0,265.0,327.0,446.0,73.32
509230,Korňa,5,SK,97.0%,0.0%,0.0%,0.0%,509230.0,329.0,705.0,1034.0,1663.0,62.18
509248,Krásno nad Kysucou,5,SK,97.3%,0.1%,0.0%,0.0%,509248.0,973.0,2444.0,3417.0,5294.0,64.54
509256,Kysucké Nové Mesto,5,SK,93.9%,0.1%,0.0%,0.0%,509256.0,2744.0,5277.0,8021.0,11826.0,67.83
509264,Kysucký Lieskovec,5,SK,94.4%,0.0%,0.0%,0.0%,509264.0,412.0,867.0,1279.0,1896.0,67.46
509272,Lodno,5,SK,97.5%,0.0%,0.0%,0.1%,509272.0,117.0,369.0,486.0,773.0,62.87
509281,Lopušné Pažite,5,SK,98.0%,0.7%,0.0%,0.0%,509281.0,55.0,198.0,253.0,355.0,71.27
509299,Makov,5,SK,96.7%,0.1%,0.0%,0.0%,509299.0,507.0,667.0,1174.0,1647.0,71.28
509302,Nesluša,5,SK,92.1%,0.0%,0.1%,0.0%,509302.0,572.0,1094.0,1666.0,2533.0,65.77
509311,Nová Bystrica,5,SK,97.2%,0.0%,0.0%,0.0%,509311.0,268.0,1104.0,1372.0,2139.0,64.14
509329,Ochodnica,5,SK,97.0%,0.1%,0.0%,0.0%,509329.0,256.0,758.0,1014.0,1566.0,64.75
509337,Olešná,5,SK,96.3%,0.0%,0.1%,0.0%,509337.0,288.0,739.0,1027.0,1582.0,64.92
509345,Oščadnica,5,SK,96.2%,0.0%,0.0%,0.0%,509345.0,916.0,2122.0,3038.0,4714.0,64.45
509361,Podvysoká,5,SK,97.1%,0.0%,0.1%,0.0%,509361.0,190.0,535.0,725.0,1076.0,67.38
509370,Povina,5,SK,96.6%,0.0%,0.0%,0.0%,509370.0,155.0,473.0,628.0,933.0,67.31
509396,Radôstka,5,SK,98.6%,0.0%,0.0%,0.0%,509396.0,77.0,368.0,445.0,649.0,68.57
509400,Raková,5,SK,98.4%,0.0%,0.0%,0.0%,509400.0,1063.0,1754.0,2817.0,4471.0,63.01
509426,Rudina,5,SK,96.4%,0.0%,0.0%,0.0%,509426.0,321.0,665.0,986.0,1424.0,69.24
509434,Rudinka,5,SK,96.5%,0.0%,0.0%,0.0%,509434.0,92.0,151.0,243.0,322.0,75.47
509442,Rudinská,5,SK,95.7%,0.0%,0.0%,0.0%,509442.0,107.0,420.0,527.0,801.0,65.79
509451,Skalité,5,SK,98.5%,0.1%,0.0%,0.0%,509451.0,712.0,1970.0,2682.0,4106.0,65.32
509469,Snežnica,5,SK,97.3%,0.0%,0.0%,0.0%,509469.0,261.0,388.0,649.0,868.0,74.77
509477,Stará Bystrica,5,SK,97.9%,0.0%,0.0%,0.0%,509477.0,382.0,1173.0,1555.0,2225.0,69.89
509485,Staškov,5,SK,95.9%,0.0%,0.0%,0.0%,509485.0,389.0,1028.0,1417.0,2295.0,61.74
509493,Svrčinovec,5,SK,98.0%,0.0%,0.1%,0.0%,509493.0,636.0,1285.0,1921.0,2918.0,65.83
509507,Turzovka,5,SK,92.5%,0.1%,0.7%,0.0%,509507.0,992.0,2607.0,3599.0,5815.0,61.89
509515,Vysoká nad Kysucou,5,SK,95.3%,0.1%,0.3%,0.0%,509515.0,353.0,954.0,1307.0,2076.0,62.96
509523,Zákopčie,5,SK,96.7%,0.1%,0.0%,0.0%,509523.0,222.0,630.0,852.0,1391.0,61.25
509531,Zborov nad Bystricou,5,SK,98.8%,0.0%,0.0%,0.0%,509531.0,206.0,1009.0,1215.0,1760.0,69.03
509540,Dolný Kubín,5,SK,94.6%,0.1%,0.2%,0.0%,509540.0,5075.0,4057.0,9132.0,13969.0,65.37
509558,Babín,5,SK,98.9%,0.1%,0.0%,0.0%,509558.0,311.0,340.0,651.0,1093.0,59.56
509566,Beňadovo,5,SK,99.5%,0.1%,0.0%,0.0%,509566.0,179.0,229.0,408.0,615.0,66.34
509582,Bobrov,5,SK,96.8%,0.0%,0.0%,0.0%,509582.0,374.0,596.0,970.0,1460.0,66.44
509591,Breza,5,SK,98.0%,0.1%,0.0%,0.0%,509591.0,240.0,445.0,685.0,1227.0,55.83
509604,Brezovica (TS),5,SK,99.3%,0.1%,0.0%,0.0%,509604.0,352.0,379.0,731.0,1109.0,65.92
509639,Dlhá nad Oravou,5,SK,98.5%,0.1%,0.0%,0.0%,509639.0,389.0,345.0,734.0,1147.0,63.99
509655,Habovka,5,SK,98.8%,0.0%,0.0%,0.0%,509655.0,266.0,463.0,729.0,1047.0,69.63
509663,Hladovka,5,SK,98.6%,0.0%,0.0%,0.0%,509663.0,142.0,324.0,466.0,776.0,60.05
509671,Horná Lehota (DK),5,SK,98.6%,0.2%,0.0%,0.0%,509671.0,145.0,135.0,280.0,459.0,61.0
509680,Hruštín,5,SK,99.2%,0.1%,0.0%,0.0%,509680.0,882.0,663.0,1545.0,2483.0,62.22
509698,Chlebnice,5,SK,99.8%,0.0%,0.0%,0.0%,509698.0,519.0,271.0,790.0,1242.0,63.61
509701,Istebné,5,SK,95.0%,0.2%,0.1%,0.0%,509701.0,279.0,417.0,696.0,1081.0,64.38
509710,Jasenová,5,SK,98.6%,0.0%,0.0%,0.0%,509710.0,150.0,99.0,249.0,343.0,72.59
509728,Klin,5,SK,98.6%,0.0%,0.0%,0.0%,509728.0,475.0,674.0,1149.0,1811.0,63.45
509744,Kraľovany,5,SK,98.8%,0.0%,0.0%,0.0%,509744.0,78.0,187.0,265.0,349.0,75.93
509761,Krivá,5,SK,99.0%,0.0%,0.0%,0.0%,509761.0,264.0,215.0,479.0,625.0,76.64
509779,Krušetnica,5,SK,99.9%,0.0%,0.0%,0.0%,509779.0,209.0,284.0,493.0,759.0,64.95
509787,Leštiny,5,SK,97.3%,0.0%,0.0%,0.0%,509787.0,76.0,85.0,161.0,238.0,67.65
509795,Liesek,5,SK,99.0%,0.0%,0.0%,0.0%,509795.0,820.0,625.0,1445.0,2227.0,64.89
509809,Lokca,5,SK,97.9%,0.0%,0.0%,0.0%,509809.0,581.0,587.0,1168.0,1829.0,63.86
509817,Lomná,5,SK,98.1%,0.0%,0.0%,0.0%,509817.0,186.0,212.0,398.0,689.0,57.76
509825,Malatiná,5,SK,96.6%,0.0%,0.0%,0.0%,509825.0,194.0,195.0,389.0,629.0,61.84
509833,Medzibrodie nad Oravou,5,SK,98.8%,0.2%,0.0%,0.0%,509833.0,210.0,105.0,315.0,453.0,69.54
509850,Mútne,5,SK,99.0%,0.0%,0.0%,0.0%,509850.0,553.0,854.0,1407.0,2233.0,63.01
509868,Námestovo,5,SK,94.0%,0.0%,0.0%,0.0%,509868.0,1835.0,1831.0,3666.0,5695.0,64.37
509876,Nižná (TS),5,SK,94.1%,0.1%,0.0%,0.0%,509876.0,973.0,1127.0,2100.0,3125.0,67.2
509884,Novoť,5,SK,98.9%,0.0%,0.0%,0.0%,509884.0,906.0,770.0,1676.0,2674.0,62.68
509892,Oravská Jasenica,5,SK,98.9%,0.1%,0.0%,0.1%,509892.0,442.0,517.0,959.0,1457.0,65.82
509906,Oravská Lesná,5,SK,98.6%,0.1%,0.0%,0.0%,509906.0,911.0,897.0,1808.0,2594.0,69.7
509914,Oravská Polhora,5,SK,98.5%,0.0%,0.0%,0.0%,509914.0,881.0,738.0,1619.0,2939.0,55.09
509922,Oravská Poruba,5,SK,98.3%,0.0%,0.0%,0.0%,509922.0,347.0,282.0,629.0,871.0,72.22
509931,Oravské Veselé,5,SK,99.3%,0.1%,0.0%,0.0%,509931.0,738.0,682.0,1420.0,2259.0,62.86
509949,Oravský Biely Potok,5,SK,97.8%,0.0%,0.0%,0.0%,509949.0,242.0,162.0,404.0,569.0,71.0
509957,Oravský Podzámok,5,SK,97.5%,0.0%,0.1%,0.0%,509957.0,444.0,308.0,752.0,1087.0,69.18
509965,Osádka,5,SK,95.9%,0.0%,0.0%,0.0%,509965.0,26.0,62.0,88.0,128.0,68.75
509973,Párnica,5,SK,99.0%,0.0%,0.0%,0.0%,509973.0,225.0,305.0,530.0,758.0,69.92
509981,Podbiel,5,SK,96.6%,0.0%,0.0%,0.0%,509981.0,351.0,358.0,709.0,1049.0,67.59
509990,Pokryváč,5,SK,96.0%,0.0%,0.0%,0.0%,509990.0,44.0,39.0,83.0,134.0,61.94
510009,Pribiš,5,SK,98.7%,0.2%,0.0%,0.0%,510009.0,142.0,101.0,243.0,370.0,65.68
510017,Pucov,5,SK,98.6%,0.1%,0.0%,0.0%,510017.0,252.0,168.0,420.0,677.0,62.04
510025,Rabča,5,SK,97.7%,0.0%,0.0%,0.0%,510025.0,940.0,1122.0,2062.0,3722.0,55.4
510033,Rabčice,5,SK,97.8%,0.0%,0.0%,0.0%,510033.0,309.0,667.0,976.0,1558.0,62.64
510041,Sedliacka Dubová,5,SK,96.7%,0.0%,0.0%,0.0%,510041.0,145.0,125.0,270.0,404.0,66.83
510050,Sihelné,5,SK,96.7%,0.0%,0.0%,0.0%,510050.0,352.0,396.0,748.0,1524.0,49.08
510076,Suchá Hora,5,SK,95.8%,0.0%,0.1%,0.0%,510076.0,318.0,443.0,761.0,1166.0,65.27
510084,Štefanov nad Oravou,5,SK,98.9%,0.0%,0.0%,0.0%,510084.0,180.0,190.0,370.0,536.0,69.03
510092,Ťapešovo,5,SK,98.8%,0.1%,0.0%,0.0%,510092.0,182.0,229.0,411.0,594.0,69.19
510106,Trstená,5,SK,96.1%,0.1%,0.0%,0.0%,510106.0,1689.0,1890.0,3579.0,5444.0,65.74
510114,Tvrdošín,5,SK,96.0%,0.0%,0.0%,0.0%,510114.0,1853.0,2484.0,4337.0,6809.0,63.7
510149,Vasiľov,5,SK,98.3%,0.1%,0.0%,0.0%,510149.0,215.0,196.0,411.0,607.0,67.71
510157,Vavrečka,5,SK,97.7%,0.1%,0.0%,0.0%,510157.0,414.0,391.0,805.0,1212.0,66.42
510165,Veličná,5,SK,97.4%,0.0%,0.0%,0.0%,510165.0,479.0,374.0,853.0,1155.0,73.85
510173,Vitanová,5,SK,99.1%,0.0%,0.0%,0.0%,510173.0,286.0,429.0,715.0,999.0,71.57
510181,Vyšný Kubín,5,SK,96.2%,0.0%,0.0%,0.1%,510181.0,300.0,169.0,469.0,609.0,77.01
510190,Zábiedovo,5,SK,99.1%,0.0%,0.0%,0.0%,510190.0,210.0,218.0,428.0,683.0,62.66
510203,Zákamenné,5,SK,98.6%,0.0%,0.0%,0.0%,510203.0,1073.0,1337.0,2410.0,4085.0,59.0
510211,Zázrivá,5,SK,96.0%,0.0%,0.0%,0.0%,510211.0,638.0,720.0,1358.0,2118.0,64.12
510238,Zuberec,5,SK,97.3%,0.1%,0.0%,0.0%,510238.0,715.0,494.0,1209.0,1625.0,74.4
510246,Zubrohlava,5,SK,98.2%,0.0%,0.0%,0.0%,510246.0,435.0,632.0,1067.0,1820.0,58.63
510254,Žaškov,5,SK,98.6%,0.0%,0.0%,0.0%,510254.0,431.0,403.0,834.0,1304.0,63.96
510262,Liptovský Mikuláš,5,SK,90.6%,0.3%,0.5%,0.1%,510262.0,7812.0,8009.0,15821.0,24848.0,63.67
510271,Beňadiková,5,SK,97.4%,0.0%,0.0%,0.2%,510271.0,96.0,180.0,276.0,421.0,65.56
510301,Bešeňová,5,SK,91.8%,0.5%,0.0%,0.0%,510301.0,283.0,187.0,470.0,653.0,71.98
510319,Bobrovček,5,SK,97.6%,0.0%,0.0%,0.0%,510319.0,43.0,59.0,102.0,146.0,69.86
510327,Bobrovec,5,SK,97.2%,0.1%,0.1%,0.1%,510327.0,656.0,452.0,1108.0,1601.0,69.21
510335,Bobrovník,5,SK,95.5%,0.0%,0.0%,0.0%,510335.0,32.0,63.0,95.0,137.0,69.34
510351,Bukovina,5,SK,96.4%,0.0%,0.0%,0.0%,510351.0,22.0,50.0,72.0,101.0,71.29
