IDN4,obec,populace,centroid-lat,centroid-lon,obec_code,Korčok,Pellegrini,voted,voters,turnout
509272,Lodno,971,49.3325666,18.8698777,509272.0,117.0,369.0,486.0,773.0,62.87
509281,Lopušné Pažite,441,49.2790832,18.8301655,509281.0,55.0,198.0,253.0,355.0,71.27
509299,Makov,1710,49.3588399,18.4400461,509299.0,507.0,667.0,1174.0,1647.0,71.28
509302,Nesluša,3165,49.3377008,18.7312979,509302.0,572.0,1094.0,1666.0,2533.0,65.77
509311,Nová Bystrica,2680,49.3549209,19.060482,509311.0,268.0,1104.0,1372.0,2139.0,64.14
509329,Ochodnica,1922,49.3609713,18.7696831,509329.0,256.0,758.0,1014.0,1566.0,64.75
509337,Olešná,1929,49.4328322,18.6513137,509337.0,288.0,739.0,1027.0,1582.0,64.92
509345,Oščadnica,5736,49.4399493,18.9132822,509345.0,916.0,2122.0,3038.0,4714.0,64.45
509361,Podvysoká,1347,49.4049822,18.6625422,509361.0,190.0,535.0,725.0,1076.0,67.38
509370,Povina,1138,49.310289,18.8543353,509370.0,155.0,473.0,628.0,933.0,67.31
509396,Radôstka,798,49.3205848,18.9388919,509396.0,77.0,368.0,445.0,649.0,68.57
509400,Raková,5630,49.4591229,18.716395,509400.0,1063.0,1754.0,2817.0,4471.0,63.01
509426,Rudina,1814,49.2888509,18.733909,509426.0,321.0,665.0,986.0,1424.0,69.24
509434,Rudinka,397,49.2736361,18.743943,509434.0,92.0,151.0,243.0,322.0,75.47
509442,Rudinská,1015,49.3277311,18.7031318,509442.0,107.0,420.0,527.0,801.0,65.79
509451,Skalité,5247,49.4949263,18.9169516,509451.0,712.0,1970.0,2682.0,4106.0,65.32
509469,Snežnica,1085,49.2631601,18.7938671,509469.0,261.0,388.0,649.0,868.0,74.77
509477,Stará Bystrica,2740,49.3563622,18.9422391,509477.0,382.0,1173.0,1555.0,2225.0,69.89
509485,Staškov,2764,49.4440061,18.6815978,509485.0,389.0,1028.0,1417.0,2295.0,61.74
509493,Svrčinovec,3370,49.4824087,18.7895864,509493.0,636.0,1285.0,1921.0,2918.0,65.83
509507,Turzovka,7233,49.398652,18.6121599,509507.0,992.0,2607.0,3599.0,5815.0,61.89
509515,Vysoká nad Kysucou,2578,49.3850172,18.5218475,509515.0,353.0,954.0,1307.0,2076.0,62.96
509523,Zákopčie,1710,49.3906508,18.7166144,509523.0,222.0,630.0,852.0,1391.0,61.25
509531,Zborov nad Bystricou,2187,49.3893734,18.8942664,509531.0,206.0,1009.0,1215.0,1760.0,69.03
509540,Dolný Kubín,18095,49.2432596,19.2941351,509540.0,5075.0,4057.0,9132.0,13969.0,65.37
509558,Babín,1444,49.3230521,19.3844801,509558.0,311.0,340.0,651.0,1093.0,59.56
509566,Beňadovo,938,49.4321881,19.3497305,509566.0,179.0,229.0,408.0,615.0,66.34
509582,Bobrov,1913,49.4447382,19.5560191,509582.0,374.0,596.0,970.0,1460.0,66.44
509591,Breza,1627,49.3998908,19.3665232,509591.0,240.0,445.0,685.0,1227.0,55.83
509604,Brezovica (TS),1367,49.3219041,19.6669211,509604.0,352.0,379.0,731.0,1109.0,65.92
509639,Dlhá nad Oravou,1433,49.2507749,19.5159209,509639.0,389.0,345.0,734.0,1147.0,63.99
509655,Habovka,1374,49.2775172,19.6508034,509655.0,266.0,463.0,729.0,1047.0,69.63
509663,Hladovka,1047,49.3732309,19.7543426,509663.0,142.0,324.0,466.0,776.0,60.05
509671,Horná Lehota (DK),557,49.2591509,19.4053089,509671.0,145.0,135.0,280.0,459.0,61.0
509680,Hruštín,3177,49.3174033,19.3052254,509680.0,882.0,663.0,1545.0,2483.0,62.22
509698,Chlebnice,1604,49.2239722,19.484331,509698.0,519.0,271.0,790.0,1242.0,63.61
509701,Istebné,1359,49.2243066,19.2088027,509701.0,279.0,417.0,696.0,1081.0,64.38
509710,Jasenová,425,49.1641796,19.2982199,509710.0,150.0,99.0,249.0,343.0,72.59
509728,Klin,2475,49.4463687,19.4730354,509728.0,475.0,674.0,1149.0,1811.0,63.45
509744,Kraľovany,430,49.162788,19.1120902,509744.0,78.0,187.0,265.0,349.0,75.93
509761,Krivá,808,49.2655459,19.5073296,509761.0,264.0,215.0,479.0,625.0,76.64
509779,Krušetnica,973,49.3892384,19.3294329,509779.0,209.0,284.0,493.0,759.0,64.95
509787,Leštiny,296,49.1868057,19.3583572,509787.0,76.0,85.0,161.0,238.0,67.65
509795,Liesek,2962,49.3609387,19.6903965,509795.0,820.0,625.0,1445.0,2227.0,64.89
509809,Lokca,2389,49.3689273,19.4141831,509809.0,581.0,587.0,1168.0,1829.0,63.86
509817,Lomná,943,49.3474401,19.2847919,509817.0,186.0,212.0,398.0,689.0,57.76
509825,Malatiná,834,49.1915111,19.4442292,509825.0,194.0,195.0,389.0,629.0,61.84
509833,Medzibrodie nad Oravou,572,49.2389574,19.3561193,509833.0,210.0,105.0,315.0,453.0,69.54
509850,Mútne,3072,49.4845068,19.2916611,509850.0,553.0,854.0,1407.0,2233.0,63.01
509868,Námestovo,7722,49.4188224,19.4810699,509868.0,1835.0,1831.0,3666.0,5695.0,64.37
509876,Nižná (TS),3936,49.3204726,19.4993979,509876.0,973.0,1127.0,2100.0,3125.0,67.2
509884,Novoť,3713,49.4372946,19.2478846,509884.0,906.0,770.0,1676.0,2674.0,62.68
509892,Oravská Jasenica,1922,49.4179825,19.4178568,509892.0,442.0,517.0,959.0,1457.0,65.82
509906,Oravská Lesná,3445,49.3588726,19.1946782,509906.0,911.0,897.0,1808.0,2594.0,69.7
509914,Oravská Polhora,3974,49.5549941,19.4479885,509914.0,881.0,738.0,1619.0,2939.0,55.09
509922,Oravská Poruba,1079,49.1889958,19.2640649,509922.0,347.0,282.0,629.0,871.0,72.22
509931,Oravské Veselé,2996,49.4803588,19.3712427,509931.0,738.0,682.0,1420.0,2259.0,62.86
509949,Oravský Biely Potok,740,49.2721227,19.5611755,509949.0,242.0,162.0,404.0,569.0,71.0
509957,Oravský Podzámok,1353,49.2771152,19.3451082,509957.0,444.0,308.0,752.0,1087.0,69.18
509965,Osádka,169,49.1825107,19.3951783,509965.0,26.0,62.0,88.0,128.0,68.75
509973,Párnica,936,49.2102278,19.1478203,509973.0,225.0,305.0,530.0,758.0,69.92
509981,Podbiel,1304,49.3054295,19.4715612,509981.0,351.0,358.0,709.0,1049.0,67.59
509990,Pokryváč,177,49.1973819,19.3980604,509990.0,44.0,39.0,83.0,134.0,61.94
510009,Pribiš,478,49.2243213,19.4081839,510009.0,142.0,101.0,243.0,370.0,65.68
510017,Pucov,900,49.2183028,19.3785335,510017.0,252.0,168.0,420.0,677.0,62.04
510025,Rabča,5139,49.4830767,19.4704888,510025.0,940.0,1122.0,2062.0,3722.0,55.4
510033,Rabčice,2024,49.5136256,19.5170321,510033.0,309.0,667.0,976.0,1558.0,62.64
510041,Sedliacka Dubová,542,49.2700062,19.4226352,510041.0,145.0,125.0,270.0,404.0,66.83
510050,Sihelné,2182,49.5088003,19.4106598,510050.0,352.0,396.0,748.0,1524.0,49.08
510076,Suchá Hora,1455,49.3602751,19.7838226,510076.0,318.0,443.0,761.0,1166.0,65.27
510084,Štefanov nad Oravou,697,49.3644956,19.5244251,510084.0,180.0,190.0,370.0,536.0,69.03
510092,Ťapešovo,776,49.3693952,19.4548725,510092.0,182.0,229.0,411.0,594.0,69.19
510106,Trstená,7213,49.3915164,19.6024686,510106.0,1689.0,1890.0,3579.0,5444.0,65.74
510114,Tvrdošín,8952,49.2953275,19.7547423,510114.0,1853.0,2484.0,4337.0,6809.0,63.7
510149,Vasiľov,840,49.3502286,19.3843217,510149.0,215.0,196.0,411.0,607.0,67.71
510157,Vavrečka,1620,49.3809585,19.4778833,510157.0,414.0,391.0,805.0,1212.0,66.42
510165,Veličná,1431,49.2427404,19.229295,510165.0,479.0,374.0,853.0,1155.0,73.85
510173,Vitanová,1321,49.271538,19.7559602,510173.0,286.0,429.0,715.0,999.0,71.57
510181,Vyšný Kubín,796,49.1764065,19.329056,510181.0,300.0,169.0,469.0,609.0,77.01
510190,Zábiedovo,900,49.307052,19.6297055,510190.0,210.0,218.0,428.0,683.0,62.66
510203,Zákamenné,5542,49.3976122,19.2412215,510203.0,1073.0,1337.0,2410.0,4085.0,59.0
510211,Zázrivá,2552,49.2847651,19.1662334,510211.0,638.0,720.0,1358.0,2118.0,64.12
510238,Zuberec,1913,49.2356623,19.6722855,510238.0,715.0,494.0,1209.0,1625.0,74.4
510246,Zubrohlava,2354,49.4627975,19.5195042,510246.0,435.0,632.0,1067.0,1820.0,58.63
510254,Žaškov,1622,49.1705019,19.2056915,510254.0,431.0,403.0,834.0,1304.0,63.96
510262,Liptovský Mikuláš,30522,49.070392,19.6024058,510262.0,7812.0,8009.0,15821.0,24848.0,63.67
510271,Beňadiková,533,49.0808744,19.686591,510271.0,96.0,180.0,276.0,421.0,65.56
510301,Bešeňová,657,49.112732,19.4422406,510301.0,283.0,187.0,470.0,653.0,71.98
510319,Bobrovček,170,49.1433992,19.5999851,510319.0,43.0,59.0,102.0,146.0,69.86
510327,Bobrovec,1984,49.1626385,19.6296929,510327.0,656.0,452.0,1108.0,1601.0,69.21
510335,Bobrovník,132,49.1186033,19.4777638,510335.0,32.0,63.0,95.0,137.0,69.34
510351,Bukovina,112,49.1341612,19.4736891,510351.0,22.0,50.0,72.0,101.0,71.29
510386,Demänovská Dolina,317,48.9774695,19.5867667,510386.0,370.0,99.0,469.0,539.0,87.01
510408,Dúbrava (LM),1228,49.0020758,19.5018033,510408.0,289.0,453.0,742.0,1034.0,71.76
510416,Galovany,311,49.0862654,19.5291057,510416.0,94.0,102.0,196.0,257.0,76.26
510424,Gôtovany,471,49.0665383,19.5052726,510424.0,111.0,182.0,293.0,413.0,70.94
510441,Hubová,1079,49.0995568,19.1946373,510441.0,302.0,281.0,583.0,874.0,66.7
510459,Huty,155,49.21948,19.5718814,510459.0,33.0,65.0,98.0,137.0,71.53
510467,Hybe,1480,49.0580652,19.8505142,510467.0,325.0,518.0,843.0,1220.0,69.1
510505,Jakubovany (LM),370,49.1184551,19.7388896,510505.0,100.0,122.0,222.0,330.0,67.27
510513,Jalovec (LM),311,49.1729513,19.6687134,510513.0,88.0,93.0,181.0,275.0,65.82
510521,Jamník (LM),477,49.1350494,19.7579251,510521.0,116.0,143.0,259.0,390.0,66.41
510530,Kalameny,450,49.147134,19.4159734,510530.0,118.0,171.0,289.0,383.0,75.46
510548,Komjatná,1576,49.1419385,19.2472699,510548.0,375.0,339.0,714.0,1241.0,57.53
510564,Kráľova Lehota,598,49.0023405,19.8046138,510564.0,116.0,243.0,359.0,482.0,74.48
510572,Kvačany (LM),558,49.1815693,19.5528872,510572.0,141.0,164.0,305.0,447.0,68.23
510581,Lazisko,372,48.9844648,19.5294053,510581.0,71.0,181.0,252.0,341.0,73.9
510599,Likavka,2987,49.1088701,19.3077673,510599.0,873.0,691.0,1564.0,2338.0,66.89
510602,Liptovská Anna,95,49.1546791,19.4561076,510602.0,39.0,32.0,71.0,109.0,65.14
510611,Liptovská Kokava,934,49.1011055,19.8477514,510611.0,196.0,342.0,538.0,770.0,69.87
510629,Liptovská Lúžna,2782,48.927486,19.3257632,510629.0,548.0,858.0,1406.0,2246.0,62.6
510637,Liptovská Osada,1617,48.9249117,19.2590692,510637.0,365.0,495.0,860.0,1354.0,63.52
510653,Liptovská Sielnica,605,49.1272492,19.5148578,510653.0,187.0,185.0,372.0,511.0,72.8
510661,Liptovská Štiavnica,1300,49.0161516,19.3487608,510661.0,348.0,383.0,731.0,1061.0,68.9
510670,Liptovská Teplá,1031,49.1151744,19.418671,510670.0,301.0,275.0,576.0,831.0,69.31
510688,Liptovské Beharovce,80,49.1419691,19.5791422,510688.0,26.0,26.0,52.0,67.0,77.61
510696,Liptovské Kľačany,378,49.0071975,19.4628482,510696.0,78.0,124.0,202.0,288.0,70.14
510700,Liptovské Matiašovce,314,49.1609232,19.5657563,510700.0,108.0,72.0,180.0,263.0,68.44
510718,Liptovské Revúce,1536,48.9163334,19.1657417,510718.0,272.0,574.0,846.0,1267.0,66.77
510726,Liptovský Hrádok,7154,49.0527709,19.7731566,510726.0,1729.0,2211.0,3940.0,5846.0,67.4
510734,Liptovský Ján,1099,48.9843635,19.6696435,510734.0,374.0,394.0,768.0,1037.0,74.06
510742,Liptovský Michal,301,49.0903996,19.4341031,510742.0,75.0,93.0,168.0,254.0,66.14
510751,Liptovský Ondrej,627,49.1053531,19.7049086,510751.0,164.0,221.0,385.0,544.0,70.77
510777,Liptovský Trnovec,583,49.1610595,19.5825119,510777.0,202.0,201.0,403.0,563.0,71.58
510785,Lisková,2061,49.0996474,19.3548784,510785.0,543.0,603.0,1146.0,1644.0,69.71
510793,Ľubeľa,1216,49.028003,19.4785361,510793.0,222.0,470.0,692.0,968.0,71.49
510807,Ľubochňa,1074,49.029637,19.1562251,510807.0,311.0,330.0,641.0,889.0,72.1
510815,Lúčky (RK),1651,49.1480423,19.3814186,510815.0,493.0,538.0,1031.0,1445.0,71.35
510823,Ludrová,1000,49.0513599,19.3279883,510823.0,218.0,316.0,534.0,802.0,66.58
510831,Malatíny,244,49.0664267,19.4589569,510831.0,48.0,82.0,130.0,206.0,63.11
510840,Malé Borové,124,49.2265439,19.5421038,510840.0,25.0,33.0,58.0,107.0,54.21
510858,Malužiná,221,48.9441835,19.8323874,510858.0,52.0,90.0,142.0,200.0,71.0
510866,Martinček,452,49.1044469,19.330858,510866.0,118.0,117.0,235.0,358.0,65.64
510874,Nižná Boca,163,48.9471709,19.7758996,510874.0,69.0,59.0,128.0,158.0,81.01
510904,Partizánska Ľupča,1318,48.9906361,19.421114,510904.0,311.0,413.0,724.0,1066.0,67.92
510912,Pavčina Lehota,393,49.0215898,19.5573122,510912.0,183.0,143.0,326.0,406.0,80.3
510921,Pavlova Ves,284,49.127673,19.5801141,510921.0,53.0,68.0,121.0,228.0,53.07
510947,Podtureň,1094,49.051227,19.702944,510947.0,276.0,347.0,623.0,841.0,74.08
510955,Potok (RK),98,49.1136021,19.4529592,510955.0,35.0,39.0,74.0,89.0,83.15
510963,Pribylina,1327,49.1528032,19.8438091,510963.0,325.0,431.0,756.0,1176.0,64.29
510971,Prosiek,226,49.1650808,19.4941223,510971.0,47.0,83.0,130.0,176.0,73.86
510998,Ružomberok,27407,49.0387353,19.2655802,510998.0,7106.0,6622.0,13728.0,21653.0,63.4
511005,Liptovské Sliače,3718,49.0525523,19.390871,511005.0,997.0,997.0,1994.0,3025.0,65.92
511013,Smrečany,696,49.1269393,19.6553097,511013.0,260.0,158.0,418.0,570.0,73.33
511030,Stankovany,1149,49.1465148,19.1676949,511030.0,222.0,368.0,590.0,936.0,63.03
511048,Svätý Kríž,887,49.0477531,19.5306001,511048.0,198.0,306.0,504.0,752.0,67.02
511056,Štiavnička,869,49.0716773,19.3447601,511056.0,249.0,225.0,474.0,689.0,68.8
511064,Švošov,856,49.1281178,19.2023419,511064.0,205.0,234.0,439.0,664.0,66.11
511072,Trstené,220,49.1145488,19.6274788,511072.0,64.0,73.0,137.0,182.0,75.27
511099,Uhorská Ves,537,49.0261439,19.6966164,511099.0,146.0,177.0,323.0,432.0,74.77
511102,Valaská Dubová,782,49.1388745,19.2989505,511102.0,208.0,203.0,411.0,617.0,66.61
511111,Vavrišovo,671,49.0773992,19.7638328,511111.0,185.0,202.0,387.0,554.0,69.86
511129,Važec,2382,49.0641848,19.9847066,511129.0,241.0,720.0,961.0,1884.0,51.01
511137,Veľké Borové,40,49.1966129,19.5178988,511137.0,39.0,26.0,65.0,78.0,83.33
511145,Veterná Poruba,387,49.1072537,19.6773558,511145.0,83.0,134.0,217.0,317.0,68.45
511153,Vlachy,619,49.0896039,19.4816023,511153.0,136.0,237.0,373.0,523.0,71.32
511170,Východná,2222,48.9937599,19.9316547,511170.0,290.0,713.0,1003.0,1771.0,56.63
511188,Vyšná Boca,106,48.9202832,19.7419964,511188.0,20.0,62.0,82.0,110.0,74.55
511196,Závažná Poruba,1248,49.0367319,19.6328892,511196.0,397.0,356.0,753.0,1067.0,70.57
511200,Žiar (LM),477,49.1558769,19.6939321,511200.0,192.0,118.0,310.0,391.0,79.28
511218,Lučenec,25902,48.3316498,19.671862,511218.0,4953.0,5939.0,10892.0,20883.0,52.16
511226,Ábelová,219,48.4262217,19.4169778,511226.0,40.0,48.0,88.0,145.0,60.69
511234,Belina - Béna,617,48.2354308,19.8522402,511234.0,28.0,95.0,123.0,492.0,25.0
511251,Boľkovce,636,48.3389751,19.7424522,511251.0,100.0,213.0,313.0,519.0,60.31
511269,Breznička (PT),725,48.4165735,19.7363962,511269.0,109.0,265.0,374.0,606.0,61.72
511277,Budiná,207,48.4676948,19.4510389,511277.0,26.0,86.0,112.0,172.0,65.12
511293,Buzitka,478,48.3286245,19.8091041,511293.0,80.0,146.0,226.0,388.0,58.25
511315,Cinobaňa,2055,48.4793891,19.6318891,511315.0,214.0,677.0,891.0,1674.0,53.23
511323,Čakanovce (LC) - Csákányháza,1126,48.2120209,19.789065,511323.0,48.0,124.0,172.0,816.0,21.08
511331,Čamovce - Csomatelke,581,48.2361537,19.8856719,511331.0,24.0,138.0,162.0,425.0,38.12
511340,České Brezovo,444,48.504205,19.8001494,511340.0,71.0,202.0,273.0,394.0,69.29
511358,Divín,2030,48.4574325,19.514977,511358.0,292.0,659.0,951.0,1670.0,56.95
511366,Dobroč,596,48.5035277,19.5563907,511366.0,112.0,245.0,357.0,504.0,70.83
511374,Kotmanová,279,48.4994752,19.5867165,511374.0,40.0,113.0,153.0,231.0,66.23
511391,Fiľakovo - Fülek,9949,48.2673968,19.8191994,511391.0,1032.0,1501.0,2533.0,7704.0,32.88
511404,Fiľakovské Kováče - Fülekkovácsi,909,48.2849352,19.7763279,511404.0,99.0,163.0,262.0,707.0,37.06
511421,Halič,1662,48.319853,19.5874314,511421.0,336.0,473.0,809.0,1339.0,60.42
511439,Holiša - Ipolygalsa,670,48.3146331,19.7440458,511439.0,44.0,166.0,210.0,504.0,41.67
511447,Hradište (PT),240,48.5059325,19.7142472,511447.0,35.0,107.0,142.0,190.0,74.74
511463,Jelšovec,331,48.2881146,19.5931622,511463.0,20.0,50.0,70.0,243.0,28.81
511471,Kalinovo,2226,48.3974876,19.7134628,511471.0,318.0,863.0,1181.0,1810.0,65.25
511480,Kalonda - Kalonda,198,48.2538688,19.6559342,511480.0,25.0,31.0,56.0,168.0,33.33
511498,Kokava nad Rimavicou,2761,48.5812482,19.79265,511498.0,296.0,954.0,1250.0,2315.0,54.0
511501,Krná,54,48.524717,19.7414114,511501.0,17.0,21.0,38.0,44.0,86.36
511510,Látky,564,48.5771052,19.6486528,511510.0,103.0,267.0,370.0,513.0,72.12
511528,Lehôtka,355,48.3396749,19.5383786,511528.0,37.0,100.0,137.0,265.0,51.7
511536,Lentvora,82,48.3696166,19.4562669,511536.0,13.0,19.0,32.0,68.0,47.06
511544,Lipovany,246,48.2167904,19.7026362,511544.0,25.0,95.0,120.0,198.0,60.61
511552,Lovinobaňa,1935,48.4355566,19.5968858,511552.0,222.0,590.0,812.0,1509.0,53.81
511561,Ľuboreč,348,48.3221641,19.5024185,511561.0,46.0,91.0,137.0,287.0,47.74
511579,Lupoč,206,48.3652391,19.5318402,511579.0,28.0,65.0,93.0,171.0,54.39
511595,Málinec,1396,48.5377746,19.6818487,511595.0,103.0,517.0,620.0,1088.0,56.99
511609,Mašková,325,48.3243794,19.5558992,511609.0,35.0,78.0,113.0,254.0,44.49
511617,Mládzovo,101,48.4385436,19.7019947,511617.0,19.0,48.0,67.0,99.0,67.68
511625,Mučín,763,48.2416839,19.7039822,511625.0,60.0,132.0,192.0,587.0,32.71
511641,Mýtna,1165,48.4931741,19.5263263,511641.0,166.0,428.0,594.0,933.0,63.67
511668,Nitra nad Ipľom - Ipolynyitra,381,48.3239904,19.7778424,511668.0,34.0,33.0,67.0,269.0,24.91
511676,Nové Hony,179,48.3709977,19.8201745,511676.0,22.0,53.0,75.0,148.0,50.68
511684,Ozdín,288,48.4739941,19.6795466,511684.0,50.0,113.0,163.0,243.0,67.08
511692,Panické Dravce - Panyidaróc,743,48.2886744,19.6464517,511692.0,132.0,156.0,288.0,590.0,48.81
511706,Píla (LC),248,48.4896528,19.4909145,511706.0,41.0,105.0,146.0,215.0,67.91
511714,Pinciná - Pinc,208,48.364214,19.7644923,511714.0,36.0,52.0,88.0,165.0,53.33
511722,Pleš - Fülekpilis,191,48.2321466,19.7480431,511722.0,22.0,57.0,79.0,152.0,51.97
511731,Podkriváň,569,48.5246148,19.493808,511731.0,62.0,259.0,321.0,480.0,66.88
511749,Podrečany,527,48.4009373,19.5929937,511749.0,60.0,194.0,254.0,456.0,55.7
511757,Polichno,128,48.4027052,19.4896605,511757.0,15.0,35.0,50.0,103.0,48.54
511765,Poltár,5333,48.4250845,19.7904348,511765.0,602.0,1886.0,2488.0,4240.0,58.68
511773,Praha,75,48.3742978,19.4979227,511773.0,10.0,27.0,37.0,66.0,56.06
511781,Prša - Perse,190,48.3001607,19.7903511,511781.0,21.0,52.0,73.0,157.0,46.5
511790,Radzovce - Ragyolc,1602,48.2066192,19.853193,511790.0,143.0,274.0,417.0,1258.0,33.15
511803,Rapovce - Rapp,930,48.2682535,19.6854714,511803.0,115.0,195.0,310.0,730.0,42.47
511811,Ratka,329,48.2502137,19.7760895,511811.0,43.0,120.0,163.0,255.0,63.92
511820,Rovňany,246,48.4514451,19.7316976,511820.0,28.0,93.0,121.0,199.0,60.8
511838,Ružiná,835,48.4273979,19.5487223,511838.0,86.0,245.0,331.0,680.0,48.68
511846,Stará Halič,638,48.3751103,19.5629877,511846.0,97.0,195.0,292.0,500.0,58.4
511854,Šávoľ - Füleksávoly,588,48.3121907,19.8398517,511854.0,44.0,110.0,154.0,443.0,34.76
511862,Šiatorská Bukovinka,289,48.180022,19.83026,511862.0,31.0,113.0,144.0,238.0,60.5
511871,Šíd - Gömörsid,1329,48.2717315,19.8801669,511871.0,35.0,151.0,186.0,960.0,19.38
511889,Šoltýska,86,48.5784522,19.7463477,511889.0,17.0,55.0,72.0,91.0,79.12
511897,Šurice - Sőreg,471,48.224029,19.9134478,511897.0,26.0,91.0,117.0,365.0,32.05
511901,Točnica,388,48.4105861,19.6452239,511901.0,39.0,127.0,166.0,298.0,55.7
511919,Tomášovce (LC),1374,48.3697289,19.6203918,511919.0,258.0,456.0,714.0,1111.0,64.27
511927,Trebeľovce,867,48.2762901,19.7267502,511927.0,105.0,276.0,381.0,725.0,52.55
511943,Tuhár,339,48.4273073,19.4911003,511943.0,39.0,161.0,200.0,281.0,71.17
511978,Uhorské,515,48.4762967,19.76145,511978.0,53.0,198.0,251.0,422.0,59.48
511994,Veľká nad Ipľom - Vilke,932,48.2654036,19.5955006,511994.0,105.0,188.0,293.0,739.0,39.65
512001,Veľká Ves,424,48.3841732,19.666351,512001.0,80.0,147.0,227.0,326.0,69.63
512010,Veľké Dravce - Nagydaróc,698,48.3432935,19.8326267,512010.0,66.0,121.0,187.0,527.0,35.48
512036,Martin,52520,49.0844207,18.8906756,512036.0,13558.0,13916.0,27474.0,41893.0,65.58
512044,Abramová,178,48.9360555,18.7789816,512044.0,30.0,64.0,94.0,163.0,57.67
512052,Belá-Dulice,1235,48.9799743,19.0500806,512052.0,309.0,442.0,751.0,1029.0,72.98
512061,Benice,351,48.992151,18.8667462,512061.0,73.0,130.0,203.0,271.0,74.91
512079,Blatnica,1021,48.9206006,18.9911975,512079.0,220.0,406.0,626.0,852.0,73.47
512087,Blažovce,162,48.9384188,18.845628,512087.0,33.0,70.0,103.0,139.0,74.1
512095,Bodorová,240,48.9094302,18.8537654,512095.0,50.0,77.0,127.0,174.0,72.99
512109,Borcová,146,48.9257637,18.8480265,512109.0,32.0,55.0,87.0,131.0,66.41
512117,Brieštie,136,48.9194343,18.719897,512117.0,29.0,54.0,83.0,124.0,66.94
512125,Budiš,196,48.8558566,18.7343523,512125.0,47.0,79.0,126.0,176.0,71.59
512133,Bystrička,1476,49.0569591,18.841939,512133.0,381.0,555.0,936.0,1271.0,73.64
512141,Čremošné,79,48.8310795,18.956752,512141.0,39.0,34.0,73.0,102.0,71.57
512150,Ďanová,559,48.9779137,18.9225536,512150.0,120.0,190.0,310.0,442.0,70.14
512168,Diaková,491,49.0571031,18.9704953,512168.0,151.0,181.0,332.0,437.0,75.97
512206,Dolný Kalník,301,49.0404076,18.965286,512206.0,157.0,58.0,215.0,267.0,80.52
512214,Dražkovce,1019,49.0493999,18.9514383,512214.0,341.0,304.0,645.0,829.0,77.8
512222,Dubové (TR),698,48.8425665,18.7811063,512222.0,131.0,292.0,423.0,577.0,73.31
512257,Folkušová,150,48.9709308,18.9561573,512257.0,34.0,65.0,99.0,123.0,80.49
512265,Háj (TR),462,48.8584269,18.8822319,512265.0,111.0,167.0,278.0,380.0,73.16
512273,Horná Štubňa,1618,48.811653,18.9068279,512273.0,214.0,487.0,701.0,1270.0,55.2
512290,Horný Kalník,186,49.0305076,18.9652363,512290.0,59.0,61.0,120.0,155.0,77.42
512303,Ivančiná,90,48.9084278,18.8145058,512303.0,19.0,37.0,56.0,86.0,65.12
512311,Jasenovo,123,48.8735652,18.7137097,512311.0,30.0,54.0,84.0,116.0,72.41
512320,Jazernica,352,48.9241742,18.8252963,512320.0,80.0,140.0,220.0,298.0,73.83
512338,Kaľamenová,85,48.8798476,18.7776993,512338.0,20.0,32.0,52.0,71.0,73.24
512346,Karlová,111,48.9598742,18.9019691,512346.0,34.0,42.0,76.0,99.0,76.77
512354,Kláštor pod Znievom,1757,48.9797966,18.7758904,512354.0,450.0,520.0,970.0,1444.0,67.17
512371,Košťany nad Turcom,1336,49.0213869,18.9071929,512371.0,440.0,392.0,832.0,1134.0,73.37
512389,Krpeľany,1087,49.1238464,19.111036,512389.0,176.0,417.0,593.0,868.0,68.32
512397,Laskár,120,48.9593703,18.8865018,512397.0,29.0,46.0,75.0,114.0,65.79
512419,Ležiachov,155,48.9819341,18.8527052,512419.0,36.0,74.0,110.0,143.0,76.92
512427,Liešno,56,48.8850265,18.7631726,512427.0,8.0,24.0,32.0,51.0,62.75
512435,Lipovec (MT),899,49.1476693,18.9174802,512435.0,248.0,284.0,532.0,740.0,71.89
512443,Malý Čepčín,545,48.9012501,18.8326583,512443.0,88.0,240.0,328.0,459.0,71.46
512451,Moškovec,70,48.9440559,18.8237941,512451.0,16.0,40.0,56.0,64.0,87.5
512460,Mošovce,1357,48.8842587,18.9412196,512460.0,279.0,536.0,815.0,1099.0,74.16
512478,Necpaly,998,48.9653491,19.0123886,512478.0,239.0,340.0,579.0,834.0,69.42
512486,Nolčovo,255,49.0889138,19.0972576,512486.0,37.0,91.0,128.0,197.0,64.97
512494,Ondrašová,92,48.9523545,18.7821971,512494.0,20.0,34.0,54.0,71.0,76.06
512508,Podhradie (MT),682,49.0771645,19.0721301,512508.0,113.0,270.0,383.0,556.0,68.88
512524,Príbovce,1102,49.0008376,18.895189,512524.0,225.0,402.0,627.0,880.0,71.25
512541,Rakovo,381,48.9818489,18.8886571,512541.0,86.0,122.0,208.0,304.0,68.42
512559,Rakša,219,48.8725574,18.9042438,512559.0,55.0,81.0,136.0,192.0,70.83
512567,Ratkovo,194,49.1372086,19.0850675,512567.0,44.0,82.0,126.0,171.0,73.68
512575,Rudno,200,48.8880796,18.7345791,512575.0,53.0,82.0,135.0,182.0,74.18
512583,Sklabiňa,645,49.0424555,19.0170183,512583.0,176.0,237.0,413.0,546.0,75.64
512591,Sklabinský Podzámok,181,49.0434328,19.0613507,512591.0,58.0,53.0,111.0,156.0,71.15
512605,Sklené,686,48.7900315,18.8262648,512605.0,126.0,260.0,386.0,586.0,65.87
