IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate,obec_code,víťaz,Korčok,Pellegrini
501964,Trstená na Ostrove - Csallóköznádasd,2,HU,15.9%,82.7%,0.0%,0.0%,501964.0,Pellegrini,0.0,100.0
501972,Veľká Paka - Nagypaka,2,SK,60.9%,36.5%,0.0%,0.1%,501972.0,Pellegrini,0.0,100.0
501981,Veľké Blahovo - Nagyabony,2,HU,22.2%,66.3%,1.1%,0.1%,501981.0,Pellegrini,0.0,100.0
501999,Vojka nad Dunajom - Vajka,2,HU,33.9%,60.2%,0.0%,0.0%,501999.0,Pellegrini,0.0,100.0
502006,Vrakúň - Nyékvárkony,2,HU,16.1%,79.1%,0.7%,0.0%,502006.0,Pellegrini,14.29,85.71
502014,Vydrany - Nemeshodos,2,HU,16.7%,77.5%,0.4%,0.0%,502014.0,Pellegrini,16.67,83.33
502022,Zlaté Klasy - Nagymagyar,2,SK,34.2%,32.0%,25.1%,0.0%,502022.0,Pellegrini,0.0,100.0
502031,Levice,4,SK,83.4%,8.3%,0.4%,0.0%,502031.0,Pellegrini,7.79,92.21
502049,Bajka,4,SK,81.1%,9.5%,0.0%,0.0%,502049.0,Korčok,100.0,0.0
502057,Bátovce,4,SK,93.4%,0.5%,0.2%,0.1%,502057.0,Korčok,100.0,0.0
502065,Beša (LV) - Barsbese,4,SK,62.7%,29.6%,2.2%,0.2%,502065.0,Korčok,0.0,0.0
502073,Bielovce - Ipolybél,4,HU,18.7%,77.3%,0.0%,0.0%,502073.0,Korčok,0.0,0.0
502090,Bory - Bori,4,SK,71.0%,25.2%,0.0%,0.0%,502090.0,Korčok,0.0,0.0
502103,Brhlovce,4,SK,98.3%,0.0%,0.0%,0.0%,502103.0,Korčok,0.0,0.0
502111,Čajkov,4,SK,98.0%,0.4%,0.0%,0.0%,502111.0,Pellegrini,0.0,100.0
502120,Čaka,4,SK,94.8%,1.1%,0.9%,0.0%,502120.0,Korčok,100.0,0.0
502154,Demandice,4,SK,72.8%,18.3%,0.0%,0.0%,502154.0,Pellegrini,0.0,100.0
502162,Devičany,4,SK,94.4%,0.5%,0.0%,0.0%,502162.0,Pellegrini,0.0,100.0
502171,Dolná Seč,4,SK,88.2%,5.1%,1.1%,0.0%,502171.0,Pellegrini,0.0,100.0
502189,Dolné Semerovce - Alsószemeréd,4,XR,24.4%,31.9%,36.9%,0.0%,502189.0,Korčok,0.0,0.0
502197,Dolný Pial,4,SK,92.9%,2.4%,0.4%,0.0%,502197.0,Pellegrini,0.0,100.0
502201,Domadice,4,SK,92.1%,0.8%,0.0%,0.0%,502201.0,Pellegrini,0.0,100.0
502219,Drženice,4,SK,91.6%,0.8%,0.3%,0.0%,502219.0,Korčok,0.0,0.0
502227,Farná - Farnad,4,HU,27.9%,64.0%,2.9%,0.0%,502227.0,Korčok,100.0,0.0
502243,Hokovce - Egeg,4,SK,57.6%,32.9%,0.0%,0.0%,502243.0,Korčok,0.0,0.0
502251,Hontianska Vrbica - Hontfüzesgyarmat,4,SK,69.1%,25.2%,0.0%,0.0%,502251.0,Pellegrini,0.0,100.0
502260,Horná Seč,4,SK,84.9%,12.8%,0.2%,0.2%,502260.0,Pellegrini,0.0,100.0
502278,Horné Semerovce - Felsőszemeréd,4,SK,51.0%,38.2%,0.2%,0.0%,502278.0,Korčok,0.0,0.0
502286,Horné Turovce - Felsőtúr,4,HU,38.4%,58.7%,0.7%,0.0%,502286.0,Korčok,100.0,0.0
502294,Horný Pial - Felsőpél,4,SK,66.0%,26.9%,1.1%,0.0%,502294.0,Korčok,0.0,0.0
502324,Hronovce - Lekér,4,SK,55.0%,37.7%,0.5%,0.0%,502324.0,Korčok,0.0,0.0
502332,Hronské Kľačany,4,SK,95.4%,0.6%,0.0%,0.0%,502332.0,Pellegrini,0.0,100.0
502341,Hronské Kosihy,4,SK,91.9%,1.1%,0.0%,0.0%,502341.0,Korčok,0.0,0.0
502359,Iňa,4,SK,89.5%,3.5%,0.0%,0.0%,502359.0,Pellegrini,0.0,100.0
502367,Ipeľské Úľany - Ipolyfödémes,4,HU,19.3%,78.5%,0.0%,0.0%,502367.0,Korčok,0.0,0.0
502375,Ipeľský Sokolec - Ipolyszakállos,4,HU,30.6%,58.9%,3.6%,0.0%,502375.0,Korčok,0.0,0.0
502383,Jabloňovce,4,SK,92.3%,0.0%,0.0%,0.0%,502383.0,Korčok,100.0,0.0
502391,Jur nad Hronom - Garamszentgyörgy,4,SK,67.9%,25.8%,0.0%,0.1%,502391.0,Pellegrini,0.0,100.0
502413,Kalná nad Hronom,4,SK,75.8%,10.2%,0.0%,0.0%,502413.0,Korčok,50.0,50.0
502421,Kozárovce,4,SK,93.9%,0.5%,0.8%,0.0%,502421.0,Pellegrini,21.43,78.57
502430,Krškany,4,SK,94.6%,1.4%,0.0%,0.0%,502430.0,Pellegrini,41.67,58.33
502448,Kubáňovo - Szete,4,HU,26.2%,70.3%,0.0%,0.0%,502448.0,Korčok,0.0,0.0
502456,Kukučínov,4,SK,71.2%,16.5%,0.2%,0.0%,502456.0,Pellegrini,0.0,100.0
502464,Kuraľany,4,SK,91.4%,3.8%,0.0%,0.0%,502464.0,Pellegrini,0.0,100.0
502472,Keť - Érsekkéty,4,HU,13.2%,82.5%,0.0%,0.0%,502472.0,Pellegrini,0.0,100.0
502481,Lok,4,SK,79.0%,8.2%,0.2%,0.0%,502481.0,Pellegrini,0.0,100.0
502499,Lontov - Lontó,4,SK,46.8%,44.0%,2.9%,0.0%,502499.0,Korčok,100.0,0.0
502502,Lula,4,SK,98.3%,1.1%,0.0%,0.0%,502502.0,Korčok,0.0,0.0
502511,Málaš - Málas,4,SK,63.1%,27.1%,0.2%,0.2%,502511.0,Korčok,0.0,0.0
502537,Malé Ludince - Kisölved,4,HU,15.9%,78.8%,0.0%,0.0%,502537.0,Pellegrini,0.0,100.0
502570,Mýtne Ludany - Vámosladány,4,SK,67.0%,24.5%,0.1%,0.0%,502570.0,Pellegrini,0.0,100.0
502588,Nová Dedina,4,SK,96.8%,0.7%,0.0%,0.1%,502588.0,Pellegrini,0.0,100.0
502596,Nový Tekov,4,SK,88.2%,5.4%,0.0%,0.0%,502596.0,Pellegrini,0.0,100.0
502600,Nýrovce - Nyírágó,4,HU,36.9%,56.2%,0.0%,0.0%,502600.0,Korčok,0.0,0.0
502618,Ondrejovce,4,SK,79.8%,15.0%,0.2%,0.0%,502618.0,Korčok,100.0,0.0
502626,Pastovce - Ipolypásztó,4,HU,34.1%,60.0%,0.2%,0.0%,502626.0,Pellegrini,0.0,100.0
502634,Pečenice,4,SK,96.9%,0.0%,0.0%,0.0%,502634.0,Korčok,0.0,0.0
502642,Plášťovce - Palást,4,HU,38.0%,59.7%,0.5%,0.0%,502642.0,Pellegrini,0.0,100.0
502651,Plavé Vozokany,4,SK,75.3%,0.6%,2.2%,0.0%,502651.0,Pellegrini,0.0,100.0
502669,Podlužany (LV),4,SK,97.5%,0.5%,0.0%,0.0%,502669.0,Pellegrini,33.33,66.67
502677,Pohronský Ruskov - Oroszka,4,HU,41.8%,45.4%,2.7%,0.1%,502677.0,Korčok,50.0,50.0
502693,Pukanec,4,SK,91.5%,0.3%,0.6%,0.0%,502693.0,Korčok,100.0,0.0
502707,Rybník (LV),4,SK,96.9%,0.4%,0.0%,0.0%,502707.0,Korčok,66.67,33.33
502715,Santovka,4,SK,88.3%,5.0%,1.7%,0.3%,502715.0,Pellegrini,16.67,83.33
502723,Sazdice - Százd,4,SK,48.0%,44.7%,0.0%,0.0%,502723.0,Korčok,0.0,0.0
502731,Sikenica - Peszektergenye,4,SK,68.3%,20.7%,0.0%,0.0%,502731.0,Korčok,0.0,0.0
502740,Slatina - Szalatnya,4,SK,57.4%,34.6%,0.0%,0.0%,502740.0,Korčok,0.0,0.0
502758,Starý Hrádok,4,SK,82.1%,15.0%,0.0%,0.0%,502758.0,Korčok,0.0,0.0
502766,Starý Tekov,4,SK,95.1%,0.5%,0.0%,0.0%,502766.0,Pellegrini,0.0,100.0
502782,Šahy - Ipolyság,4,HU,36.3%,57.3%,0.4%,0.0%,502782.0,Pellegrini,0.0,100.0
502791,Šalov - Garamsalló,4,HU,29.0%,53.4%,6.0%,0.0%,502791.0,Korčok,0.0,0.0
502804,Šarovce - Sáró,4,SK,49.5%,36.5%,1.4%,0.0%,502804.0,Korčok,0.0,0.0
502812,Tehla,4,SK,79.6%,11.6%,0.0%,0.0%,502812.0,Korčok,50.0,50.0
502821,Tekovské Lužany - Nagysalló,4,SK,68.4%,23.1%,0.3%,0.0%,502821.0,Pellegrini,0.0,100.0
502847,Tekovský Hrádok - Barsvárad,4,SK,65.5%,31.6%,0.0%,0.8%,502847.0,Korčok,0.0,0.0
502863,Tlmače,4,SK,91.4%,0.9%,0.1%,0.1%,502863.0,Pellegrini,12.5,87.5
502871,Tupá - Kistompa,4,SK,72.2%,25.2%,0.0%,0.0%,502871.0,Pellegrini,0.0,100.0
502880,Turá - Tőre,4,SK,62.3%,34.0%,0.0%,0.0%,502880.0,Pellegrini,0.0,100.0
502898,Uhliská,4,SK,92.8%,1.1%,0.0%,0.0%,502898.0,Pellegrini,0.0,100.0
502910,Veľké Ludince - Nagyölved,4,HU,24.5%,69.2%,2.0%,0.0%,502910.0,Pellegrini,33.33,66.67
