IDN4,obec,populace,centroid-lat,centroid-lon,obec_code,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec,voted,voters,turnout
500640,Nové Sady,1296,48.4206989,17.9625527,500640,0,3,0,104,209,1,11,9,1,352,2,692,1067,64.85
500658,Obyce,1510,48.4305965,18.4912106,500658,3,4,1,124,222,3,11,5,0,350,3,726,1220,59.51
500666,Paňa,392,48.2321714,18.2364409,500666,0,0,4,21,72,3,3,7,1,76,0,187,337,55.49
500674,Podhorany (NR),1085,48.3724626,18.118279,500674,0,1,2,61,209,1,15,9,1,243,0,542,969,55.93
500682,Pohranice - Pográny,1112,48.3292585,18.1759353,500682,0,1,101,84,157,3,9,8,0,183,2,548,936,58.55
500691,Poľný Kesov,654,48.1619884,18.0493375,500691,0,2,2,41,100,2,3,7,0,166,0,323,550,58.73
500704,Rišňovce,2096,48.3612489,17.9079129,500704,1,9,0,151,288,3,16,20,1,475,1,965,1711,56.4
500712,Rumanová,821,48.3372973,17.8722082,500712,1,3,0,62,119,1,4,6,0,231,2,429,707,60.68
500721,Skýcov,948,48.5144718,18.4449515,500721,0,2,1,51,100,1,9,7,1,298,1,471,780,60.38
500739,Močenok,4356,48.2125064,17.9389261,500739,8,29,2,240,679,15,35,52,3,833,1,1897,3515,53.97
500747,Sľažany,1712,48.3854542,18.3250169,500747,1,3,1,115,236,7,11,29,2,444,1,850,1386,61.33
500755,Slepčany,813,48.3073565,18.3325277,500755,1,2,0,31,122,1,7,10,0,228,1,403,665,60.6
500780,Šurianky,588,48.4131248,18.0275581,500780,0,0,1,46,114,1,4,4,0,168,1,339,495,68.48
500798,Tajná,275,48.2618137,18.3674446,500798,0,0,1,28,43,0,0,2,0,69,0,143,231,61.9
500810,Tesárske Mlyňany,1761,48.3419313,18.3598803,500810,0,2,0,129,226,4,11,24,1,386,1,784,1382,56.73
500828,Topoľčianky,2704,48.4496145,18.3991927,500828,0,17,1,167,493,6,19,23,0,603,1,1330,2206,60.29
500836,Velčice,851,48.4437958,18.2807966,500836,0,2,0,85,114,2,4,3,0,204,0,414,694,59.65
500844,Veľká Dolina,683,48.1786892,18.0134097,500844,0,2,0,56,101,4,1,4,1,174,0,343,591,58.04
500887,Veľké Zálužie,4350,48.3119222,17.9389566,500887,2,12,1,277,762,6,23,35,0,794,0,1912,3488,54.82
500895,Veľký Cetín - Nagycétény,1626,48.225392,18.1970849,500895,0,2,200,76,191,4,3,21,2,145,2,646,1347,47.96
500909,Vieska nad Žitavou,463,48.3178919,18.3554573,500909,0,0,0,39,68,0,1,3,2,119,0,232,359,64.62
500917,Vinodol,2061,48.189896,18.2144296,500917,1,2,3,91,273,5,9,10,2,371,2,769,1568,49.04
500925,Volkovce,1013,48.3412547,18.466489,500925,0,1,0,64,154,3,7,5,0,233,0,467,840,55.6
500933,Vráble,8593,48.2426443,18.3114002,500933,4,25,34,420,1468,11,68,68,3,1747,2,3850,6883,55.93
500941,Výčapy-Opatovce,2197,48.4151188,18.0745855,500941,1,10,7,76,458,7,21,28,0,472,1,1081,1748,61.84
500950,Zbehy,2222,48.3662476,18.0001247,500950,0,8,0,114,374,4,17,13,0,558,4,1092,1846,59.15
500968,Zlaté Moravce,11946,48.3756252,18.3982496,500968,6,30,8,690,1785,34,95,113,8,2432,5,5206,9724,53.54
500976,Zlatno (ZM),211,48.4663634,18.3113504,500976,1,2,0,16,15,2,1,0,0,83,0,120,182,65.93
500984,Žikava,528,48.4545141,18.3809451,500984,0,4,0,42,67,0,2,7,0,128,1,251,431,58.24
500992,Žirany - Zsére,1360,48.3790657,18.1762059,500992,0,0,93,63,208,2,7,10,0,174,1,558,1118,49.91
501018,Žitavce,412,48.1906958,18.3152051,501018,0,0,0,38,46,1,4,0,5,100,0,194,358,54.19
501026,Komárno - Komárom,32967,47.7854073,18.1018126,501026,5,35,2433,726,3175,34,140,231,1,2734,6,9520,26643,35.73
501034,Bajč - Bajcs,1223,47.929,18.2267971,501034,0,2,68,27,133,3,5,24,0,124,0,386,999,38.64
501042,Bodza - Bogya,381,47.8483476,17.8526635,501042,0,1,50,3,3,0,2,3,0,18,0,80,306,26.14
501069,Brestovec (KN) - Szilas,485,47.8760369,17.8354078,501069,0,0,103,7,9,1,0,0,0,21,0,141,411,34.31
501077,Búč - Búcs,1148,47.8032691,18.4692484,501077,2,1,234,13,25,1,1,3,0,86,0,366,954,38.36
501085,Čalovec - Megyercs,1114,47.8360003,17.967073,501085,0,0,151,26,56,4,1,20,0,101,0,359,926,38.77
