,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec
508,1,1,0.0117947565718247,1.54007178976583,0.948380103489327,1.4716663899406,1,1.04090176094899,1,0.91312872778937,1
509,1,1,0.014119246594705,1.43465864651367,0.746897065535863,1.39822312272279,1,0.668048188728176,1,1.25541156746898,1
510,1,1,0.00553024374997985,1.77138901622639,0.894071978167978,1.27866176768914,1,0.899462885904654,1,0.856966595800018,1
511,1,1,0.00361259404736693,1.23917500822969,1.03651153249911,1.0303750606485,1,0.778319875797764,1,1.07770408482478,1
601,1,1,0.0197330429269803,1.01380279522219,1.07631433558278,0.795013386073047,1,0.554182530705248,1,1.13654423882564,1
602,1,1,0.0152273473237785,1.25128885592002,0.884866885116869,1.14970080406412,1,0.561622345434694,1,1.16029738432389,1
603,1,1,0.0189878847329289,1.39270550059994,0.758215560523377,1.57670133620238,1,0.819939847688266,1,1.23461989204307,1
604,1,1,0.00507945788111557,1.57679928644281,0.665168861298804,1.32393345068199,1,0.553266878322751,1,1.35100870280297,1
605,1,1,0.059051987122529,1.50798841019733,0.729693242901231,1.37614730572038,1,0.694751633809217,1,1.19767120112932,1
606,1,1,2.43800074758816,0.905745734791977,0.732735868493083,0.989647793790654,1,1.15901070034733,1,1.08655994057264,1
607,1,1,0.0262371268839555,1.44994782175859,0.52220459801401,1.52102627021159,1,0.743548248163657,1,1.44712334864843,1
608,1,1,2.70317682471159,0.948001121839005,0.645364273504075,1.12819473625546,1,2.04951195485971,1,1.01001879868671,1
609,1,1,5.69262205045243,0.791635266718078,0.545606156831282,1.05031388235843,1,1.10378707684192,1,0.85489427303227,1
610,1,1,3.47501507122241,0.83102554489864,0.561718764222006,1.06942556196993,1,0.975717559954228,1,1.14161206670225,1
611,1,1,0.0160114748165273,1.33185198912651,1.02992688361729,0.844888301373081,1,0.690804695475191,1,1.08188978110478,1
612,1,1,0.0223336558455558,1.33541685344533,0.733786372271998,1.19808195847231,1,0.707618743046166,1,1.25460815645917,1
613,1,1,0.0156017835913848,1.2120268824764,0.896856893670329,1.18714476426218,1,0.609281453529228,1,1.18100935015465,1
701,1,1,0.0133701659238893,0.912249008381604,0.841121185942227,0.932693354652554,1,1.58953629078286,1,1.07412002584222,1
702,1,1,0.0105378458692828,1.12364736781077,0.71574307978921,1.15143300024998,1,1.00869077387587,1,1.25648026965485,1
703,1,1,0.020290631175943,1.00501076849362,1.02780380678209,1.41904151743837,1,3.01214281149324,1,0.721403143771251,1
704,1,1,0.0351428610724457,1.02911455368995,0.929023408186915,1.18282987453936,1,1.71473631190036,1,0.875141029965472,1
705,1,1,0.0256347940422605,1.19863457155388,0.530278369975644,0.914527789153283,1,1.27186364983157,1,1.42112620484309,1
706,1,1,0.0274579400661425,1.10195892239132,1.10757730260212,1.21715101701526,1,1.37955458265055,1,0.868024406828515,1
707,1,1,0.0163250102648887,0.95018135750051,1.05117020427252,0.940436135489393,1,1.43268582530883,1,0.869823266444156,1
708,1,1,0.0107453885361357,1.07776660542406,0.837176283938214,1.11108522126299,1,2.11120859280233,1,0.986876683429599,1
709,1,1,0.0132192258117343,0.998286561941686,0.572524507839947,0.953768805271423,1,0.793557396785794,1,1.50650431174838,1
710,1,1,0.00725584876986536,1.15610531146459,0.797055075771693,1.28534523134975,1,1.72950570755714,1,1.02968577964167,1
711,1,1,0.0158633337817514,1.33702418393544,0.678910871990364,1.05797956363478,1,1.22637643512771,1,1.17299244286568,1
712,1,1,0.012718086624574,1.09387312724085,0.638983997926749,0.997403858560219,1,1.51691825981727,1,1.32788537149105,1
713,1,1,0.0116461274730745,1.06549254176703,0.707912551679836,1.12018033074112,1,2.19351413725429,1,1.19527090248744,1
801,1,1,0.0233772999112897,1.04616002818942,0.739407596382978,1.55603021621847,1,1.94882591159246,1,1.15690583277498,1
802,1,1,0.341886263598342,0.788548268247879,1.41990242344687,0.859422890938318,1,0.901035027038172,1,0.762470301077735,1
803,1,1,0.242581454947487,0.822045232963717,1.28047536876684,0.895257416407732,1,1.18587312532255,1,0.834923766644284,1
804,1,1,0.210058179878302,0.876618240594947,1.14109056024569,0.922098383434354,1,0.965737264573222,1,0.938616673623642,1
805,1,1,0.297030967514218,0.816005987072529,1.27360788024616,0.826998627521155,1,1.02809339085796,1,0.845441542868167,1
806,1,1,1.3150297279606,0.841820685383064,0.929860612438857,1.13288038826941,1,2.10898706848282,1,0.873307834873437,1
807,1,1,1.35992536691705,0.870242148003237,0.683165462903843,1.01427283400923,1,1.54248222518736,1,1.19619499870765,1
808,1,1,3.81496549376718,0.870139614021919,0.727575773411811,1.28195696783842,1,1.67573177675505,1,0.881338843518595,1
809,1,1,0.0145011483729595,1.02088108262344,0.474514178484166,1.04167249768618,1,1.14148758976059,1,1.49906430378941,1
810,1,1,0.0180763374840763,1.03445019926887,0.948830634568631,1.32565300885239,1,1.8317178844954,1,0.949892555021147,1
811,1,1,3.97667868164947,0.667903999142032,0.586319407080237,0.839740262287561,1,1.44057151217985,1,1.04645362098544,1
