IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate
501638,Hviezdoslavov,2,SK,85.0%,7.3%,0.0%,0.0%
501654,Jahodná - Pozsonyeperjes,2,HU,16.3%,80.5%,0.2%,0.0%
501662,Janíky - Jányok,2,HU,28.7%,68.6%,0.0%,0.0%
501671,Jurová - Dercsika,2,HU,14.8%,82.7%,0.0%,0.0%
501689,Kľúčovec - Kulcsod,2,HU,11.9%,84.3%,0.0%,0.0%
501697,Kostolné Kračany - Egyházkarcsa,2,HU,11.4%,87.0%,0.0%,0.0%
501701,Kráľovičove Kračany - Királyfiakarcsa,2,HU,17.4%,77.3%,0.0%,0.0%
501719,Kútniky - Hegyéte,2,HU,18.5%,77.2%,0.1%,0.0%
501727,Kvetoslavov,2,SK,79.1%,15.2%,0.0%,0.1%
501735,Lehnice - Lég,2,SK,47.9%,46.9%,0.5%,0.1%
501743,Lúč na Ostrove - Lúcs,2,HU,12.2%,85.7%,0.0%,0.0%
501760,Medveďov - Medve,2,HU,16.7%,80.8%,0.0%,0.0%
501778,Mierovo - Béke,2,HU,22.1%,73.0%,0.5%,0.0%
501786,Michal na Ostrove - Szentmihályfa,2,HU,27.3%,67.2%,0.2%,0.0%
501808,Nový Život - Illésháza,2,HU,28.5%,67.4%,1.4%,0.0%
501816,Ohrady - Csallóközkürt,2,HU,8.1%,90.7%,0.0%,0.0%
501824,Okoč - Ekecs,2,HU,10.2%,85.6%,0.3%,0.0%
501832,Oľdza - Olgya,2,SK,55.6%,41.7%,0.0%,0.2%
501859,Orechová Potôň - Diósförgepatony,2,HU,19.5%,77.5%,0.3%,0.0%
501867,Padáň - Padány,2,HU,14.6%,82.9%,0.2%,0.0%
501875,Sap - Szap,2,HU,12.4%,84.4%,0.0%,0.0%
501883,Pataš - Csilizpatas,2,HU,15.5%,79.8%,2.7%,0.0%
501891,Rohovce - Nagyszarva,2,HU,21.5%,74.7%,0.2%,0.0%
501905,Šamorín - Somorja,2,HU,41.1%,49.5%,0.2%,0.0%
501913,Štvrtok na Ostrove - Csallóközcsütörtök,2,HU,29.8%,67.2%,0.7%,0.0%
501921,Topoľníky - Nyárasd,2,HU,10.1%,86.5%,0.1%,0.0%
501930,Ňárad - Csiliznyárad,2,HU,7.4%,90.6%,0.0%,0.0%
501956,Trnávka (DS) - Csallóköztárnok,2,HU,32.8%,63.2%,0.0%,0.2%
501964,Trstená na Ostrove - Csallóköznádasd,2,HU,15.9%,82.7%,0.0%,0.0%
501972,Veľká Paka - Nagypaka,2,SK,60.9%,36.5%,0.0%,0.1%
501981,Veľké Blahovo - Nagyabony,2,HU,22.2%,66.3%,1.1%,0.1%
501999,Vojka nad Dunajom - Vajka,2,HU,33.9%,60.2%,0.0%,0.0%
502006,Vrakúň - Nyékvárkony,2,HU,16.1%,79.1%,0.7%,0.0%
502014,Vydrany - Nemeshodos,2,HU,16.7%,77.5%,0.4%,0.0%
502022,Zlaté Klasy - Nagymagyar,2,SK,34.2%,32.0%,25.1%,0.0%
502031,Levice,4,SK,83.4%,8.3%,0.4%,0.0%
502049,Bajka,4,SK,81.1%,9.5%,0.0%,0.0%
502057,Bátovce,4,SK,93.4%,0.5%,0.2%,0.1%
502065,Beša (LV) - Barsbese,4,SK,62.7%,29.6%,2.2%,0.2%
502073,Bielovce - Ipolybél,4,HU,18.7%,77.3%,0.0%,0.0%
502090,Bory - Bori,4,SK,71.0%,25.2%,0.0%,0.0%
502103,Brhlovce,4,SK,98.3%,0.0%,0.0%,0.0%
502111,Čajkov,4,SK,98.0%,0.4%,0.0%,0.0%
502120,Čaka,4,SK,94.8%,1.1%,0.9%,0.0%
502154,Demandice,4,SK,72.8%,18.3%,0.0%,0.0%
502162,Devičany,4,SK,94.4%,0.5%,0.0%,0.0%
502171,Dolná Seč,4,SK,88.2%,5.1%,1.1%,0.0%
502189,Dolné Semerovce - Alsószemeréd,4,XR,24.4%,31.9%,36.9%,0.0%
502197,Dolný Pial,4,SK,92.9%,2.4%,0.4%,0.0%
502201,Domadice,4,SK,92.1%,0.8%,0.0%,0.0%
502219,Drženice,4,SK,91.6%,0.8%,0.3%,0.0%
502227,Farná - Farnad,4,HU,27.9%,64.0%,2.9%,0.0%
502243,Hokovce - Egeg,4,SK,57.6%,32.9%,0.0%,0.0%
502251,Hontianska Vrbica - Hontfüzesgyarmat,4,SK,69.1%,25.2%,0.0%,0.0%
502260,Horná Seč,4,SK,84.9%,12.8%,0.2%,0.2%
502278,Horné Semerovce - Felsőszemeréd,4,SK,51.0%,38.2%,0.2%,0.0%
502286,Horné Turovce - Felsőtúr,4,HU,38.4%,58.7%,0.7%,0.0%
502294,Horný Pial - Felsőpél,4,SK,66.0%,26.9%,1.1%,0.0%
502324,Hronovce - Lekér,4,SK,55.0%,37.7%,0.5%,0.0%
502332,Hronské Kľačany,4,SK,95.4%,0.6%,0.0%,0.0%
502341,Hronské Kosihy,4,SK,91.9%,1.1%,0.0%,0.0%
502359,Iňa,4,SK,89.5%,3.5%,0.0%,0.0%
502367,Ipeľské Úľany - Ipolyfödémes,4,HU,19.3%,78.5%,0.0%,0.0%
502375,Ipeľský Sokolec - Ipolyszakállos,4,HU,30.6%,58.9%,3.6%,0.0%
502383,Jabloňovce,4,SK,92.3%,0.0%,0.0%,0.0%
502391,Jur nad Hronom - Garamszentgyörgy,4,SK,67.9%,25.8%,0.0%,0.1%
502413,Kalná nad Hronom,4,SK,75.8%,10.2%,0.0%,0.0%
502421,Kozárovce,4,SK,93.9%,0.5%,0.8%,0.0%
502430,Krškany,4,SK,94.6%,1.4%,0.0%,0.0%
502448,Kubáňovo - Szete,4,HU,26.2%,70.3%,0.0%,0.0%
502456,Kukučínov,4,SK,71.2%,16.5%,0.2%,0.0%
502464,Kuraľany,4,SK,91.4%,3.8%,0.0%,0.0%
502472,Keť - Érsekkéty,4,HU,13.2%,82.5%,0.0%,0.0%
502481,Lok,4,SK,79.0%,8.2%,0.2%,0.0%
502499,Lontov - Lontó,4,SK,46.8%,44.0%,2.9%,0.0%
502502,Lula,4,SK,98.3%,1.1%,0.0%,0.0%
502511,Málaš - Málas,4,SK,63.1%,27.1%,0.2%,0.2%
502537,Malé Ludince - Kisölved,4,HU,15.9%,78.8%,0.0%,0.0%
502570,Mýtne Ludany - Vámosladány,4,SK,67.0%,24.5%,0.1%,0.0%
502588,Nová Dedina,4,SK,96.8%,0.7%,0.0%,0.1%
502596,Nový Tekov,4,SK,88.2%,5.4%,0.0%,0.0%
502600,Nýrovce - Nyírágó,4,HU,36.9%,56.2%,0.0%,0.0%
502618,Ondrejovce,4,SK,79.8%,15.0%,0.2%,0.0%
502626,Pastovce - Ipolypásztó,4,HU,34.1%,60.0%,0.2%,0.0%
502634,Pečenice,4,SK,96.9%,0.0%,0.0%,0.0%
502642,Plášťovce - Palást,4,HU,38.0%,59.7%,0.5%,0.0%
502651,Plavé Vozokany,4,SK,75.3%,0.6%,2.2%,0.0%
502669,Podlužany (LV),4,SK,97.5%,0.5%,0.0%,0.0%
502677,Pohronský Ruskov - Oroszka,4,HU,41.8%,45.4%,2.7%,0.1%
502693,Pukanec,4,SK,91.5%,0.3%,0.6%,0.0%
502707,Rybník (LV),4,SK,96.9%,0.4%,0.0%,0.0%
502715,Santovka,4,SK,88.3%,5.0%,1.7%,0.3%
502723,Sazdice - Százd,4,SK,48.0%,44.7%,0.0%,0.0%
502731,Sikenica - Peszektergenye,4,SK,68.3%,20.7%,0.0%,0.0%
502740,Slatina - Szalatnya,4,SK,57.4%,34.6%,0.0%,0.0%
502758,Starý Hrádok,4,SK,82.1%,15.0%,0.0%,0.0%
502766,Starý Tekov,4,SK,95.1%,0.5%,0.0%,0.0%
502782,Šahy - Ipolyság,4,HU,36.3%,57.3%,0.4%,0.0%
502791,Šalov - Garamsalló,4,HU,29.0%,53.4%,6.0%,0.0%
502804,Šarovce - Sáró,4,SK,49.5%,36.5%,1.4%,0.0%
502812,Tehla,4,SK,79.6%,11.6%,0.0%,0.0%
502821,Tekovské Lužany - Nagysalló,4,SK,68.4%,23.1%,0.3%,0.0%
502847,Tekovský Hrádok - Barsvárad,4,SK,65.5%,31.6%,0.0%,0.8%
502863,Tlmače,4,SK,91.4%,0.9%,0.1%,0.1%
502871,Tupá - Kistompa,4,SK,72.2%,25.2%,0.0%,0.0%
502880,Turá - Tőre,4,SK,62.3%,34.0%,0.0%,0.0%
502898,Uhliská,4,SK,92.8%,1.1%,0.0%,0.0%
502910,Veľké Ludince - Nagyölved,4,HU,24.5%,69.2%,2.0%,0.0%
502928,Veľké Turovce - Nagytúr,4,HU,43.9%,53.5%,0.0%,0.0%
502936,Veľký Ďur,4,SK,91.7%,1.8%,0.3%,0.0%
502944,Vyškovce nad Ipľom - Ipolyvisk,4,HU,29.8%,57.9%,6.3%,0.0%
502952,Vyšné nad Hronom - Nagyod,4,SK,50.9%,41.7%,0.6%,0.0%
502961,Zalaba - Zalaba,4,HU,17.0%,82.3%,0.0%,0.0%
502979,Zbrojníky - Kétfegyvernek,4,SK,72.9%,23.3%,0.0%,0.0%
502987,Želiezovce - Zselíz,4,SK,49.9%,41.7%,0.1%,0.0%
502995,Žemberovce,4,SK,92.6%,1.1%,0.1%,0.1%
503002,Žemliare - Zsemlér,4,HU,40.7%,57.3%,0.0%,0.0%
503011,Nové Zámky - Érsekújvár,4,SK,70.2%,21.4%,0.1%,0.0%
503029,Andovce - Andód,4,SK,50.7%,42.8%,0.0%,0.0%
503037,Bajtava - Bajta,4,HU,11.7%,79.1%,0.3%,0.0%
503045,Bánov,4,SK,92.7%,1.1%,0.1%,0.0%
503053,Bardoňovo - Barsbaracska,4,SK,67.2%,29.3%,0.0%,0.0%
503061,Belá (NZ) - Béla,4,HU,23.4%,71.4%,0.0%,0.0%
503070,Bešeňov - Zsitvabesenyő,4,HU,30.6%,68.0%,0.0%,0.0%
503088,Bíňa - Bény,4,HU,15.1%,74.2%,0.3%,0.0%
503096,Branovo,4,SK,93.8%,4.7%,0.0%,0.0%
503100,Bruty - Bart,4,HU,13.8%,77.2%,0.2%,0.0%
503118,Čechy,4,SK,94.4%,3.0%,0.0%,0.0%
503126,Černík,4,SK,93.0%,0.5%,0.0%,0.0%
503134,Dedinka,4,SK,95.7%,0.9%,0.0%,0.0%
503151,Dolný Ohaj,4,SK,93.4%,0.7%,0.3%,0.0%
503169,Dubník - Csúz,4,HU,45.2%,48.6%,0.0%,0.0%
503177,Dvory nad Žitavou - Udvard,4,HU,34.3%,52.9%,0.6%,0.0%
503185,Gbelce - Köbölkút,4,HU,28.6%,64.2%,0.0%,0.0%
503193,Hul,4,SK,96.3%,0.6%,0.0%,0.0%
503207,Chľaba - Helemba,4,HU,24.1%,73.5%,0.0%,0.0%
503215,Jasová,4,SK,89.4%,2.0%,0.1%,0.0%
503223,Jatov,4,SK,91.4%,4.3%,0.0%,0.0%
503231,Kamenica nad Hronom - Garamkövesd,4,HU,20.5%,69.6%,0.6%,0.0%
503240,Kamenín - Kéménd,4,HU,18.1%,70.0%,0.4%,0.0%
503258,Kamenný Most - Kőhídgyarmat,4,HU,14.1%,79.4%,0.3%,0.0%
503266,Kmeťovo,4,SK,96.3%,0.4%,0.0%,0.0%
503274,Kolta,4,SK,92.5%,1.7%,0.1%,0.0%
503282,Komjatice,4,SK,90.3%,0.6%,0.1%,0.0%
503291,Komoča - Kamocsa,4,HU,23.5%,68.0%,0.2%,0.0%
503312,Leľa - Leléd,4,HU,16.6%,81.8%,0.0%,0.0%
503321,Lipová (NZ),4,SK,95.5%,0.3%,0.0%,0.0%
503339,Ľubá - Libád,4,HU,24.0%,69.1%,0.2%,0.0%
503347,Malá nad Hronom - Kicsind,4,HU,15.3%,80.9%,0.0%,0.0%
503355,Malé Kosihy - Ipolykiskeszi,4,HU,12.9%,78.6%,0.0%,0.0%
503363,Maňa,4,SK,95.7%,0.4%,0.4%,0.0%
503371,Michal nad Žitavou,4,SK,97.2%,0.7%,0.0%,0.0%
503380,Veľký Kýr - Nyitranagykér,4,SK,50.5%,47.8%,0.1%,0.0%
503398,Mojzesovo,4,SK,95.2%,0.4%,0.0%,0.0%
503401,Mužla - Muzsla,4,HU,16.1%,76.6%,2.2%,0.0%
503436,Nová Vieska - Kisújfalu,4,HU,12.5%,85.4%,0.0%,0.0%
503452,Palárikovo,4,SK,88.8%,1.8%,0.3%,0.1%
503461,Bodíky - Nagybodak,2,HU,29.9%,68.6%,0.0%,0.0%
503479,Podhájska,4,SK,92.2%,1.1%,0.0%,0.1%
503487,Pozba - Pozba,4,HU,29.6%,68.6%,0.0%,0.0%
503495,Radava,4,SK,97.4%,0.3%,0.0%,0.0%
503509,Rastislavice,4,SK,97.1%,0.9%,0.0%,0.0%
503517,Rúbaň - Fűr,4,HU,29.6%,67.0%,0.4%,0.0%
503525,Salka - Ipolyszalka,4,HU,7.9%,85.7%,0.0%,0.0%
503533,Semerovo,4,SK,91.7%,2.9%,0.4%,0.0%
503541,Sikenička - Kisgyarmat,4,HU,9.4%,84.4%,0.2%,0.0%
503550,Strekov - Kürt,4,HU,14.7%,79.9%,0.5%,0.0%
503568,Svodín - Szőgyén,4,HU,25.7%,68.8%,0.1%,0.0%
503576,Šarkan - Sárkányfalva,4,HU,35.0%,61.5%,0.0%,0.0%
503584,Štúrovo - Párkány,4,HU,27.5%,64.4%,0.1%,0.0%
503592,Šurany,4,SK,91.2%,0.6%,0.2%,0.1%
503606,Trávnica,4,SK,94.6%,1.2%,0.0%,0.0%
503614,Tvrdošovce - Tardoskedd,4,HU,39.2%,55.1%,0.3%,0.0%
503631,Veľké Lovce,4,SK,79.3%,7.9%,1.3%,0.0%
503649,Zemné - Szímő,4,HU,21.4%,70.4%,3.7%,0.0%
503665,Galanta - Galánta,2,SK,63.1%,27.7%,0.2%,0.0%
503673,Abrahám,2,SK,96.8%,1.0%,0.1%,0.0%
503681,Boldog - Pozsonyboldogfa,1,HU,46.7%,47.5%,0.0%,0.0%
503690,Čierna Voda - Feketenyék,2,HU,19.0%,80.2%,0.0%,0.0%
503703,Čierny Brod - Vízkelet,2,HU,24.6%,70.7%,0.3%,0.0%
503711,Diakovce - Deáki,4,HU,42.2%,51.7%,0.8%,0.0%
503720,Dlhá nad Váhom - Vághosszúfalu,4,HU,45.6%,51.0%,0.0%,0.2%
503746,Dolné Saliby - Alsószeli,2,HU,30.4%,66.8%,0.1%,0.0%
503754,Dolný Chotár - Alsóhatár,2,HU,48.2%,48.8%,0.0%,0.0%
503762,Gáň,2,SK,92.8%,4.3%,0.0%,0.1%
503771,Horné Saliby - Felsőszeli,2,HU,37.4%,57.0%,0.1%,0.1%
503789,Hoste,2,SK,96.1%,0.5%,0.0%,0.0%
503797,Hrubá Borša,1,SK,85.4%,9.0%,0.0%,0.1%
503801,Hrubý Šúr - Hegysúr,1,SK,51.4%,40.8%,0.1%,0.1%
503819,Hurbanova Ves,1,SK,87.3%,8.5%,0.0%,0.0%
503827,Jánovce (GA),2,SK,77.8%,18.5%,0.0%,0.0%
503835,Jelka - Jóka,2,HU,43.6%,49.9%,1.1%,0.1%
503843,Kajal - Nemeskajal,2,HU,39.6%,50.4%,0.2%,0.1%
503851,Kostolná pri Dunaji - Egyházfa,1,SK,62.0%,35.0%,0.0%,0.5%
503860,Košúty - Nemeskosút,2,SK,58.3%,37.4%,0.0%,0.1%
503878,Kráľov Brod - Királyrév,2,HU,20.9%,77.0%,0.0%,0.0%
503886,Kráľová nad Váhom - Vágkirályfa,4,HU,41.7%,53.6%,0.1%,0.0%
503894,Kráľová pri Senci,1,SK,88.0%,3.3%,0.0%,0.0%
503924,Mostová - Hidaskürt,2,HU,20.1%,74.9%,0.3%,0.0%
503932,Neded - Negyed,4,HU,41.7%,51.5%,2.8%,0.0%
503959,Pata,2,SK,96.3%,0.4%,0.0%,0.0%
503967,Pusté Sady,2,SK,94.9%,0.7%,0.0%,0.0%
503975,Pusté Úľany,2,SK,94.7%,2.4%,0.0%,0.0%
503983,Reca - Réte,1,SK,67.3%,26.6%,0.1%,0.1%
503991,Selice - Szelőce,4,SK,50.5%,35.1%,1.5%,0.0%
504009,Sereď,2,SK,91.4%,0.9%,0.0%,0.0%
504017,Sládkovičovo - Diószeg,2,SK,70.9%,25.4%,0.4%,0.0%
504025,Šaľa,4,SK,78.5%,13.1%,0.1%,0.0%
504033,Šalgočka,2,SK,95.7%,0.6%,0.0%,0.0%
504041,Šintava,2,SK,96.4%,0.5%,0.0%,0.0%
504050,Šoporňa,2,SK,93.3%,0.5%,0.1%,0.0%
504068,Tešedíkovo - Pered,4,HU,24.5%,70.4%,0.1%,0.0%
504076,Tomášikovo - Tallós,2,HU,18.1%,71.7%,1.2%,0.0%
504084,Topoľnica - Tósnyárasd,2,SK,54.9%,42.8%,0.0%,0.0%
504092,Trnovec nad Váhom,4,SK,75.6%,12.0%,0.1%,0.0%
504106,Trstice - Nádszeg,2,HU,11.5%,85.6%,0.0%,0.0%
504114,Váhovce - Vága,2,HU,40.4%,53.1%,0.4%,0.0%
504122,Veľká Mača - Nagymácséd,2,HU,28.7%,66.4%,0.0%,0.0%
504131,Veľké Úľany - Nagyfödémes,2,HU,41.6%,53.7%,0.0%,0.0%
504149,Veľký Grob,2,SK,91.6%,1.9%,0.3%,0.1%
504157,Vinohrady nad Váhom,2,SK,93.1%,0.2%,0.0%,0.1%
504165,Vlčany - Vágfarkasd,4,HU,30.9%,62.1%,0.1%,0.0%
504173,Vozokany (GA) - Pozsonyvezekény,2,HU,23.8%,71.9%,0.1%,0.0%
504181,Zemianske Sady,2,SK,95.3%,0.6%,0.0%,0.1%
504190,Žihárec - Zsigárd,4,HU,35.0%,59.4%,0.2%,0.0%
